,POP_2015,education,food_choices,health_wellbeing,ID_HDC_G0,lng,lat
0,26.436,827,1049,1255,4252.0,30.701686707629214,3.1438809885113748
1,41.825,827,1049,1255,4252.0,30.70268541253001,3.1438809885113748
2,30.04,827,1049,1255,4252.0,30.702670720960626,3.143071753889526
3,30.805,639,861,1212,4252.0,30.701657329247826,3.1422625195081166
4,20.368,639,861,1212,4252.0,30.702656033192966,3.142262519508117
5,44.988,639,861,1212,4252.0,30.701642645759517,3.141453285367083
6,17.01,639,861,1212,4252.0,30.702641349227,3.1414532853670827
7,27.395,1626,1803,584,4252.0,30.690642233183134,3.1406440514663623
8,23.817,1626,1803,584,4252.0,30.691640936173105,3.1406440514663627
9,48.139,393,1034,1423,4252.0,30.69663445112294,3.1406440514663636
10,38.286,275,916,1305,4252.0,30.69763315411291,3.1406440514663627
11,52.327,199,840,1229,4252.0,30.69863185710287,3.1406440514663623
12,6.171,878,1159,915,4252.0,30.70362537205271,3.1406440514663636
13,0.0,371,1827,895,4252.0,30.715609807932314,3.1406440514663627
14,0.0,371,1827,895,4252.0,30.71660851092228,3.1406440514663627
15,32.711,1591,1768,549,4252.0,30.690627562549302,3.1398348178058946
16,24.517,1486,1663,575,4252.0,30.69162626506187,3.1398348178058937
17,36.574,1420,1597,763,4252.0,30.692624967574442,3.139834817805894
18,38.389,361,1002,1392,4252.0,30.69562107511216,3.1398348178058937
19,43.342,361,1002,1392,4252.0,30.696619777624726,3.1398348178058937
20,35.005,207,848,1238,4252.0,30.697618480137297,3.139834817805894
21,52.054,199,840,1229,4252.0,30.69861718264987,3.139834817805894
22,63.049,0,641,1030,4252.0,30.69961588516244,3.1398348178058937
23,29.106,234,625,1015,4252.0,30.700614587675005,3.1398348178058937
24,40.892,356,578,1115,4252.0,30.70161329018757,3.139834817805894
25,1.763,878,1159,915,4252.0,30.703610695212724,3.1398348178058937
26,8.79,724,1313,760,4252.0,30.704609397725292,3.1398348178058937
27,5.186,676,1303,713,4252.0,30.705608100237853,3.1398348178058937
28,3.773,566,1194,603,4252.0,30.70660680275043,3.1398348178058937
29,7.701,537,1164,573,4252.0,30.707605505263,3.139834817805894
30,3.215,174,1417,634,4252.0,30.70960291028814,3.1398348178058937
31,11.344,174,1417,634,4252.0,30.710601612800716,3.1398348178058937
32,0.0,371,1827,895,4252.0,30.715595125363574,3.1398348178058946
33,0.0,371,1827,895,4252.0,30.716593827876135,3.1398348178058937
34,58.602,1556,1733,515,4252.0,30.690612895715642,3.1390255843856143
35,36.198,1457,1634,545,4252.0,30.69161159775094,3.139025584385615
36,35.122,1363,1540,706,4252.0,30.69261029978624,3.1390255843856147
37,24.556,239,880,1270,4252.0,30.69660510792743,3.139025584385615
38,16.064,239,880,1270,4252.0,30.697603809962725,3.1390255843856143
39,36.626,0,641,1030,4252.0,30.698602511998022,3.1390255843856147
40,41.242,0,641,1030,4252.0,30.69960121403332,3.1390255843856143
41,50.81,125,515,905,4252.0,30.700599916068622,3.1390255843856147
42,49.397,356,578,1115,4252.0,30.70159861810392,3.1390255843856147
43,0.0,677,1304,714,4252.0,30.70559342624511,3.1390255843856143
44,1.841,496,1123,532,4252.0,30.706592128280402,3.1390255843856156
45,0.661,472,1099,509,4252.0,30.707590830315706,3.1390255843856147
46,3.526,174,1417,634,4252.0,30.709588234386295,3.139025584385615
47,3.112,174,1417,634,4252.0,30.710586936421596,3.1390255843856147
48,12.07,86,1336,546,4252.0,30.711585638456896,3.1390255843856147
49,4.149,0,1456,585,4252.0,30.712584340492192,3.139025584385615
50,2.399,0,1456,585,4252.0,30.713583042527492,3.139025584385615
51,32.14,2112,2289,709,4252.0,30.682608620216953,3.138216351205464
52,27.901,2112,2289,709,4252.0,30.683607321775103,3.1382163512054637
53,36.808,1641,1818,238,4252.0,30.6876021280077,3.1382163512054637
54,28.367,1569,1746,166,4252.0,30.688600829565843,3.138216351205464
55,28.056,1484,1660,252,4252.0,30.689599531123992,3.138216351205463
56,39.012,1353,1530,441,4252.0,30.69059823268214,3.1382163512054637
57,34.292,1353,1530,441,4252.0,30.69159693424029,3.1382163512054633
58,37.378,1256,1433,600,4252.0,30.69259563579844,3.1382163512054637
59,43.122,983,1160,863,4252.0,30.694593038914732,3.1382163512054637
60,16.141,140,538,910,4252.0,30.698587845147323,3.1382163512054633
61,37.469,225,415,804,4252.0,30.699586546705476,3.1382163512054637
62,49.397,310,330,868,4252.0,30.70058524826362,3.1382163512054633
63,44.249,365,385,923,4252.0,30.701583949821774,3.1382163512054637
64,46.142,593,346,940,4252.0,30.70258265137992,3.1382163512054633
65,12.511,640,393,893,4252.0,30.703581352938066,3.138216351205464
66,6.353,687,439,846,4252.0,30.70458005449622,3.1382163512054624
67,20.796,355,895,391,4252.0,30.707576159170664,3.1382163512054633
68,0.415,333,917,369,4252.0,30.708574860728813,3.1382163512054633
69,0.0,211,1038,248,4252.0,30.709573562286963,3.1382163512054637
70,0.039,0,1250,460,4252.0,30.710572263845112,3.1382163512054637
71,16.012,0,1250,460,4252.0,30.71157096540326,3.1382163512054637
72,0.804,86,1336,546,4252.0,30.712569666961407,3.1382163512054633
73,0.0,0,1456,585,4252.0,30.713568368519553,3.1382163512054637
74,22.391,2112,2289,709,4252.0,30.682593964799793,3.1374071182653758
75,15.363,2112,2289,709,4252.0,30.683592665880923,3.1374071182653758
76,41.319,1473,1650,71,4252.0,30.68858617128653,3.1374071182653758
77,21.405,1395,1572,142,4252.0,30.689584872367654,3.137407118265376
78,36.639,1229,1405,308,4252.0,30.690583573448784,3.1374071182653753
79,33.113,1298,1475,378,4252.0,30.691582274529903,3.137407118265377
80,44.963,1159,1336,503,4252.0,30.692580975611023,3.1374071182653758
81,50.823,983,1160,863,4252.0,30.694578377773272,3.1374071182653758
82,40.01,804,981,863,4252.0,30.695577078854395,3.1374071182653758
83,34.5,140,538,910,4252.0,30.69857318209776,3.1374071182653758
84,39.634,236,404,794,4252.0,30.699571883178887,3.137407118265376
85,53.403,355,285,864,4252.0,30.700570584260007,3.1374071182653758
86,61.052,365,385,923,4252.0,30.701569285341137,3.1374071182653758
87,53.325,621,279,970,4252.0,30.70256798642226,3.137407118265377
88,41.073,640,304,950,4252.0,30.703566687503375,3.1374071182653753
89,24.802,687,439,846,4252.0,30.704565388584495,3.137407118265376
90,14.093,669,803,705,4252.0,30.705564089665625,3.1374071182653758
91,23.907,31,1493,368,4252.0,30.71255499723348,3.1374071182653758
92,0.22,10,1535,410,4252.0,30.713553698314605,3.1374071182653758
93,37.222,1537,1714,0,4252.0,30.6885715168071,3.1365978855652914
94,24.478,1455,1632,89,4252.0,30.689570217411323,3.1365978855652923
95,25.567,1297,1474,256,4252.0,30.690568918015543,3.1365978855652923
96,53.39,1151,1328,394,4252.0,30.691567618619764,3.136597885565292
97,27.602,1097,1274,440,4252.0,30.69256631922399,3.1365978855652914
98,44.483,857,1034,745,4252.0,30.69456372043243,3.1365978855652927
99,39.686,757,934,803,4252.0,30.695562421036648,3.1365978855652927
100,43.964,605,782,835,4252.0,30.696561121640862,3.1365978855652914
101,45.17,495,672,734,4252.0,30.697559822245083,3.1365978855652923
102,21.12,425,511,605,4252.0,30.699557223453525,3.1365978855652914
103,62.582,465,175,786,4252.0,30.700555924057753,3.1365978855652927
104,52.366,586,55,936,4252.0,30.701554624661973,3.1365978855652923
105,60.3,690,291,929,4252.0,30.70255332526619,3.1365978855652927
106,39.582,626,498,751,4252.0,30.70355202587042,3.1365978855652927
107,0.285,765,637,612,4252.0,30.704550726474636,3.1365978855652923
108,2.476,399,1249,0,4252.0,30.70954422949574,3.1365978855652923
109,10.372,399,1249,0,4252.0,30.71054293009996,3.1365978855652923
110,32.918,194,1455,205,4252.0,30.711541630704186,3.1365978855652914
111,11.15,151,1497,247,4252.0,30.7125403313084,3.1365978855652927
112,21.107,0,1524,399,4252.0,30.71353903191263,3.1365978855652923
113,23.557,211,1736,525,4252.0,30.714537732516856,3.136597885565292
114,3.786,211,1736,525,4252.0,30.71553643312107,3.1365978855652923
115,19.435,1578,1673,229,4252.0,30.688556866127524,3.1357886531051484
116,33.527,1520,1615,165,4252.0,30.68955556625497,3.1357886531051484
117,27.525,1354,1449,323,4252.0,30.690554266382417,3.1357886531051493
118,33.631,1240,1335,435,4252.0,30.691552966509853,3.1357886531051484
119,9.477,1188,1365,364,4252.0,30.692551666637293,3.135788653105149
120,33.164,757,934,779,4252.0,30.69454906689218,3.1357886531051484
121,57.448,681,858,855,4252.0,30.695547767019626,3.135788653105149
122,53.182,605,782,835,4252.0,30.696546467147066,3.1357886531051484
123,50.187,495,672,734,4252.0,30.697545167274516,3.135788653105149
124,37.352,399,576,651,4252.0,30.69854386740196,3.135788653105149
125,34.448,451,485,579,4252.0,30.69954256752939,3.135788653105149
126,58.835,498,440,679,4252.0,30.700541267656842,3.135788653105148
127,69.842,641,0,887,4252.0,30.70153996778429,3.1357886531051498
128,42.266,654,97,985,4252.0,30.70253866791173,3.135788653105149
129,28.497,626,498,751,4252.0,30.703537368039168,3.135788653105149
130,3.799,765,637,612,4252.0,30.70453606816661,3.135788653105149
131,0.0,765,637,612,4252.0,30.705534768294058,3.135788653105149
132,27.045,399,1249,0,4252.0,30.709529568803823,3.135788653105149
133,51.665,399,1249,0,4252.0,30.71052826893127,3.1357886531051484
134,57.616,194,1455,205,4252.0,30.711526969058713,3.135788653105149
135,3.838,172,1476,226,4252.0,30.712525669186153,3.1357886531051484
136,0.0,211,1736,525,4252.0,30.714523069441043,3.135788653105149
137,0.143,211,1736,525,4252.0,30.715521769568486,3.135788653105148
138,1.491,1578,1673,229,4252.0,30.688542219247793,3.134979420884884
139,2.775,1578,1673,229,4252.0,30.689540918898583,3.1349794208848842
140,3.838,1240,1335,435,4252.0,30.691538318200166,3.1349794208848842
141,52.417,938,1032,726,4252.0,30.69453441715253,3.1349794208848842
142,61.441,821,911,757,4252.0,30.695533116803315,3.1349794208848833
143,52.158,753,841,687,4252.0,30.6965318164541,3.134979420884885
144,43.368,658,724,569,4252.0,30.69753051610489,3.1349794208848833
145,47.063,567,633,483,4252.0,30.698529215755684,3.1349794208848847
146,40.723,578,358,529,4252.0,30.69952791540647,3.1349794208848842
147,53.027,619,286,601,4252.0,30.700526615057253,3.134979420884885
148,64.371,634,407,694,4252.0,30.70152531470805,3.1349794208848842
149,44.327,526,224,872,4252.0,30.702524014358836,3.1349794208848842
150,35.952,406,345,751,4252.0,30.70352271400962,3.1349794208848842
151,26.928,1045,1138,540,4252.0,30.69451977121345,3.134170188904437
152,23.635,753,841,687,4252.0,30.695518470387704,3.134170188904437
153,41.125,753,841,687,4252.0,30.696517169561957,3.1341701889044367
154,47.102,658,724,569,4252.0,30.697515868736215,3.134170188904437
155,46.324,567,633,483,4252.0,30.69851456791048,3.1341701889044367
