,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,nightlife,ID_HDC_G0,lng,lat
61,166.384,2681,1027,1094,1090,1643,455,1878.0,-0.7854087700367514,35.75533208451763
62,154.203,3170,879,1618,1110,2167,985,1878.0,-0.7910823624920753,35.75445658865074
63,578.975,3129,875,1541,1073,2091,902,1878.0,-0.7899465658481527,35.75445658865073
64,591.933,3031,907,1444,970,1993,805,1878.0,-0.7888107692042302,35.75445658865075
65,602.04,2891,947,1304,1010,1853,665,1878.0,-0.7876749725603076,35.75445658865074
66,417.256,2790,1048,1203,1111,1752,564,1878.0,-0.786539175916385,35.75445658865074
67,72.048,2604,1105,1016,1168,1565,377,1878.0,-0.7854033792724625,35.75445658865075
68,145.708,2592,1116,1004,1180,1554,366,1878.0,-0.7842675826285397,35.75445658865074
69,47.816,2446,1387,859,1426,1408,112,1878.0,-0.7819959893406947,35.75445658865075
70,314.886,3081,1005,1550,1236,2100,921,1878.0,-0.7899411441382939,35.75358109640707
71,521.44,3033,974,1481,1038,2030,848,1878.0,-0.7888053552897846,35.75358109640707
72,492.802,2898,1109,1331,1172,1880,692,1878.0,-0.787669566441275,35.75358109640707
73,428.27,2788,1099,1201,1163,1750,562,1878.0,-0.7865337775927658,35.753581096407075
74,310.091,2719,1243,1131,1307,1681,493,1878.0,-0.7853979887442563,35.753581096407075
75,289.617,2480,1228,892,1292,1442,254,1878.0,-0.784262199895747,35.75358109640707
76,501.484,2443,1265,856,1328,1405,217,1878.0,-0.7831264110472376,35.75358109640707
77,149.279,2396,1337,809,1376,1358,62,1878.0,-0.7819906221987281,35.75358109640707
78,273.29,2262,1203,674,1241,1223,287,1878.0,-0.7808548333502187,35.75358109640707
79,86.302,2906,1164,1375,1227,1924,746,1878.0,-0.7887999416124343,35.75270560778647
80,217.699,2883,1187,1352,1251,1901,722,1878.0,-0.7876641605589967,35.75270560778647
81,338.858,2740,1280,1192,1343,1742,580,1878.0,-0.7865283795055592,35.75270560778647
82,474.272,2627,1334,1074,1400,1624,435,1878.0,-0.7853925984521213,35.75270560778646
83,462.35,2627,1334,1074,1400,1624,435,1878.0,-0.7842568173986838,35.75270560778647
84,430.732,2377,1300,789,1351,1338,150,1878.0,-0.7831210363452463,35.75270560778647
85,206.943,2309,1250,721,1279,1270,61,1878.0,-0.7819852552918086,35.75270560778647
86,49.76,2226,1166,638,1205,1187,251,1878.0,-0.7808494742383708,35.75270560778646
87,370.347,2722,1329,1191,1392,1740,600,1878.0,-0.7865229816547537,35.75183012278878
88,624.329,2598,1305,1061,1468,1610,478,1878.0,-0.7853872083960463,35.751830122788775
89,486.064,2502,1247,934,1485,1483,360,1878.0,-0.7842514351373392,35.75183012278878
