,POP_2015,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
230,133.743,5000,2334,991,2577,6591.0,75.66660649258561,32.282583136270375
231,123.06,5000,2435,1092,2678,6591.0,75.6677136926572,32.28258313627037
232,86.869,5000,2531,1178,2774,6591.0,75.6688208927288,32.282583136270375
233,105.811,5000,2597,1245,2841,6591.0,75.66992809280039,32.28258313627038
234,139.475,5000,2720,1367,2963,6591.0,75.67103529287198,32.28258313627038
235,5.758,5000,5000,5000,5000,6591.0,75.63294295085942,32.28172103952767
236,63.601,4639,2266,803,1865,6591.0,75.63405014437944,32.28172103952766
237,155.681,4786,2412,950,2011,6591.0,75.63515733789947,32.28172103952766
238,75.587,4796,2095,632,1743,6591.0,75.63626453141953,32.28172103952766
239,32.7,4899,1997,534,1846,6591.0,75.63737172493958,32.28172103952766
240,35.983,4940,1947,484,1871,6591.0,75.63847891845963,32.28172103952766
241,52.293,5000,1718,0,1919,6591.0,75.63958611197964,32.28172103952766
242,4.482,5000,1718,0,1919,6591.0,75.6406933054997,32.28172103952766
243,34.94,5000,1547,268,1925,6591.0,75.64180049901974,32.28172103952766
244,60.579,5000,1344,885,1673,6591.0,75.64401488605984,32.28172103952766
245,91.246,5000,1254,796,1583,6591.0,75.64512207957988,32.28172103952766
246,171.914,5000,1234,775,1563,6591.0,75.64622927309992,32.28172103952767
247,15.842,5000,1172,735,1501,6591.0,75.64733646661996,32.28172103952766
248,88.901,5000,1263,103,1571,6591.0,75.65176524070014,32.28172103952766
249,96.796,4903,1224,0,1467,6591.0,75.65287243422016,32.28172103952766
250,94.607,4921,1242,105,1485,6591.0,75.65397962774021,32.28172103952766
251,151.643,4921,1242,105,1485,6591.0,75.65508682126026,32.28172103952766
252,172.617,5000,1345,448,1588,6591.0,75.65619401478028,32.281721039527646
253,110.631,5000,1363,466,1607,6591.0,75.65730120830034,32.28172103952766
254,86.765,5000,1606,91,1850,6591.0,75.65840840182037,32.28172103952765
255,137.833,5000,1638,177,1881,6591.0,75.65951559534042,32.281721039527646
256,160.528,5000,1666,260,1910,6591.0,75.66062278886046,32.28172103952766
257,126.447,5000,1778,435,2022,6591.0,75.6617299823805,32.28172103952767
258,121.236,5000,1835,492,2079,6591.0,75.66283717590056,32.28172103952766
259,65.894,5000,1945,602,2189,6591.0,75.66394436942059,32.28172103952765
260,64.722,5000,2126,676,2370,6591.0,75.66505156294063,32.28172103952765
261,141.038,5000,2210,760,2453,6591.0,75.66615875646067,32.28172103952766
262,62.715,5000,2380,929,2623,6591.0,75.66726594998073,32.28172103952766
263,35.201,5000,2379,928,2622,6591.0,75.66837314350076,32.28172103952766
264,26.003,5000,2557,1107,2801,6591.0,75.6694803370208,32.28172103952766
265,19.099,5000,2721,1368,2965,6591.0,75.67058753054084,32.28172103952765
266,45.18,4354,2314,851,1911,6591.0,75.63249543067172,32.280858945878215
267,145.207,4431,2242,780,1841,6591.0,75.63360261764048,32.28085894587821
268,141.637,4611,2131,668,1730,6591.0,75.63470980460927,32.280858945878215
269,95.91,4694,2055,592,1672,6591.0,75.63581699157803,32.28085894587821
270,110.527,4841,1941,479,1788,6591.0,75.63692417854682,32.28085894587821
271,153.05,4903,1833,306,1804,6591.0,75.6380313655156,32.2808589458782
272,86.009,5000,1728,111,1901,6591.0,75.63913855248437,32.28085894587821
273,111.986,5000,1640,86,1870,6591.0,75.64024573945314,32.28085894587821
274,105.446,5000,1516,120,1891,6591.0,75.6413529264219,32.28085894587821
275,33.247,5000,1441,168,1819,6591.0,75.64246011339071,32.280858945878215
276,14.93,5000,1344,885,1673,6591.0,75.64356730035948,32.28085894587821
277,71.418,5000,1342,884,1671,6591.0,75.64467448732827,32.28085894587821
278,160.788,5000,1089,630,1418,6591.0,75.64578167429704,32.280858945878215
279,72.695,4982,1059,622,1388,6591.0,75.64688886126582,32.280858945878215
280,4.195,4897,973,457,1302,6591.0,75.64799604823457,32.2808589458782
281,10.344,4933,1010,421,1339,6591.0,75.64910323520338,32.280858945878215
282,54.378,4970,1047,319,1376,6591.0,75.65021042217214,32.28085894587821
283,39.63,4992,1247,119,1559,6591.0,75.65131760914093,32.28085894587821
284,46.274,4946,1254,172,1510,6591.0,75.6524247961097,32.28085894587821
285,91.845,4793,1113,131,1357,6591.0,75.65353198307847,32.2808589458782
286,104.118,4802,1122,225,1366,6591.0,75.65463917004726,32.280858945878215
287,144.556,5000,1326,430,1570,6591.0,75.65574635701604,32.280858945878215
288,95.389,5000,1326,430,1570,6591.0,75.65685354398482,32.28085894587821
289,110.71,5000,1554,39,1798,6591.0,75.65906791792237,32.28085894587821
