,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,4.503,3108,1531,1807,3483,206,2518,6948.0,76.62225073967335,28.217015915323216
1,39.831,3108,1531,1807,3483,206,2518,6948.0,76.62332979712055,28.217015915323216
2,123.92,2506,1599,1955,3257,1392,1851,6948.0,76.6132400485506,28.21616721167581
3,57.998,3314,1737,2014,3689,0,2683,6948.0,76.62079341339084,28.216167211675806
4,37.319,3205,1628,1904,3580,109,2614,6948.0,76.62187246551088,28.21616721167581
5,51.214,3108,1531,1807,3483,206,2518,6948.0,76.62295151763091,28.216167211675806
6,51.736,2413,1689,2045,3346,1411,1757,6948.0,76.61286183362002,28.215318510583906
7,104.903,3274,1760,2037,3713,64,2618,6948.0,76.62041516117174,28.215318510583906
8,41.938,3210,1731,2007,3683,128,2555,6948.0,76.62149420796484,28.21531851058391
9,69.748,2413,1689,2045,3346,1411,1757,6948.0,76.6124836353034,28.214469812047405
10,75.044,2484,1401,1756,3058,1204,1871,6948.0,76.6135626767698,28.214469812047405
11,38.169,2470,1386,1742,3044,1204,1871,6948.0,76.6146417182362,28.21446981204741
12,0.019,2805,1721,2077,3379,1043,2207,6948.0,76.61679980116901,28.214469812047405
13,3.711,2662,1938,2294,3596,1661,2007,6948.0,76.61210545360011,28.213621116066193
14,85.364,2223,1736,2092,3343,1221,1567,6948.0,76.61318448974004,28.21362111606619
15,55.408,2285,1628,1984,3286,1113,1629,6948.0,76.61426352587996,28.213621116066193
16,12.871,2718,1635,1991,3292,967,2120,6948.0,76.6153425620199,28.213621116066193
17,3.865,2820,1737,2092,3394,1058,2222,6948.0,76.61642159815983,28.213621116066186
18,63.023,2819,2071,2398,3729,519,2164,6948.0,76.6185796704397,28.213621116066186
19,8.504,1986,1946,2426,3114,1584,1356,6948.0,76.60741116525463,28.212772422640164
20,50.77,2109,2043,2523,3229,1681,1453,6948.0,76.60849019606835,28.21277242264016
21,92.302,2183,2117,2540,3303,1614,1527,6948.0,76.60956922688206,28.21277242264016
22,82.136,2125,2047,2458,3246,1527,1469,6948.0,76.61064825769574,28.21277242264016
23,40.372,2153,1942,2298,3273,1367,1497,6948.0,76.61172728850947,28.212772422640167
24,56.993,2140,1774,2129,3260,1213,1484,6948.0,76.61280631932317,28.212772422640167
25,71.314,2244,1684,2040,3342,1113,1588,6948.0,76.6138853501369,28.21277242264016
26,76.107,2344,1611,1967,3269,998,1688,6948.0,76.61496438095058,28.212772422640164
27,38.131,2759,1727,2082,3384,896,2103,6948.0,76.61604341176428,28.212772422640167
28,60.375,2701,1818,2174,3475,837,2045,6948.0,76.61712244257798,28.21277242264016
29,40.218,2766,2018,2360,3676,572,2111,6948.0,76.61820147339168,28.21277242264016
30,60.897,2893,2145,2501,3803,804,2237,6948.0,76.6192805042054,28.21277242264016
31,2.203,2567,990,1267,2942,747,1977,6948.0,76.62359662746023,28.21277242264016
32,28.255,3201,1662,1540,3430,842,2611,6948.0,76.62467565827393,28.212772422640164
33,1.894,3172,1647,1532,3422,850,2581,6948.0,76.62575468908763,28.21277242264016
34,3.305,3171,1617,1510,3400,797,2580,6948.0,76.62683371990133,28.212772422640164
35,6.397,3045,1572,1384,3274,1166,2454,6948.0,76.62791275071504,28.21277242264016
36,13.335,3045,1572,1384,3274,1166,2454,6948.0,76.62899178152875,28.21277242264016
37,16.447,2913,1440,1252,3142,1034,2322,6948.0,76.63007081234245,28.21277242264016
38,15.422,1986,1946,2426,3114,1584,1356,6948.0,76.60703303808008,28.21192373176923
39,25.742,1986,1946,2426,3114,1584,1356,6948.0,76.60811206356777,28.21192373176922
40,22.36,1980,1914,2394,3100,1552,1324,6948.0,76.60919108905549,28.211923731769225
41,30.014,2078,2012,2440,3198,1509,1422,6948.0,76.6102701145432,28.21192373176923
42,88.9,2054,1986,2383,3175,1451,1398,6948.0,76.61134914003091,28.21192373176922
43,62.617,2000,1918,2296,3121,1364,1345,6948.0,76.61242816551862,28.21192373176923
44,45.59,1956,1890,2344,3076,1413,1300,6948.0,76.61350719100633,28.21192373176922
45,49.649,2239,1715,2071,3360,1098,1584,6948.0,76.61458621649403,28.211923731769225
46,69.11,2470,1738,2094,3395,922,1814,6948.0,76.61566524198172,28.21192373176922
47,40.914,2605,1820,2176,3477,771,1950,6948.0,76.61674426746944,28.21192373176922
48,61.998,2766,2018,2374,3675,677,2110,6948.0,76.61782329295715,28.21192373176923
49,79.431,2872,2124,2480,3781,783,2216,6948.0,76.61890231844488,28.21192373176923
50,0.445,3145,1672,1484,3374,899,2554,6948.0,76.62537647137113,28.21192373176923
51,4.31,3022,1550,1362,3251,1021,2432,6948.0,76.62645549685881,28.211923731769225
52,0.0,2855,1382,1194,3084,1065,2264,6948.0,76.62861354783423,28.21192373176923
53,5.469,2901,1428,1240,3130,1034,2310,6948.0,76.62969257332195,28.211923731769225
54,20.95,1961,1921,2401,3089,1559,1331,6948.0,76.60665492751602,28.21107504345327
55,49.649,1883,1844,2323,3011,1481,1253,6948.0,76.60773394767794,28.211075043453274
56,38.15,1843,1803,2283,2971,1440,1213,6948.0,76.60881296783991,28.211075043453274
57,47.794,1797,1732,2212,2918,1369,1141,6948.0,76.60989198800185,28.211075043453274
58,59.776,1926,1860,2340,3046,1462,1270,6948.0,76.61097100816379,28.21107504345327
59,104.226,1943,1878,2357,3064,1463,1287,6948.0,76.61205002832574,28.21107504345327
60,84.088,1879,1813,2293,2999,1451,1223,6948.0,76.61312904848769,28.21107504345327
61,15.326,1870,1805,2285,2991,1442,1214,6948.0,76.61420806864963,28.21107504345327
62,19.79,2111,1028,1384,2685,1293,1521,6948.0,76.61528708881156,28.21107504345327
63,27.849,2557,1817,2173,3475,781,1901,6948.0,76.61636610897351,28.211075043453274
64,71.178,2722,1974,2330,3632,752,2066,6948.0,76.61744512913545,28.21107504345327
65,28.158,2869,2121,2477,3778,780,2213,6948.0,76.61852414929741,28.21107504345327
66,0.058,2960,1487,1299,3189,1084,2369,6948.0,76.62607729043103,28.211075043453267
67,0.0,2897,1424,1236,3126,1146,2307,6948.0,76.62715631059298,28.21107504345327
