,POP_2015,community_space,education,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,87.995,1932,2333,3514,2895,12105.0,116.24059109136027,28.39784820556998
1,13.657,1928,2328,3516,2891,12105.0,116.24001244676391,28.39699895521456
2,39.065,1238,1127,1653,1895,12105.0,116.25185794157028,28.384260509163553
3,27.314,1354,1242,1312,2010,12105.0,116.25451991923619,28.38341130004075
4,34.586,1354,1242,1312,2010,12105.0,116.25560002533722,28.38341130004075
5,48.665,540,1366,3619,1898,12105.0,116.2323395732975,28.382562093494087
6,7.095,421,1248,3501,1780,12105.0,116.23341967402534,28.382562093494087
7,34.764,196,1022,3275,1556,12105.0,116.235579875481,28.38256209349409
8,75.624,207,624,2878,1185,12105.0,116.23990027839231,28.382562093494094
9,92.385,0,393,2647,1250,12105.0,116.24206047984795,28.382562093494087
10,60.105,311,200,2335,968,12105.0,116.24530078203142,28.382562093494087
11,97.241,478,367,2168,1135,12105.0,116.24746098348709,28.382562093494084
12,98.039,735,624,1911,1392,12105.0,116.24962118494274,28.38256209349409
13,96.753,969,858,1677,1626,12105.0,116.25178138639839,28.38256209349409
14,112.915,969,858,1677,1626,12105.0,116.2528614871262,28.38256209349409
15,76.555,1354,1242,1312,2010,12105.0,116.25394158785406,28.38256209349409
16,53.542,1348,1237,1308,2005,12105.0,116.25502168858188,28.382562093494087
17,50.771,540,1366,3619,1898,12105.0,116.23176137474915,28.381712889523467
18,30.972,421,1248,3501,1780,12105.0,116.23284147010403,28.381712889523467
19,13.768,421,1248,3501,1780,12105.0,116.23392156545889,28.381712889523467
20,16.318,196,1022,3275,1556,12105.0,116.23500166081374,28.381712889523467
21,57.112,196,1022,3275,1556,12105.0,116.2360817561686,28.381712889523467
22,56.291,207,624,2878,1185,12105.0,116.2393220422332,28.381712889523463
23,88.505,214,615,2868,1177,12105.0,116.24040213758803,28.38171288952347
24,99.236,0,393,2647,1250,12105.0,116.2414822329429,28.381712889523463
25,81.455,0,393,2647,1250,12105.0,116.24256232829774,28.381712889523463
26,77.664,307,204,2340,963,12105.0,116.2447225190075,28.381712889523463
27,116.706,311,200,2335,968,12105.0,116.24580261436232,28.381712889523463
28,73.695,478,367,2168,1135,12105.0,116.2468827097172,28.381712889523467
29,58.553,726,614,1920,1382,12105.0,116.2490429004269,28.381712889523463
30,24.92,735,624,1911,1392,12105.0,116.25012299578177,28.381712889523467
31,18.535,969,858,1677,1626,12105.0,116.25120309113662,28.381712889523463
32,57.333,969,858,1677,1626,12105.0,116.25228318649147,28.381712889523463
33,87.33,1260,1149,1386,1917,12105.0,116.25444337720118,28.381712889523463
34,101.364,1260,1149,1386,1917,12105.0,116.25552347255604,28.381712889523463
35,25.275,1058,1483,766,2039,12105.0,116.25926554110488,28.380863688128777
36,9.666,1058,1483,766,2039,12105.0,116.26034563108698,28.380863688128777
37,74.006,421,1043,3591,1575,12105.0,116.23276522297704,28.380014489309914
38,77.287,421,1043,3591,1575,12105.0,116.23384530758665,28.380014489309914
39,43.588,0,826,3373,1360,12105.0,116.2349253921963,28.380014489309918
40,37.358,0,826,3373,1360,12105.0,116.23600547680593,28.380014489309918
41,33.012,8,427,2974,987,12105.0,116.23924573063479,28.380014489309918
42,91.853,17,418,2965,980,12105.0,116.24032581524445,28.38001448930992
43,82.741,197,196,2743,1053,12105.0,116.24140589985407,28.38001448930992
44,106.042,197,196,2743,1053,12105.0,116.2424859844637,28.38001448930992
45,102.695,501,6,2439,766,12105.0,116.24464615368294,28.380014489309914
46,70.986,508,0,2432,773,12105.0,116.24572623829258,28.380014489309918
47,76.688,1058,1483,766,2039,12105.0,116.25868725360813,28.38001448930992
48,1.885,1048,1474,757,2029,12105.0,116.25976733821777,28.380014489309914
49,74.626,734,1159,442,2395,12105.0,116.26516776126591,28.38001448930992
50,78.905,327,948,3496,1480,12105.0,116.23326716902493,28.379165293066794
51,35.495,101,726,3274,1258,12105.0,116.23542732749964,28.379165293066787
52,33.544,101,726,3274,1258,12105.0,116.23650740673703,28.37916529306679
53,40.417,367,475,3023,1007,12105.0,116.23758748597436,28.379165293066787
54,12.238,721,1146,430,2382,12105.0,116.2645894669086,28.379165293066787
55,31.948,627,1052,673,2861,12105.0,116.26998986309543,28.379165293066787
56,21.373,421,852,3400,1384,12105.0,116.23268905582971,28.378316099399278
57,30.352,429,860,3402,1377,12105.0,116.23376912969506,28.37831609939928
58,17.958,198,629,3177,1161,12105.0,116.2348492035604,28.378316099399278
59,27.137,205,637,3179,1154,12105.0,116.23592927742575,28.378316099399278
60,42.767,367,475,3010,992,12105.0,116.23700935129106,28.37831609939928
61,34.209,383,475,3010,976,12105.0,116.23808942515642,28.378316099399278
62,42.612,270,311,2847,795,12105.0,116.23916949902178,28.378316099399278
63,45.871,229,255,2772,764,12105.0,116.24024957288712,28.37831609939928
64,47.423,393,0,2547,856,12105.0,116.24132964675246,28.37831609939928
65,70.259,393,0,2547,856,12105.0,116.24240972061779,28.378316099399278
66,77.243,601,380,2403,392,12105.0,116.24348979448314,28.378316099399278
67,61.989,686,208,2255,564,12105.0,116.24456986834849,28.37831609939928
68,34.409,712,220,2243,552,12105.0,116.24564994221386,28.37831609939928
69,41.245,918,409,2022,793,12105.0,116.24673001607917,28.37831609939928
70,56.89,931,423,2024,781,12105.0,116.24781008994451,28.378316099399278
71,54.917,1111,602,1829,986,12105.0,116.24889016380985,28.378316099399278
72,63.741,1137,628,1834,963,12105.0,116.24997023767519,28.378316099399278
73,60.393,1271,762,1700,1097,12105.0,116.25105031154055,28.37831609939928
74,43.499,1376,867,1580,1226,12105.0,116.2521303854059,28.37831609939928
75,59.284,1403,1149,1283,1531,12105.0,116.25429053313657,28.378316099399278
76,52.168,1392,1160,1285,1520,12105.0,116.25537060700194,28.37831609939928
77,30.485,1275,1073,1182,1585,12105.0,116.25645068086726,28.378316099399278
78,38.932,565,990,274,2226,12105.0,116.26401119792466,28.37831609939928
79,25.585,562,987,271,2223,12105.0,116.26509127179004,28.378316099399278
80,8.425,499,924,208,2446,12105.0,116.26617134565535,28.378316099399274
81,0.754,499,924,208,2446,12105.0,116.26725141952069,28.37831609939928
82,16.847,627,1052,673,2861,12105.0,116.26941156725135,28.37831609939928
83,99.147,437,868,3405,1370,12105.0,116.2331910364937,28.377466908307277
84,86.31,213,644,3181,1146,12105.0,116.2353511734808,28.377466908307277
