,POP_2015,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,22.705,5000,1063,5000,1900,11734.0,106.09228680046805,10.422395088132165
1,17.98,2569,941,2842,2150,11734.0,106.12051288812667,10.422395088132163
2,36.725,2411,782,2683,2296,11734.0,106.12152096268592,10.422395088132163
3,38.017,1934,969,2206,2069,11734.0,106.1265613354821,10.422395088132163
4,47.449,5000,46,5000,926,11734.0,106.08405106174614,10.421581152666302
5,53.924,5000,136,5000,1015,11734.0,106.0850591346791,10.421581152666302
6,0.0,5000,935,5000,1772,11734.0,106.09110757227674,10.421581152666302
7,9.976,5000,1063,5000,1900,11734.0,106.09211564520967,10.421581152666302
8,10.248,5000,1914,5000,2057,11734.0,106.09413179107557,10.421581152666302
9,20.801,5000,1914,5000,2057,11734.0,106.09513986400853,10.421581152666302
10,11.641,4140,3388,4209,2025,11734.0,106.09816408280734,10.421581152666302
11,0.765,4138,3386,4207,2023,11734.0,106.09917215574029,10.4215811526663
12,37.694,2659,1091,2778,1975,11734.0,106.1183255414662,10.4215811526663
13,92.536,2659,1091,2778,1975,11734.0,106.11933361439912,10.421581152666302
14,61.707,2569,941,2842,2150,11734.0,106.12034168733209,10.421581152666302
15,7.359,2233,605,2506,2119,11734.0,106.12235783319795,10.421581152666302
16,8.633,2248,655,2520,2169,11734.0,106.1233659061309,10.421581152666302
17,12.219,2243,659,2516,2174,11734.0,106.12437397906388,10.421581152666302
18,11.114,1688,1270,1961,1824,11734.0,106.12840627079564,10.421581152666302
19,23.809,1688,1270,1961,1824,11734.0,106.12941434372857,10.421581152666302
20,37.422,5000,446,5000,946,11734.0,106.08085571971512,10.420767218014046
21,12.185,5000,446,5000,946,11734.0,106.08186379102195,10.420767218014042
22,61.011,5000,27,5000,906,11734.0,106.0838799336355,10.420767218014046
23,32.97,5000,80,5000,959,11734.0,106.08488800494227,10.420767218014044
24,11.301,5000,842,5000,1679,11734.0,106.09093643278295,10.420767218014042
25,31.576,5000,935,5000,1772,11734.0,106.09194450408974,10.420767218014042
26,23.979,5000,1779,5000,1999,11734.0,106.09396064670332,10.420767218014042
27,11.488,5000,1906,5000,2049,11734.0,106.09496871801011,10.420767218014046
28,10.809,4156,3403,4225,2041,11734.0,106.09799293193045,10.420767218014044
29,5.608,4072,3320,4141,1957,11734.0,106.09900100323722,10.420767218014044
