,POP_2015,active_living,education,health_wellbeing,ID_HDC_G0,lng,lat
157,105.618,1409,1864,371,7414.0,76.17370065467856,20.526789292486345
158,89.715,1363,1818,233,7414.0,76.17473971048439,20.52678929248634
159,138.316,1340,1795,210,7414.0,76.17577876629025,20.52678929248634
160,159.371,1165,1620,34,7414.0,76.17681782209608,20.52678929248635
161,182.418,1122,1577,65,7414.0,76.17785687790195,20.52678929248634
162,63.954,1367,1810,0,7414.0,76.17889593370778,20.526789292486345
163,177.369,1367,1810,0,7414.0,76.17993498951364,20.52678929248635
164,128.939,1469,1627,182,7414.0,76.18097404531949,20.526789292486345
165,19.681,1462,2095,821,7414.0,76.16824983120375,20.52596000214856
166,93.527,1462,2095,821,7414.0,76.16928888352358,20.525960002148558
167,110.495,1360,1815,544,7414.0,76.17240604048305,20.525960002148558
168,104.244,1373,1828,406,7414.0,76.17344509280291,20.525960002148558
169,115.613,1431,1886,300,7414.0,76.17448414512272,20.525960002148565
170,165.725,1406,1861,275,7414.0,76.17552319744254,20.525960002148558
171,130.176,1280,1735,149,7414.0,76.17656224976238,20.52596000214856
172,128.012,1214,1669,26,7414.0,76.17760130208221,20.525960002148558
173,78.174,1367,1810,0,7414.0,76.17864035440203,20.52596000214856
174,136.049,1447,1847,79,7414.0,76.17967940672186,20.525960002148558
175,124.096,1499,1657,212,7414.0,76.1807184590417,20.52596000214856
176,102.767,1529,1687,243,7414.0,76.18175751136151,20.52596000214856
177,36.03,1611,1466,205,7414.0,76.18279656368135,20.525960002148558
178,139.381,1492,1947,468,7414.0,76.17318954365233,20.525130713522522
179,164.66,1507,1962,429,7414.0,76.1742285924863,20.52513071352252
180,182.28,1458,1913,327,7414.0,76.17526764132029,20.525130713522522
181,146.765,1413,1868,254,7414.0,76.17630669015426,20.52513071352252
182,110.701,1384,1839,196,7414.0,76.17734573898824,20.52513071352252
183,24.558,1572,2026,220,7414.0,76.17838478782222,20.525130713522522
184,173.591,1572,2026,220,7414.0,76.1794238366562,20.525130713522522
185,130.519,1529,1687,243,7414.0,76.1804628854902,20.525130713522525
186,68.763,1529,1687,243,7414.0,76.18150193432417,20.52513071352252
187,54.097,1654,1508,162,7414.0,76.18254098315816,20.525130713522522
188,50.319,1814,1668,283,7414.0,76.18358003199214,20.52513071352252
189,111.113,1814,1668,283,7414.0,76.18461908082614,20.525130713522522
190,18.307,1860,1710,275,7414.0,76.18877527616205,20.525130713522522
191,89.509,1574,2029,511,7414.0,76.1739730525748,20.524301426608144
192,178.056,1532,1987,401,7414.0,76.1750120979231,20.52430142660814
193,153.36,1524,1979,336,7414.0,76.17605114327141,20.52430142660814
194,167.374,1424,1879,236,7414.0,76.17709018861972,20.52430142660814
195,143.88,1572,2026,220,7414.0,76.17812923396802,20.524301426608144
196,146.388,1597,2009,243,7414.0,76.17916827931633,20.524301426608147
197,34.347,1689,1846,192,7414.0,76.18020732466465,20.524301426608144
198,60.623,1694,1849,186,7414.0,76.18124637001296,20.524301426608144
199,44.72,1817,1671,0,7414.0,76.18228541536125,20.52430142660814
200,80.922,1817,1671,0,7414.0,76.18332446070957,20.524301426608144
201,113.002,1910,1764,186,7414.0,76.18436350605788,20.52430142660814
202,139.724,1973,1827,237,7414.0,76.1854025514062,20.524301426608144
203,93.39,2066,1920,534,7414.0,76.18644159675449,20.52430142660814
204,7.282,2193,2047,564,7414.0,76.1874806421028,20.52430142660814
205,4.499,1860,1710,275,7414.0,76.18851968745112,20.524301426608144
206,64.092,2017,1868,347,7414.0,76.18955873279943,20.524301426608147
207,51.658,2017,1868,347,7414.0,76.19059777814772,20.52430142660814
208,140.926,2135,1986,0,7414.0,76.19163682349604,20.52430142660814
209,143.262,1600,2055,469,7414.0,76.17475656725064,20.52347214140534
210,128.424,1567,2022,378,7414.0,76.17579560911344,20.523472141405335
211,111.182,1522,1977,334,7414.0,76.17683465097625,20.523472141405335
212,191.966,1646,2101,294,7414.0,76.17787369283907,20.52347214140534
213,145.014,1717,2139,366,7414.0,76.17891273470188,20.52347214140534
214,130.931,1797,1950,278,7414.0,76.18099081842749,20.52347214140534
215,155.387,1859,1713,41,7414.0,76.18202986029031,20.523472141405342
216,195.332,1859,1713,41,7414.0,76.18306890215312,20.52347214140534
217,137.32,1979,1833,162,7414.0,76.1841079440159,20.523472141405335
218,133.817,1973,1827,237,7414.0,76.18514698587872,20.52347214140534
219,102.252,2134,1989,603,7414.0,76.18618602774153,20.523472141405332
220,126.26,2235,2089,617,7414.0,76.18722506960434,20.523472141405332
221,64.985,2270,2124,640,7414.0,76.18826411146716,20.52347214140534
222,69.519,2017,1868,347,7414.0,76.18930315332996,20.523472141405335
223,119.734,2017,1868,347,7414.0,76.19034219519278,20.52347214140534
224,119.15,2135,1986,0,7414.0,76.19138123705558,20.523472141405335
225,162.084,2410,2261,275,7414.0,76.1934593207812,20.523472141405335
226,125.951,1717,2172,366,7414.0,76.17761816443499,20.522642857914025
227,140.102,1790,2245,428,7414.0,76.17865720281249,20.522642857914025
228,154.184,1914,2188,358,7414.0,76.17969624118996,20.522642857914025
229,145.46,1846,1999,328,7414.0,76.18073527956746,20.522642857914025
230,136.015,1956,1810,138,7414.0,76.18177431794494,20.522642857914025
231,116.78,1956,1810,138,7414.0,76.18281335632241,20.522642857914025
232,166.824,2034,1888,216,7414.0,76.1838523946999,20.522642857914033
233,188.532,2270,2124,640,7414.0,76.18696950983235,20.52264285791403
234,131.515,2352,2207,574,7414.0,76.18800854820984,20.522642857914025
235,135.259,2195,2046,169,7414.0,76.1900866249648,20.522642857914025
236,77.006,2195,2046,169,7414.0,76.19112566334229,20.52264285791403
237,134.572,2349,2200,213,7414.0,76.19216470171978,20.522642857914025
238,107.61,2349,2200,213,7414.0,76.19320374009726,20.522642857914025
239,102.389,1935,2263,283,7414.0,76.17944071854012,20.521813576134136
240,115.544,1948,2101,228,7414.0,76.18047975343248,20.521813576134136
241,159.44,1981,2134,195,7414.0,76.18151878832481,20.521813576134136
242,142.266,2071,1946,275,7414.0,76.18255782321714,20.52181357613414
243,156.005,2201,2055,384,7414.0,76.18359685810945,20.521813576134136
244,164.763,2246,2100,428,7414.0,76.1846358930018,20.521813576134136
245,141.098,2344,2198,759,7414.0,76.18671396278646,20.521813576134136
246,94.798,2417,2271,683,7414.0,76.18775299767879,20.521813576134136
247,132.546,2195,2046,169,7414.0,76.18983106746347,20.52181357613414
248,56.02,2273,2123,246,7414.0,76.1908701023558,20.521813576134136
249,159.44,2007,2335,211,7414.0,76.17918520861487,20.520984296065567
250,157.138,1981,2134,195,7414.0,76.18022424002224,20.520984296065567
251,130.657,1981,2134,195,7414.0,76.18126327142957,20.520984296065567
252,157.825,2071,1946,275,7414.0,76.18230230283693,20.520984296065567
253,163.424,2246,2100,428,7414.0,76.18334133424429,20.52098429606557
254,117.742,2246,2100,428,7414.0,76.18438036565163,20.520984296065567
255,158.237,2478,2332,707,7414.0,76.18645842846635,20.520984296065567
256,202.408,2524,2379,754,7414.0,76.1874974598737,20.520984296065567
257,122.173,2675,2526,539,7414.0,76.19477067972515,20.52098429606556
258,78.38,2675,2526,539,7414.0,76.19580971113253,20.520984296065567
259,125.195,2246,2575,352,7414.0,76.1768516555687,20.520155017708248
260,162.29,2246,2575,352,7414.0,76.17789068349126,20.520155017708245
261,146.628,2140,2468,154,7414.0,76.1789297114138,20.520155017708248
262,118.498,2165,2383,53,7414.0,76.17996873933633,20.520155017708248
263,144.121,2177,2329,0,7414.0,76.18100776725889,20.520155017708248
264,67.183,2478,2332,707,7414.0,76.18620290687163,20.520155017708248
265,116.3,2524,2379,754,7414.0,76.18724193479417,20.520155017708248
266,143.468,2730,2580,362,7414.0,76.19035901856182,20.520155017708245
267,131.069,2643,2493,275,7414.0,76.19139804648438,20.520155017708248
268,133.233,2528,2379,161,7414.0,76.19243707440691,20.520155017708245
269,128.527,2182,2510,192,7414.0,76.17867422693655,20.5193257410621
270,179.361,2212,2421,92,7414.0,76.17971325137447,20.5193257410621
271,177.438,2222,2375,45,7414.0,76.1807522758124,20.519325741062097
272,112.384,2730,2580,362,7414.0,76.19010349575363,20.5193257410621
273,143.159,2643,2493,275,7414.0,76.19114252019155,20.519325741062097
274,155.421,2528,2379,161,7414.0,76.19218154462948,20.5193257410621
275,151.608,2689,2540,0,7414.0,76.19322056906739,20.519325741062097
276,153.429,2689,2540,0,7414.0,76.1942595935053,20.5193257410621
277,146.388,2311,2469,139,7414.0,76.18049679708975,20.518496466127036
278,189.425,2858,2708,490,7414.0,76.18984798567085,20.518496466127033
279,142.919,2858,2708,490,7414.0,76.19088700662431,20.518496466127033
280,110.564,2650,2501,113,7414.0,76.19192602757778,20.518496466127036
281,101.015,2650,2501,113,7414.0,76.19296504853125,20.518496466127036
282,148.861,2858,2708,490,7414.0,76.18959248831317,20.51766719290298
283,163.046,2858,2708,490,7414.0,76.19063150578232,20.51766719290298
