,POP_2015,active_living,community_space,education,food_choices,mobility,ID_HDC_G0,lng,lat
0,47.096,2680,3250,1836,2455,1270,12193.0,113.8212026174742,23.311700185039538
1,23.289,2680,3250,1836,2455,1270,12193.0,113.82225434101498,23.311700185039538
2,54.546,2455,3025,1922,2473,1356,12193.0,113.81970765425943,23.310864697722213
3,10.851,2455,3025,1922,2473,1356,12193.0,113.82075937370462,23.310864697722213
4,54.449,2680,3250,1836,2455,1270,12193.0,113.82181109314978,23.31086469772221
5,6.737,2455,3025,1922,2473,1356,12193.0,113.8192644353064,23.310029212400988
6,95.067,2455,3025,1922,2473,1356,12193.0,113.82031615065613,23.310029212400988
7,125.709,2048,3406,710,1517,376,12193.0,113.82845193341164,23.307522768412984
8,117.255,2048,3406,710,1517,376,12193.0,113.82800875638894,23.30668729107525
9,80.589,5000,5000,5000,5000,5000,12193.0,113.8149452615812,23.30585181573316
10,44.019,5000,5000,5000,5000,5000,12193.0,113.81345048434746,23.305016342386626
11,30.091,5000,5000,5000,5000,5000,12193.0,113.81450217512854,23.305016342386626
12,49.169,5000,5000,5000,5000,5000,12193.0,113.81555386590962,23.305016342386626
13,50.174,5000,5000,5000,5000,5000,12193.0,113.81660555669075,23.305016342386633
14,84.897,1858,3029,566,1328,0,12193.0,113.82607077372055,23.305016342386626
15,57.85,1858,3029,566,1328,0,12193.0,113.82712246450166,23.305016342386626
16,64.652,1909,3425,291,1378,429,12193.0,113.82922584606382,23.30501634238663
17,50.789,1909,3425,291,1378,429,12193.0,113.83027753684493,23.305016342386626
18,0.097,2114,3630,496,1583,634,12193.0,113.83132922762601,23.30501634238663
19,129.726,2114,3630,496,1583,634,12193.0,113.8323809184071,23.305016342386626
20,70.774,5000,5000,5000,5000,5000,12193.0,113.81195573601792,23.304180871035584
21,50.659,5000,5000,5000,5000,5000,12193.0,113.8130074227049,23.304180871035577
22,147.508,1859,2429,1213,1764,646,12193.0,113.81931754282685,23.304180871035584
23,161.275,1903,2473,1169,1743,603,12193.0,113.82036922951384,23.304180871035577
24,144.14,2046,2616,1026,1645,460,12193.0,113.82142091620082,23.304180871035584
25,134.034,2046,2616,1026,1645,460,12193.0,113.82247260288781,23.304180871035584
26,119.361,2038,2812,828,1508,261,12193.0,113.82352428957479,23.304180871035577
27,138.957,2038,2812,828,1508,261,12193.0,113.82457597626178,23.304180871035584
28,117.45,1858,3029,566,1328,0,12193.0,113.82562766294878,23.30418087103558
29,96.719,1858,3029,566,1328,0,12193.0,113.82667934963575,23.304180871035584
