,POP_2015,community_space,education,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,0.0,266,5000,5000,5000,5000,8246.0,77.61026885569964,9.490142275097076
1,85.65,266,5000,5000,5000,5000,8246.0,77.61127515420218,9.490142275097076
2,53.45,161,5000,5000,5000,5000,8246.0,77.61228145270465,9.490142275097076
3,37.962,0,5000,5000,5000,5000,8246.0,77.61328775120714,9.490142275097075
4,7.852,3736,3675,5000,5000,5000,8246.0,77.58600408078058,9.489329228635615
5,26.005,3776,3716,5000,5000,5000,8246.0,77.58701037780956,9.489329228635615
6,96.491,3817,3756,5000,5000,5000,8246.0,77.5880166748385,9.489329228635613
7,72.539,1352,4658,5000,5000,5000,8246.0,77.60109853621489,9.489329228635617
8,157.036,212,5000,5000,5000,5000,8246.0,77.6111615065044,9.489329228635613
9,133.949,227,5000,5000,5000,5000,8246.0,77.61216780353337,9.489329228635615
10,141.513,85,5000,5000,5000,5000,8246.0,77.61317410056232,9.489329228635613
11,18.945,3733,3658,5000,5000,5000,8246.0,77.58387788900887,9.488516182912132
12,58.204,3660,3599,4945,5000,5000,8246.0,77.58488418456444,9.488516182912136
13,140.144,3599,3538,4884,5000,5000,8246.0,77.58589048011999,9.488516182912136
14,158.009,3809,3749,5000,5000,5000,8246.0,77.58689677567554,9.488516182912138
15,33.208,3809,3749,5000,5000,5000,8246.0,77.58790307123107,9.488516182912134
16,103.298,399,5000,5000,5000,5000,8246.0,77.61104786900854,9.488516182912138
17,113.095,336,5000,5000,5000,5000,8246.0,77.6120541645641,9.488516182912134
18,182.969,159,5000,5000,5000,5000,8246.0,77.61306046011964,9.488516182912138
19,36.126,176,5000,5000,5000,5000,8246.0,77.61406675567518,9.488516182912136
20,0.0,3877,3414,4760,5000,5000,8246.0,77.57973912516424,9.487703137926573
21,0.0,4032,3568,4914,5000,5000,8246.0,77.58074541924648,9.487703137926571
22,0.0,4032,3568,4914,5000,5000,8246.0,77.58175171332874,9.487703137926575
23,39.871,3661,3587,4933,5000,5000,8246.0,77.58376430149328,9.487703137926573
24,175.081,3594,3520,4866,5000,5000,8246.0,77.58477059557555,9.487703137926571
25,160.278,3527,3452,4798,5000,5000,8246.0,77.58577688965781,9.487703137926575
26,123.72,3434,3578,4924,5000,5000,8246.0,77.58678318374008,9.487703137926573
27,62.166,3550,3695,5000,5000,5000,8246.0,77.58778947782235,9.487703137926573
28,6.519,3616,3760,5000,5000,5000,8246.0,77.5887957719046,9.487703137926575
29,90.44,1622,4388,5000,5000,5000,8246.0,77.59885871272724,9.487703137926575
30,38.287,1622,4388,5000,5000,5000,8246.0,77.59986500680952,9.487703137926571
31,63.895,441,5000,5000,5000,5000,8246.0,77.61093424171443,9.487703137926573
32,122.135,425,5000,5000,5000,5000,8246.0,77.61194053579669,9.487703137926573
33,160.998,274,5000,5000,5000,5000,8246.0,77.61294682987896,9.487703137926573
34,0.0,3877,3414,4760,5000,5000,8246.0,77.57962555373925,9.486890093678861
35,0.0,3877,3414,4760,5000,5000,8246.0,77.58063184634835,9.486890093678861
36,0.0,3647,3573,4919,5000,5000,8246.0,77.58365072417571,9.48689009367886
37,63.823,3484,3344,4690,5000,5000,8246.0,77.58465701678483,9.486890093678861
38,128.114,3495,3391,4737,5000,5000,8246.0,77.58566330939395,9.48689009367886
39,63.823,3381,3526,4872,5000,5000,8246.0,77.58666960200307,9.486890093678861
40,46.571,3616,3760,5000,5000,5000,8246.0,77.58767589461219,9.48689009367886
41,16.1,3631,3776,5000,5000,5000,8246.0,77.58868218722132,9.48689009367886
42,37.818,330,5000,5000,5000,5000,8246.0,77.61182691723106,9.48689009367886
43,58.672,330,5000,5000,5000,5000,8246.0,77.61283320984016,9.486890093678861
44,61.194,433,5000,5000,5000,5000,8246.0,77.61383950244928,9.486890093678861
45,67.389,3460,3255,4601,5000,5000,8246.0,77.58454344819216,9.48607705016893
46,106.035,3475,3335,4681,5000,5000,8246.0,77.58554973932827,9.48607705016893
47,59.177,3215,3500,4846,5000,5000,8246.0,77.58655603046441,9.48607705016893
48,15.956,1872,4138,5000,5000,5000,8246.0,77.59762523296155,9.48607705016893
49,27.769,3494,3221,4567,5000,5000,8246.0,77.58442988979742,9.48526400739672
50,0.54,3215,3500,4846,5000,5000,8246.0,77.58644246912387,9.485264007396722
51,10.769,3436,2973,4319,4803,5000,8246.0,77.5823037652195,9.484450965362168
52,16.604,3436,2973,4319,4803,5000,8246.0,77.58331005340999,9.484450965362164
53,172.488,3308,2844,4190,4675,5000,8246.0,77.58118394344756,9.483637924065198
54,26.401,3296,2833,4179,4664,5000,8246.0,77.58219023016541,9.483637924065194
55,18.981,3296,2833,4179,4664,5000,8246.0,77.58319651688329,9.4836379240652
56,164.588,2600,3410,4756,5000,5000,8246.0,77.59124681062616,9.483637924065198
57,31.524,2496,3514,4860,5000,5000,8246.0,77.59225309734401,9.483637924065196
58,47.907,2496,3514,4860,5000,5000,8246.0,77.5932593840619,9.483637924065198
59,7.564,3197,2734,4080,4564,5000,8246.0,77.58006413481787,9.48282488350575
60,142.377,3279,2816,4162,4646,5000,8246.0,77.58107042006324,9.482824883505748
61,77.33,3261,2798,4144,4628,5000,8246.0,77.58207670530862,9.48282488350575
62,0.108,3226,2762,4108,4593,5000,8246.0,77.583082990554,9.48282488350575
63,58.168,2600,3410,4756,5000,5000,8246.0,77.591133272517,9.482824883505748
64,46.475,2600,3410,4756,5000,5000,8246.0,77.59213955776238,9.48282488350575
65,58.801,2654,3672,5000,5000,5000,8246.0,77.59314584300775,9.48282488350575
66,64.147,2654,3672,5000,5000,5000,8246.0,77.59415212825311,9.48282488350575
67,63.427,3032,2568,3914,4399,4987,8246.0,77.57894433932988,9.482011843683761
