,POP_2015,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
96,52.383,378,436,603,996,12834.0,118.61010796992142,4.476253437264248
97,69.795,330,388,555,820,12834.0,118.61110762949275,4.476253437264246
98,111.066,429,487,586,844,12834.0,118.61210728906408,4.476253437264248
99,4.349,439,500,417,668,12834.0,118.61310694863543,4.476253437264246
100,130.832,340,401,318,569,12834.0,118.61410660820677,4.476253437264246
101,73.008,229,461,378,629,12834.0,118.61510626777812,4.476253437264248
102,146.519,135,436,353,604,12834.0,118.61610592734948,4.476253437264246
103,98.949,200,682,724,1417,12834.0,118.60602838328151,4.475443722456491
104,38.212,142,624,666,1359,12834.0,118.6070280421706,4.475443722456492
105,79.663,0,482,524,1217,12834.0,118.60802770105968,4.475443722456494
106,110.646,328,428,501,1144,12834.0,118.60902735994875,4.475443722456494
107,117.425,439,497,664,975,12834.0,118.61002701883784,4.475443722456493
108,69.855,394,453,619,884,12834.0,118.61102667772691,4.475443722456492
109,114.036,456,515,643,894,12834.0,118.612026336616,4.475443722456494
110,64.246,439,500,417,668,12834.0,118.61302599550507,4.475443722456492
111,40.701,438,499,417,668,12834.0,118.61402565439417,4.475443722456491
112,96.399,173,575,492,743,12834.0,118.61502531328323,4.475443722456493
113,138.15,7,565,482,733,12834.0,118.61602497217234,4.475443722456492
114,12.927,142,624,666,1359,12834.0,118.60594744972546,4.4746340079918125
115,57.738,142,624,666,1359,12834.0,118.60694710793241,4.4746340079918125
116,76.124,439,497,664,975,12834.0,118.60994608255321,4.474634007991812
117,22.765,210,612,529,780,12834.0,118.61494437358792,4.474634007991812
