,POP_2015,community_space,education,mobility,ID_HDC_G0,lng,lat
0,43.771,2770,1447,0,10796.0,116.30405632068751,39.459987399162266
1,66.186,2770,1447,0,10796.0,116.30522803781605,39.459987399162266
2,19.157,2770,1447,0,10796.0,116.3031241180892,39.45909537243722
3,29.567,2770,1447,0,10796.0,116.30429582582613,39.459095372437226
4,7.802,3089,1793,419,10796.0,116.30898265677408,39.459095372437226
5,119.588,3089,1793,419,10796.0,116.30805044934728,39.45820334999402
6,63.651,3089,1793,419,10796.0,116.30922214769309,39.45820334999402
7,0.107,2258,869,1140,10796.0,116.29071463867609,39.45731133183249
8,1.35,2220,831,1102,10796.0,116.29188632763119,39.45731133183249
9,62.13,2911,1615,593,10796.0,116.30828997300267,39.45731133183249
10,100.788,2990,1694,672,10796.0,116.30946166195777,39.45731133183249
11,47.804,2990,1694,672,10796.0,116.31063335091287,39.45731133183249
12,134.729,3743,2447,1169,10796.0,116.3164917956884,39.45731133183249
13,78.352,3743,2447,1169,10796.0,116.3176634846435,39.45731133183249
14,2.955,2258,869,1140,10796.0,116.28978264696522,39.456419317952474
15,2.004,2220,831,1102,10796.0,116.29095432653,39.45641931795246
16,2.908,1774,385,656,10796.0,116.29564104478925,39.45641931795246
17,59.42,1771,381,653,10796.0,116.29681272435404,39.45641931795246
18,85.999,2170,780,246,10796.0,116.30149944261329,39.45641931795246
19,77.338,2357,1034,6,10796.0,116.3038428017429,39.45641931795246
20,93.008,2361,1038,10,10796.0,116.30501448130771,39.45641931795246
21,84.545,2990,1694,672,10796.0,116.30852952000215,39.45641931795246
22,81.702,2990,1694,672,10796.0,116.30970119956693,39.45641931795247
23,1.961,2177,787,1415,10796.0,116.28885069737079,39.45552730835375
24,3.522,2408,1018,1290,10796.0,116.29002236754575,39.45552730835376
25,4.754,2408,1018,1290,10796.0,116.29119403772067,39.45552730835376
26,2.821,1767,378,649,10796.0,116.29588071842042,39.455527308353766
27,71.74,2208,818,284,10796.0,116.30056739912015,39.45552730835376
28,63.235,2245,855,321,10796.0,116.30173906929514,39.455527308353766
29,55.793,2353,1031,3,10796.0,116.30291073947004,39.455527308353766
30,48.466,2361,1038,10,10796.0,116.30408240964496,39.455527308353766
31,86.617,2731,1435,414,10796.0,116.30759742016976,39.45552730835376
32,105.813,2731,1435,414,10796.0,116.30876909034471,39.45552730835376
