,POP_2015,community_space,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,0.311,853,2584,827,876,1211,368,1955.0,-0.032024275999097976,14.042817717169608
1,0.128,853,2584,827,876,1211,368,1955.0,-0.031007632316586927,14.04281771716961
2,76.334,1162,2191,70,1555,1233,845,1955.0,-0.024907770221520645,14.04281771716961
3,67.437,1212,2240,0,1604,1282,894,1955.0,-0.023891126539009596,14.042817717169608
4,65.405,1301,2330,105,1694,1372,984,1955.0,-0.02287448285649855,14.042817717169608
5,1.831,739,2499,791,762,1175,295,1955.0,-0.03202420532242902,14.04199950592134
6,17.335,832,2543,786,855,1170,347,1955.0,-0.03100756388362175,14.041999505921341
7,11.514,985,2329,571,1007,956,341,1955.0,-0.02999092244481448,14.04199950592134
8,39.686,985,2329,571,1007,956,341,1955.0,-0.028974281006007217,14.04199950592134
9,57.003,1107,2284,519,1129,1075,460,1955.0,-0.027957639567199943,14.04199950592134
10,63.959,1080,2109,344,1304,1119,636,1955.0,-0.02694099812839267,14.04199950592134
11,76.901,1011,2040,267,1373,1051,694,1955.0,-0.0259243566895854,14.04199950592134
12,64.033,1073,2103,198,1435,1113,757,1955.0,-0.024907715250778128,14.04199950592134
13,81.624,1187,2216,35,1580,1257,870,1955.0,-0.023891073811970857,14.04199950592134
14,74.43,1187,2216,219,1580,1257,870,1955.0,-0.022874432373163583,14.04199950592134
15,57.9,1187,2216,219,1580,1257,870,1955.0,-0.02185779093435632,14.041999505921341
16,15.468,636,2395,717,658,1101,192,1955.0,-0.033040773845562345,14.041181295789714
17,27.055,729,2476,728,751,1112,243,1955.0,-0.03202413465031428,14.041181295789716
18,69.652,830,2362,605,853,989,130,1955.0,-0.031007495455066206,14.041181295789716
19,61.323,977,2264,506,999,890,276,1955.0,-0.029990856259818136,14.041181295789714
20,46.734,977,2264,506,999,890,276,1955.0,-0.028974217064570058,14.041181295789714
21,75.455,1097,2234,584,1119,1011,396,1955.0,-0.027957577869321987,14.041181295789714
22,66.522,1012,2042,411,1311,1052,588,1955.0,-0.026940938674073916,14.041181295789716
23,81.038,937,1966,335,1299,976,620,1955.0,-0.025924299478825845,14.041181295789714
24,73.149,1002,2031,272,1364,1041,685,1955.0,-0.024907660283577767,14.041181295789714
25,62.623,1065,2094,168,1457,1135,747,1955.0,-0.0238910210883297,14.041181295789716
26,70.311,1038,2067,173,1431,1109,721,1955.0,-0.022874381893081632,14.041181295789716
27,52.097,1287,2316,734,1680,1357,970,1955.0,-0.021857742697833554,14.041181295789714
28,57.589,1182,2211,629,1575,1252,865,1955.0,-0.020841103502585487,14.041181295789716
29,29.38,450,2209,871,472,1073,348,1955.0,-0.03405733788642054,14.040363086774663
30,50.926,521,2280,832,543,1144,307,1955.0,-0.033040700934587094,14.040363086774665
31,79.061,628,2387,641,650,1026,116,1955.0,-0.03202406398275365,14.040363086774663
32,57.351,786,2298,541,809,925,66,1955.0,-0.031007427030920208,14.040363086774667
33,72.618,929,2200,443,957,827,212,1955.0,-0.029990790079086744,14.040363086774663
34,76.883,929,2200,443,957,827,212,1955.0,-0.028974153127253304,14.040363086774665
35,71.538,1044,2177,558,1100,942,329,1955.0,-0.02795751617541985,14.040363086774665
36,67.547,1013,2042,539,1233,1053,463,1955.0,-0.026940879223586407,14.040363086774665
37,63.52,859,1888,455,1221,899,523,1955.0,-0.025924242271752957,14.040363086774665
38,60.225,884,1913,331,1277,955,567,1955.0,-0.024907605319919507,14.040363086774665
39,60.591,962,1991,252,1355,1033,645,1955.0,-0.023890968368086057,14.040363086774665
40,49.059,1034,2063,197,1427,1104,717,1955.0,-0.022874331416252607,14.040363086774665
41,51.493,1122,2150,568,1514,1192,804,1955.0,-0.021857694464419156,14.040363086774665
42,66.302,1158,2187,604,1551,1228,841,1955.0,-0.020841057512585706,14.040363086774665
