,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,0.0,5000,5000,3936,4834,5000,5000,4328.0,36.206364917481935,36.635303176416265
1,8.851,5000,5000,3936,4834,5000,5000,4328.0,36.20750871583343,36.635303176416265
2,21.084,5000,5000,5000,5000,5000,5000,4328.0,36.206959953869564,36.62563214935808
3,3.691,5000,5000,5000,5000,5000,5000,4328.0,36.20670217121296,36.62475298769416
4,6.117,5000,5000,2069,279,5000,5000,4328.0,36.224485589218695,36.62299467567126
5,64.687,5000,5000,2069,279,5000,5000,4328.0,36.22562927354752,36.62299467567126
6,0.82,4600,5000,2182,3080,5000,5000,4328.0,36.199952813880174,36.62123637872065
7,11.789,5000,5000,5000,5000,5000,5000,4328.0,36.21596416651881,36.62123637872065
8,0.0,5000,5000,1694,455,5000,5000,4328.0,36.22168250674688,36.62123637872064
9,21.323,5000,5000,1752,397,5000,5000,4328.0,36.22282617479251,36.621236378720646
10,103.165,5000,5000,1833,316,5000,5000,4328.0,36.223969842838116,36.62123637872065
11,96.57,5000,5000,2037,75,5000,5000,4328.0,36.22511351088374,36.62123637872065
12,101.798,5000,5000,2037,75,5000,5000,4328.0,36.22625717892935,36.62123637872065
13,59.083,5000,5000,2069,0,5000,5000,4328.0,36.22740084697496,36.62123637872064
14,4.647,4602,5000,2195,3092,5000,5000,4328.0,36.19969512868691,36.62035723589705
15,0.171,4504,5000,2086,2983,5000,5000,4328.0,36.20083878859146,36.62035723589706
16,0.547,5000,5000,5000,5000,5000,5000,4328.0,36.21570636735057,36.62035723589705
17,7.552,5000,5000,1640,509,5000,5000,4328.0,36.221424666873325,36.62035723589706
18,90.111,5000,5000,1695,455,5000,5000,4328.0,36.22256832677787,36.62035723589706
19,102.14,5000,5000,1828,336,5000,5000,4328.0,36.22371198668241,36.62035723589706
20,128.008,5000,5000,1906,206,5000,5000,4328.0,36.22485564658696,36.62035723589706
21,124.727,5000,5000,2017,73,5000,5000,4328.0,36.2259993064915,36.62035723589705
22,135.97,5000,5000,2033,35,5000,5000,4328.0,36.22714296639605,36.62035723589706
23,0.0,4504,5000,2086,2983,5000,5000,4328.0,36.199437454841764,36.61947809684111
24,30.891,4486,5000,2068,2966,5000,5000,4328.0,36.20058110660559,36.6194780968411
25,0.0,5000,5000,5000,5000,5000,5000,4328.0,36.2040120618971,36.6194780968411
26,2.631,5000,5000,1453,696,5000,5000,4328.0,36.220023186590815,36.6194780968411
