,POP_2015,education,mobility,ID_HDC_G0,lng,lat
0,24.289,5000,0,12372.0,121.24807270700295,31.933685672728874
1,25.579,5000,0,12372.0,121.24917727678513,31.933685672728878
2,18.51,5000,43,12372.0,121.25028184656738,31.933685672728878
3,9.965,5000,238,12372.0,121.25138641634955,31.93368567272887
4,12.91,5000,238,12372.0,121.25249098613173,31.933685672728878
5,16.259,5000,199,12372.0,121.24736605637713,31.932824818772545
6,28.159,5000,0,12372.0,121.24847061972174,31.932824818772545
7,13.109,5000,1740,12372.0,121.23892753801793,31.931963967860135
8,4.068,5000,1740,12372.0,121.24003209492524,31.931963967860135
9,4.514,5000,199,12372.0,121.24665943636909,31.931963967860135
10,25.722,5000,320,12372.0,121.24776399327637,31.93196396786014
11,0.85,5000,1740,12372.0,121.2393255441558,31.931103119991555
12,12.309,5000,1451,12372.0,121.24153464509637,31.931103119991555
13,6.771,5000,1451,12372.0,121.24263919556662,31.93110311999155
14,2.642,5000,1186,12372.0,121.24484829650719,31.931103119991555
15,0.211,5000,1186,12372.0,121.24595284697747,31.93110311999155
16,14.417,5000,320,12372.0,121.24705739744776,31.931103119991555
17,20.122,5000,312,12372.0,121.2492664983883,31.931103119991562
18,14.058,5000,509,12372.0,121.25147559932884,31.93110311999155
19,13.493,5000,575,12372.0,121.25258014979912,31.931103119991555
20,13.037,5000,971,12372.0,121.25589380120996,31.931103119991555
21,10.06,5000,986,12372.0,121.25699835168024,31.93110311999155
22,2.177,5000,1186,12372.0,121.24414174416746,31.930242275166655
23,3.076,5000,1186,12372.0,121.24524628820097,31.930242275166655
24,8.427,5000,826,12372.0,121.24855992030156,31.930242275166652
25,10.945,5000,575,12372.0,121.2507690083686,31.930242275166655
26,10.982,5000,575,12372.0,121.25187355240212,31.930242275166655
27,6.511,5000,983,12372.0,121.25518718450274,31.93024227516666
28,12.119,5000,986,12372.0,121.25629172853623,31.93024227516666
29,0.823,5000,40,12372.0,121.24644036972396,31.927659758952945
30,7.328,5000,40,12372.0,121.24754489444891,31.927659758952945
31,2.44,5000,0,12372.0,121.2468384323772,31.926798926301633
32,0.992,5000,1016,12372.0,121.25125650553446,31.92679892630163
33,0.75,5000,1016,12372.0,121.25236102382378,31.926798926301636
34,1.054,5000,982,12372.0,121.25055004833101,31.925938096693415
35,5.755,5000,982,12372.0,121.25165456018496,31.92593809669341
36,17.177,5000,846,12372.0,121.25094812715585,31.92507727012816
37,13.748,5000,828,12372.0,121.25205263257473,31.92507727012816
38,19.725,5000,824,12372.0,121.25134622371925,31.924216446605755
39,7.943,5000,0,12372.0,121.24701822142906,31.921633994294446
40,12.967,5000,438,12372.0,121.25143614015454,31.921633994294442
41,4.44,5000,438,12372.0,121.25254061983591,31.921633994294446
42,11.106,5000,837,12372.0,121.25585405888,31.921633994294442
43,0.484,5000,0,12372.0,121.24631194786255,31.920773182942227
44,0.533,5000,438,12372.0,121.25072984085328,31.920773182942227
45,13.425,5000,438,12372.0,121.25183431410096,31.920773182942234
46,0.992,5000,837,12372.0,121.25514773384403,31.92077318294223
47,3.33,5000,837,12372.0,121.25625220709169,31.920773182942227
48,10.63,5000,2768,12372.0,121.21909850135478,31.91991237463226
49,30.797,5000,2739,12372.0,121.22020296816905,31.919912374632258
50,12.358,5000,1253,12372.0,121.23566550356901,31.91991237463226
51,4.615,5000,1253,12372.0,121.23676997038329,31.91991237463226
52,0.236,5000,1110,12372.0,121.24450123808327,31.919912374632258
53,3.28,5000,1110,12372.0,121.24560570489757,31.919912374632258
54,18.121,5000,2768,12372.0,121.21839244338504,31.919051569364417
55,13.856,5000,2744,12372.0,121.21949690376618,31.919051569364413
56,12.456,5000,1208,12372.0,121.23495934910238,31.919051569364413
57,10.036,5000,1203,12372.0,121.23606380948357,31.919051569364413
58,5.02,5000,1110,12372.0,121.24379503215167,31.919051569364413
59,0.875,5000,1104,12372.0,121.24489949253281,31.919051569364417
60,9.657,5000,720,12372.0,121.24821287367628,31.919051569364417
61,17.006,5000,714,12372.0,121.24931733405744,31.919051569364413
62,16.897,5000,474,12372.0,121.25152625481975,31.919051569364417
63,13.072,5000,884,12372.0,121.25594409634441,31.919051569364417
64,27.844,5000,1091,12372.0,121.2353576791805,31.918190767138565
65,35.696,5000,1091,12372.0,121.2364621331288,31.918190767138565
66,14.392,5000,112,12372.0,121.2464022186636,31.918190767138565
67,18.931,5000,0,12372.0,121.24750667261192,31.91819076713857
68,9.405,5000,884,12372.0,121.25523785025011,31.918190767138572
69,22.507,5000,1167,12372.0,121.23575602698857,31.917329967954622
70,21.184,5000,112,12372.0,121.24569605463024,31.91732996795462
71,24.541,5000,55,12372.0,121.246800502146,31.917329967954622
72,24.683,5000,0,12372.0,121.24790494966174,31.917329967954625
73,12.588,5000,108,12372.0,121.25051212661101,31.916469171812434
74,16.711,5000,110,12372.0,121.25161656769447,31.916469171812434
75,1.651,5000,361,12372.0,121.24759712230708,31.91560837871188
76,2.209,5000,108,12372.0,121.24980599160997,31.91560837871188
77,2.012,5000,79,12372.0,121.25091042626143,31.91560837871188
78,7.459,5000,361,12372.0,121.24578660254537,31.914747588652848
79,9.46,5000,361,12372.0,121.24689103076511,31.914747588652848
80,26.772,5000,0,12372.0,121.25020431542424,31.914747588652848
81,32.612,5000,0,12372.0,121.25130874364395,31.914747588652848
82,40.575,3278,282,12372.0,121.19467583303495,31.913026017658844
83,0.513,3634,1487,12372.0,121.14316731848658,31.912165236723656
84,10.343,2957,1109,12372.0,121.14979377204371,31.912165236723656
