,POP_2015,community_space,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,146.262,2316,3680,372,2071,8634.0,79.64524908515608,12.241250595704358
1,153.622,2316,3680,372,2071,8634.0,79.64626112809373,12.241250595704356
2,140.179,2291,3655,358,2046,8634.0,79.64727317103137,12.241250595704358
3,32.667,2305,3670,238,2061,8634.0,79.648285213969,12.241250595704354
4,119.678,2339,3703,190,2094,8634.0,79.64929725690665,12.241250595704356
5,127.206,2015,3700,693,1770,8634.0,79.65334542865722,12.241250595704356
6,82.81,2015,3700,693,1770,8634.0,79.65435747159485,12.241250595704356
7,134.029,2331,3696,346,2087,8634.0,79.64509710408211,12.240434677343918
8,129.189,2293,3658,308,2049,8634.0,79.64610914508853,12.24043467734392
9,160.445,2229,3593,297,1984,8634.0,79.64712118609495,12.240434677343918
10,129.761,2178,3542,246,1933,8634.0,79.6481332271014,12.240434677343918
11,102.605,2305,3670,238,2061,8634.0,79.64914526810784,12.240434677343918
12,96.186,2193,3557,124,1948,8634.0,79.65015730911428,12.24043467734392
13,88.692,2125,3489,23,1880,8634.0,79.65116935012072,12.24043467734392
14,29.004,2015,3700,693,1770,8634.0,79.65319343213358,12.240434677343918
15,103.748,2015,3700,693,1770,8634.0,79.65420547314002,12.240434677343918
16,123.913,2321,3685,336,2076,8634.0,79.64393309487365,12.239618759947291
17,149.657,2338,3703,353,2094,8634.0,79.64494513394904,12.239618759947291
18,194.019,2253,3617,268,2008,8634.0,79.6459571730244,12.23961875994729
19,117.561,2177,3541,245,1932,8634.0,79.64696921209976,12.239618759947291
20,179.702,2155,3519,222,1910,8634.0,79.64798125117515,12.23961875994729
21,133.39,2074,3438,0,1829,8634.0,79.64899329025052,12.239618759947291
22,112.923,2038,3402,103,1793,8634.0,79.6500053293259,12.23961875994729
23,19.795,2064,3428,344,1819,8634.0,79.65101736840124,12.239618759947291
24,127.307,2064,3428,344,1819,8634.0,79.65202940747662,12.239618759947291
25,44.463,1928,3566,482,1683,8634.0,79.65304144655198,12.239618759947291
26,130.534,1927,3612,605,1682,8634.0,79.65405348562736,12.239618759947291
27,90.943,1926,3611,604,1681,8634.0,79.65506552470274,12.239618759947291
28,48.765,1926,3611,604,1681,8634.0,79.6560775637781,12.23961875994729
29,7.562,2964,0,2246,1908,8634.0,79.66214979823032,12.239618759947291
30,12.301,3023,73,2305,1967,8634.0,79.6631618373057,12.239618759947291
31,121.325,2249,3613,264,2004,8634.0,79.64479317475671,12.238802843514398
32,171.804,2143,3507,158,1898,8634.0,79.64580521190116,12.238802843514398
33,157.958,2064,3428,105,1819,8634.0,79.6468172490456,12.2388028435144
34,91.447,2008,3372,23,1763,8634.0,79.64782928619006,12.2388028435144
35,106.101,1951,3315,122,1706,8634.0,79.64884132333448,12.2388028435144
36,89.431,1996,3360,137,1751,8634.0,79.64985336047891,12.2388028435144
37,68.829,1989,3354,269,1745,8634.0,79.65086539762339,12.2388028435144
38,156.311,1873,3516,432,1628,8634.0,79.65187743476783,12.2388028435144
39,154.328,1901,3541,457,1656,8634.0,79.65288947191225,12.238802843514398
40,115.746,1854,3539,531,1609,8634.0,79.65390150905668,12.2388028435144
41,107.579,1877,3562,555,1632,8634.0,79.65491354620113,12.238802843514398
42,21.576,1926,3611,604,1681,8634.0,79.65592558334558,12.238802843514398
43,25.878,2848,116,2130,1792,8634.0,79.66199780621223,12.2388028435144
44,4.806,3082,157,2364,2026,8634.0,79.66300984335668,12.2388028435144
45,125.257,2128,3493,312,1884,8634.0,79.64464122650494,12.237986928045183
46,125.123,2098,3463,223,1854,8634.0,79.64565326171862,12.237986928045183
47,165.956,2018,3382,33,1773,8634.0,79.64666529693226,12.237986928045181
48,142.095,1984,3348,24,1739,8634.0,79.64767733214592,12.237986928045183
49,150.463,1921,3285,149,1676,8634.0,79.64868936735957,12.237986928045185
50,144.246,1844,3208,124,1599,8634.0,79.64970140257323,12.237986928045181
51,125.593,1897,3261,177,1652,8634.0,79.65071343778688,12.237986928045181
52,137.625,1873,3516,432,1628,8634.0,79.65172547300054,12.237986928045185
53,92.691,1873,3516,432,1628,8634.0,79.6527375082142,12.237986928045181
54,155.538,1728,3413,405,1483,8634.0,79.65374954342784,12.237986928045185
55,175.904,1768,3453,446,1523,8634.0,79.6547615786415,12.23798692804518
56,9.074,2848,116,2130,1792,8634.0,79.66184582513706,12.237986928045183
57,34.314,3082,157,2364,2026,8634.0,79.66285786035073,12.23798692804518
58,118.972,2128,3493,312,1884,8634.0,79.6444892891936,12.23717101353957
59,159.873,2083,3447,298,1838,8634.0,79.6455013224766,12.237171013539566
60,171.132,2033,3397,213,1788,8634.0,79.64651335575961,12.23717101353957
61,153.992,1911,3275,128,1666,8634.0,79.64752538904261,12.237171013539566
62,105.933,1799,3164,83,1554,8634.0,79.6485374223256,12.237171013539568
63,133.626,1736,3100,16,1491,8634.0,79.64954945560862,12.237171013539568
64,124.484,1801,3165,81,1556,8634.0,79.65056148889163,12.237171013539568
65,133.222,1671,3201,0,1426,8634.0,79.65157352217463,12.237171013539566
66,90.674,1542,3228,220,1298,8634.0,79.65258555545763,12.237171013539568
67,60.629,1596,3281,274,1351,8634.0,79.65359758874062,12.237171013539568
68,145.254,2067,3432,373,1823,8634.0,79.64433736282244,12.236355099997487
69,163.469,2067,3432,373,1823,8634.0,79.64534939417493,12.236355099997485
70,30.516,1999,3363,235,1754,8634.0,79.64636142552742,12.236355099997484
71,34.65,1999,3363,235,1754,8634.0,79.64737345687992,12.236355099997487
72,102.505,1733,3097,16,1488,8634.0,79.64838548823239,12.236355099997485
73,146.565,1674,3038,45,1429,8634.0,79.6493975195849,12.236355099997485
