,POP_2015,active_living,community_space,education,health_wellbeing,ID_HDC_G0,lng,lat
0,41.973,3000,1599,0,2463,3847.0,28.070246472915475,-1.41256797887917
1,79.076,3000,1599,0,2463,3847.0,28.071244437415448,-1.4125679788791703
2,46.147,3114,1714,114,2578,3847.0,28.070252502459034,-1.4133768410292706
3,83.714,2894,1493,0,2357,3847.0,28.071250467173382,-1.4133768410292709
4,60.872,2894,1493,0,2357,3847.0,28.071256500386692,-1.414185703287318
5,69.8,2831,1431,335,2295,3847.0,28.072254465315513,-1.414185703287318
6,86.844,2695,1294,199,2158,3847.0,28.07126253705539,-1.414994565653373
7,156.412,2831,1431,335,2295,3847.0,28.072260502198816,-1.414994565653373
8,144.76,2659,1258,234,2122,3847.0,28.071268577179485,-1.4158034281274974
9,189.167,2623,1223,270,2086,3847.0,28.072266542537648,-1.4158034281274974
10,99.946,2619,1218,333,2082,3847.0,28.07127462075898,-1.4166122907097536
11,143.194,2556,1156,337,2020,3847.0,28.072272586332,-1.4166122907097534
12,39.19,2448,1047,446,1911,3847.0,28.071280667793886,-1.4174211534002021
13,86.612,2448,1047,446,1911,3847.0,28.07227863358188,-1.4174211534002021
14,12.58,2448,1047,446,1911,3847.0,28.0712867182842,-1.418230016198906
15,12.232,2355,954,538,1818,3847.0,28.072284684287307,-1.4182300161989063
16,9.913,2355,954,538,1818,3847.0,28.071292772229942,-1.4190388791059276
17,80.119,2325,925,568,1788,3847.0,28.07229073844827,-1.419038879105928
18,56.466,2444,143,0,0,3847.0,28.068304930330086,-1.4198477421213276
19,22.436,2548,248,104,104,3847.0,28.069302896763762,-1.419847742121328
20,147.195,2356,0,143,143,3847.0,28.06731302389114,-1.4206566052451683
21,99.54,2400,71,71,71,3847.0,28.068310990540283,-1.4206566052451686
22,109.338,2126,725,767,1589,3847.0,28.072302857136872,-1.4206566052451683
23,70.148,2448,1048,1325,1912,3847.0,28.07629472373345,-1.4206566052451683
24,35.132,2466,207,350,350,3847.0,28.06632112047608,-1.4214654684775112
25,2.899,2356,0,143,143,3847.0,28.067319087340813,-1.4214654684775119
26,17.508,2328,28,115,115,3847.0,28.068317054205554,-1.4214654684775119
27,225.517,2008,608,885,1471,3847.0,28.072308921664508,-1.4214654684775112
28,66.901,2448,1048,1325,1912,3847.0,28.07630078912346,-1.4214654684775119
29,52.814,2212,144,232,232,3847.0,28.0683231213259,-1.4222743318184186
30,260.301,1934,533,960,1397,3847.0,28.072314989647722,-1.4222743318184183
31,230.386,1896,496,997,1360,3847.0,28.073312956728174,-1.4222743318184186
32,156.876,2053,74,1168,1516,3847.0,28.07431092380863,-1.4222743318184186
33,187.486,2053,74,1168,1516,3847.0,28.075308890889083,-1.4222743318184183
34,114.787,2153,202,290,290,3847.0,28.068329191901338,-1.423083195267952
35,41.683,2153,202,290,290,3847.0,28.06932715919763,-1.423083195267952
36,164.065,1802,402,918,1266,3847.0,28.07232106108651,-1.4230831952679526
37,144.18,1802,402,918,1266,3847.0,28.073319028382805,-1.4230831952679517
38,129.861,1978,0,1094,1442,3847.0,28.074316995679094,-1.423083195267952
39,201.979,2122,482,1237,1585,3847.0,28.07531496297539,-1.4230831952679521
40,64.293,1937,418,506,506,3847.0,28.069333233444127,-1.423892058826173
