,POP_2015,active_living,community_space,food_choices,health_wellbeing,ID_HDC_G0,lng,lat
0,0.0,5000,1793,446,1266,5803.0,49.623698346895665,27.022834091879684
1,11.366,5000,1793,446,1266,5803.0,49.62477012146283,27.022834091879684
2,0.0,5000,1696,430,1169,5803.0,49.623466579445775,27.02198888921246
3,19.69,5000,1774,334,1247,5803.0,49.624538349007224,27.02198888921246
4,26.235,5000,1826,269,1202,5803.0,49.62561011856866,27.02198888921246
5,37.738,5000,1626,0,932,5803.0,49.627753657691535,27.021988889212462
6,44.726,5000,1626,0,932,5803.0,49.62882542725298,27.02198888921246
7,38.811,5000,1712,119,1018,5803.0,49.62989719681441,27.02198888921246
8,5.136,5000,847,1111,393,5803.0,49.648117279358885,27.021988889212462
9,7.482,5000,842,1119,389,5803.0,49.649189048920334,27.02198888921246
10,22.973,5000,1358,683,858,5803.0,49.66097851409617,27.02198888921246
11,17.448,5000,1358,683,858,5803.0,49.66205028365762,27.02198888921246
12,18.465,5000,1382,700,875,5803.0,49.66312205321906,27.02198888921246
13,10.713,5000,1754,1072,1247,5803.0,49.66633736190338,27.02198888921246
14,10.839,5000,1544,516,1017,5803.0,49.62430658683639,27.0211436889566
15,10.86,5000,1636,424,1109,5803.0,49.62537835139233,27.021143688956595
16,24.71,5000,1696,365,1104,5803.0,49.626450115948266,27.021143688956595
17,11.829,5000,1626,0,932,5803.0,49.62752188050421,27.0211436889566
18,35.433,5000,1626,0,932,5803.0,49.62859364506014,27.021143688956595
19,44.662,5000,1690,142,996,5803.0,49.62966540961609,27.021143688956595
20,32.687,5000,1816,263,1122,5803.0,49.63073717417203,27.021143688956595
21,13.439,5000,1841,303,1147,5803.0,49.63180893872797,27.021143688956595
22,22.3,4552,1109,518,655,5803.0,49.64252658428737,27.021143688956595
23,5.23,4552,1109,518,655,5803.0,49.643598348843305,27.021143688956595
24,16.185,5000,837,1102,384,5803.0,49.64788540706705,27.021143688956595
25,9.24,5000,824,1101,370,5803.0,49.648957171622996,27.02114368895659
26,7.419,5000,1250,1314,796,5803.0,49.652172465290825,27.021143688956595
27,14.965,5000,1250,1314,796,5803.0,49.653244229846756,27.0211436889566
28,11.86,5000,1566,907,1082,5803.0,49.657531288070516,27.0211436889566
29,10.176,5000,1327,652,827,5803.0,49.66074658173833,27.021143688956595
30,16.143,5000,1323,640,815,5803.0,49.66181834629429,27.021143688956595
31,1.042,5000,1371,689,864,5803.0,49.66289011085022,27.021143688956595
32,0.884,5000,1754,1072,1247,5803.0,49.66610540451803,27.021143688956595
33,13.66,5000,1496,676,969,5803.0,49.62300307539932,27.020298491111994
34,34.476,5000,1515,545,988,5803.0,49.62407483494997,27.020298491111994
35,19.984,5000,1636,424,1104,5803.0,49.62514659450064,27.020298491111998
36,43.021,5000,1491,343,960,5803.0,49.626218354051296,27.020298491111998
37,31.224,5000,1541,230,847,5803.0,49.62729011360196,27.020298491111998
38,36.58,5000,1499,127,805,5803.0,49.62836187315262,27.020298491111998
39,38.611,5000,1605,227,911,5803.0,49.62943363270328,27.020298491111998
40,40.316,5000,1693,327,999,5803.0,49.63050539225394,27.020298491111998
41,14.249,5000,1700,369,1006,5803.0,49.6315771518046,27.020298491111998
42,6.861,4907,2170,516,762,5803.0,49.63479243045658,27.020298491111998
43,34.497,4930,2091,539,785,5803.0,49.635864190007254,27.020298491111998
44,29.919,4524,1111,490,657,5803.0,49.642294747311226,27.020298491111994
45,1.831,4487,1071,470,617,5803.0,49.64336650686189,27.020298491111998
46,15.428,4585,985,551,531,5803.0,49.64443826641254,27.020298491111994
47,2.61,4956,740,1018,286,5803.0,49.64765354506452,27.020298491111998
48,11.808,4956,740,1018,286,5803.0,49.64872530461518,27.020298491111998
49,9.524,5000,1168,1232,714,5803.0,49.65194058326718,27.020298491111998
50,9.189,5000,1168,1232,714,5803.0,49.65301234281783,27.020298491111994
51,8.646,5000,1417,757,933,5803.0,49.65729938102048,27.020298491111994
52,4.01,5000,1417,757,933,5803.0,49.65837114057114,27.020298491111998
53,28.856,5000,1323,640,815,5803.0,49.66158641922313,27.020298491111994
54,5.609,5000,1416,733,908,5803.0,49.66265817877378,27.020298491111994
55,12.471,5000,1570,883,1058,5803.0,49.665873457425775,27.020298491111998
56,6.062,5000,1547,861,1036,5803.0,49.66694521697643,27.020298491111998
57,23.205,5000,1496,676,969,5803.0,49.62277133880198,27.019453295678556
58,36.864,5000,1398,656,872,5803.0,49.623843093347595,27.019453295678556
59,35.612,5000,1297,538,770,5803.0,49.624914847893194,27.019453295678552
60,41.558,5000,1491,343,960,5803.0,49.62598660243881,27.019453295678552
61,40.421,5000,1541,230,847,5803.0,49.627058356984406,27.019453295678552
62,47.199,5000,1400,225,706,5803.0,49.62813011153002,27.019453295678552
63,37.812,5000,1574,258,880,5803.0,49.62920186607562,27.019453295678552
64,33.023,5000,1700,369,1006,5803.0,49.630273620621224,27.019453295678552
65,15.596,5000,1600,469,906,5803.0,49.63134537516683,27.019453295678556
66,10.987,4907,2170,516,762,5803.0,49.63456063880365,27.019453295678556
67,28.477,4882,2126,491,737,5803.0,49.63563239334925,27.019453295678556
68,42.474,4859,2113,469,715,5803.0,49.636704147894854,27.019453295678552
69,38.569,4703,1844,443,814,5803.0,49.637775902440474,27.019453295678552
70,40.874,4703,1844,443,814,5803.0,49.63884765698609,27.019453295678552
71,32.739,4482,1103,482,649,5803.0,49.64206292062289,27.019453295678552
72,19.174,4473,1022,439,568,5803.0,49.64313467516848,27.019453295678552
73,20.005,4546,877,502,424,5803.0,49.6442064297141,27.019453295678552
74,10.061,4584,809,541,355,5803.0,49.6452781842597,27.019453295678552
75,7.114,4819,604,882,150,5803.0,49.64849344789652,27.019453295678552
76,10.429,5000,1245,1152,792,5803.0,49.65278046607894,27.019453295678552
77,25.741,5000,1417,757,933,5803.0,49.657067484261376,27.019453295678556
78,14.931,5000,1417,757,933,5803.0,49.65813923880697,27.019453295678556
79,38.096,5000,1398,656,872,5803.0,49.623611362028896,27.018608102656177
80,32.529,5000,1297,538,770,5803.0,49.62468311156966,27.018608102656174
81,47.02,5000,1297,538,770,5803.0,49.62575486111043,27.018608102656174
82,46.399,5000,1294,331,600,5803.0,49.62789836019198,27.018608102656177
83,30.445,5000,1307,415,613,5803.0,49.62897010973275,27.018608102656174
84,14.281,5000,1600,469,906,5803.0,49.631113608814296,27.018608102656177
85,32.381,5000,1540,804,801,5803.0,49.632185358355066,27.018608102656174
86,27.13,4859,2113,469,715,5803.0,49.635400606977356,27.018608102656174
87,44.568,4769,2048,378,625,5803.0,49.63647235651814,27.018608102656174
88,47.735,4775,1947,362,724,5803.0,49.63754410605893,27.018608102656177
89,47.609,4629,1805,406,753,5803.0,49.638615855599696,27.01860810265618
90,24.32,4504,1646,316,658,5803.0,49.639687605140466,27.018608102656174
91,33.497,4464,1606,277,628,5803.0,49.64075935468122,27.018608102656174
92,14.575,4354,1083,310,630,5803.0,49.64290285376277,27.018608102656174
93,44.673,4452,977,408,523,5803.0,49.64397460330354,27.018608102656177
94,40.506,4522,872,478,418,5803.0,49.64504635284432,27.018608102656177
95,28.445,4578,914,535,460,5803.0,49.64611810238509,27.018608102656177
96,11.302,4766,568,782,114,5803.0,49.64718985192585,27.018608102656177
97,13.902,4707,502,768,48,5803.0,49.64826160146663,27.01860810265617
98,15.807,4702,455,799,33,5803.0,49.649333351007414,27.018608102656174
99,10.755,5000,1055,961,601,5803.0,49.652548599629725,27.018608102656174
100,8.271,5000,1079,392,567,5803.0,49.66112259595589,27.018608102656174
101,9.798,5000,1057,370,545,5803.0,49.662194345496665,27.018608102656174
102,23.057,5000,1161,887,634,5803.0,49.624451385529646,27.017762912044766
103,40.253,5000,1060,773,533,5803.0,49.625523130065794,27.017762912044766
104,21.858,5000,1171,662,644,5803.0,49.626594874601956,27.017762912044766
105,38.254,5000,1266,359,572,5803.0,49.627666619138125,27.017762912044766
106,41.947,5000,1283,439,589,5803.0,49.62873836367428,27.017762912044766
107,43.705,5000,1353,557,659,5803.0,49.62981010821044,27.017762912044766
108,12.755,5000,1397,559,703,5803.0,49.630881852746604,27.017762912044766
109,13.333,5000,1540,804,801,5803.0,49.631953597282774,27.017762912044766
110,12.607,4631,1909,240,487,5803.0,49.635168830891224,27.017762912044763
111,42.021,4631,1909,240,487,5803.0,49.6362405754274,27.017762912044766
112,44.515,4713,1992,207,569,5803.0,49.63731231996356,27.017762912044766
113,48.988,4631,1910,291,662,5803.0,49.63838406449971,27.017762912044766
114,40.39,4536,1808,297,632,5803.0,49.63945580903588,27.017762912044766
115,29.403,4394,1672,206,558,5803.0,49.64052755357204,27.01776291204477
116,43.263,4251,1530,349,700,5803.0,49.6415992981082,27.017762912044766
117,27.477,4244,1345,529,881,5803.0,49.642671042644366,27.01776291204477
118,57.659,4350,1044,306,590,5803.0,49.643742787180514,27.017762912044766
119,48.693,4382,1012,338,558,5803.0,49.64481453171667,27.017762912044766
120,44.105,4503,921,460,468,5803.0,49.64588627625284,27.017762912044766
121,39.211,4672,768,630,314,5803.0,49.64695802078899,27.01776291204477
122,33.876,4672,475,799,33,5803.0,49.64802976532515,27.017762912044766
123,5.42,4777,519,857,108,5803.0,49.64910150986131,27.017762912044766
124,4.43,4816,249,770,238,5803.0,49.65017325439747,27.017762912044766
125,13.165,4816,249,770,238,5803.0,49.651244998933635,27.01776291204477
126,23.142,5000,1055,961,601,5803.0,49.65231674346979,27.017762912044766
127,44.612,5000,1055,961,601,5803.0,49.65338848800595,27.01776291204477
128,22.626,5000,1137,478,653,5803.0,49.657675466150586,27.017762912044766
129,17.328,5000,966,280,455,5803.0,49.661962444295234,27.017762912044766
130,21.616,5000,1288,602,777,5803.0,49.665177677903706,27.017762912044766
131,15.333,5000,1309,622,797,5803.0,49.66624942243987,27.017762912044766
132,27.246,5000,1161,887,634,5803.0,49.62421966977276,27.016917723844212
133,36.702,5000,1057,776,530,5803.0,49.62529140930453,27.01691772384422
134,25.018,5000,1171,662,644,5803.0,49.626363148836305,27.016917723844212
135,34.255,5000,1226,549,533,5803.0,49.62743488836808,27.016917723844216
136,39.369,5000,1150,475,457,5803.0,49.62850662789985,27.016917723844216
137,31.918,5000,1471,674,777,5803.0,49.62957836743161,27.01691772384422
