,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,0.076,2934,3124,1839,2168,2526,2162,11115.0,105.82738268982949,21.64626270642257
1,0.494,2700,2601,242,2437,1906,572,11115.0,105.83886575239976,21.64626270642257
2,14.221,2700,2601,242,2437,1906,572,11115.0,105.83990966717883,21.64626270642257
3,0.0,3608,3799,2616,2694,3262,2899,11115.0,105.82178556414952,21.645431033620834
4,0.0,3608,3799,2616,2694,3262,2899,11115.0,105.82282947520417,21.645431033620838
5,0.0,3075,3266,1980,2310,2667,2303,11115.0,105.82596120836806,21.645431033620834
6,3.745,3075,3266,1980,2310,2667,2303,11115.0,105.8270051194227,21.645431033620834
7,8.993,2806,2997,1967,2041,2398,2034,11115.0,105.82804903047735,21.645431033620834
8,20.343,2803,2965,744,2377,2270,936,11115.0,105.83535640785983,21.645431033620838
9,5.951,2799,2961,740,2373,2265,932,11115.0,105.83640031891446,21.645431033620834
10,11.16,2724,2676,381,2298,1980,647,11115.0,105.83848814102375,21.645431033620834
11,21.617,2543,2444,43,2383,1749,415,11115.0,105.84057596313298,21.645431033620834
12,23.461,2533,2434,229,2373,1739,405,11115.0,105.84161987418763,21.645431033620834
13,6.141,2621,2522,330,2461,1827,493,11115.0,105.84266378524227,21.645431033620834
14,0.0,2465,2366,443,2305,1670,337,11115.0,105.84370769629695,21.645431033620838
15,0.0,3424,3615,2648,2509,3364,3000,11115.0,105.82140803064296,21.64459936264267
16,0.0,3608,3799,2616,2694,3262,2899,11115.0,105.8224519379733,21.644599362642673
17,0.0,3493,3684,2398,2657,3085,2722,11115.0,105.82349584530364,21.64459936264267
18,0.0,3455,3645,2360,2618,3047,2683,11115.0,105.824539752634,21.644599362642666
19,0.0,3166,3356,2070,2400,2757,2394,11115.0,105.82558365996432,21.64459936264267
20,5.0,3075,3266,1980,2310,2667,2303,11115.0,105.82662756729465,21.64459936264267
21,8.86,2786,2976,1970,2020,2378,2014,11115.0,105.82767147462503,21.64459936264267
22,5.475,2692,2882,1876,1926,2284,1920,11115.0,105.82871538195536,21.64459936264267
23,0.361,2612,2802,1796,1846,2204,1840,11115.0,105.82975928928569,21.644599362642666
24,3.175,2772,2962,1956,2006,2364,2000,11115.0,105.83080319661605,21.64459936264267
25,0.0,2772,2962,1956,2006,2364,2000,11115.0,105.8318471039464,21.644599362642666
26,0.019,2745,2907,686,2319,2211,878,11115.0,105.83497882593744,21.64459936264267
27,0.57,2696,2858,637,2270,2162,829,11115.0,105.83602273326778,21.64459936264267
28,0.532,2558,2720,499,2132,2024,691,11115.0,105.8370666405981,21.644599362642666
29,6.863,2613,2652,367,2187,1956,623,11115.0,105.83811054792847,21.64459936264267
30,0.0,2656,2608,324,2230,1913,579,11115.0,105.83915445525881,21.644599362642673
31,5.361,2485,2386,101,2325,1690,357,11115.0,105.84019836258915,21.644599362642666
