,POP_2015,active_living,community_space,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,11.081,5000,1578,1286,1925,1483,8363.0,78.57744431363571,12.577491761480646
1,18.367,5000,1673,455,2020,1578,8363.0,78.567953497388,12.570144905786995
2,109.251,5000,1673,455,2020,1578,8363.0,78.56896632994462,12.570144905786997
3,16.134,5000,451,581,1289,430,8363.0,78.5811203206239,12.570144905786997
4,42.679,5000,451,581,1289,430,8363.0,78.58213315318051,12.570144905786995
5,48.875,5000,1673,455,2020,1578,8363.0,78.56779932805222,12.569328593445903
6,108.106,5000,1673,455,2020,1578,8363.0,78.5688121586214,12.5693285934459
7,118.518,5000,1217,0,1564,1122,8363.0,78.57185065032895,12.569328593445903
8,94.15,5000,1217,0,1564,1122,8363.0,78.57286348089815,12.5693285934459
9,97.276,5000,895,321,1242,801,8363.0,78.57488914203651,12.569328593445901
10,20.572,5000,895,321,1242,801,8363.0,78.5759019726057,12.569328593445901
11,5.694,5000,673,544,1020,578,8363.0,78.57691480317489,12.569328593445901
12,15.212,5000,631,585,978,537,8363.0,78.57792763374407,12.569328593445901
13,120.444,5000,451,581,1289,430,8363.0,78.58096612545162,12.5693285934459
14,116.201,5000,381,510,1218,359,8363.0,78.5819789560208,12.5693285934459
15,137.917,5000,1217,0,1564,1122,8363.0,78.57169648390177,12.568512282096192
16,18.087,5000,1217,0,1564,1122,8363.0,78.57270931248367,12.568512282096188
17,44.018,5000,948,268,1295,854,8363.0,78.57473496964748,12.568512282096192
18,45.247,5000,895,321,1242,801,8363.0,78.57574779822939,12.568512282096194
19,11.975,5000,746,470,1093,651,8363.0,78.57676062681126,12.568512282096194
20,25.484,5000,608,608,955,514,8363.0,78.57777345539319,12.568512282096194
21,17.278,5000,469,577,885,375,8363.0,78.57878628397508,12.568512282096192
22,19.706,5000,421,529,921,327,8363.0,78.57979911255698,12.568512282096194
23,130.576,5000,366,495,1120,344,8363.0,78.58081194113889,12.568512282096188
24,93.48,5000,324,453,1162,302,8363.0,78.5818247697208,12.568512282096192
25,19.595,5000,469,577,885,375,8363.0,78.57863211449599,12.5676959717378
26,87.451,5000,407,500,892,298,8363.0,78.57964494109073,12.5676959717378
27,132.39,5000,311,440,1065,289,8363.0,78.58065776768551,12.567695971737802
28,124.156,5000,240,369,1077,218,8363.0,78.58167059428027,12.567695971737802
29,33.523,5000,377,615,719,413,8363.0,78.57847795587575,12.566879662370658
30,89.321,5000,379,617,748,414,8363.0,78.57949078048354,12.566879662370662
31,96.69,5000,236,257,914,55,8363.0,78.5805036050913,12.566879662370658
32,137.163,5000,196,271,954,95,8363.0,78.58151642969904,12.566879662370658
33,140.708,5000,9,138,901,300,8363.0,78.58252925430678,12.566879662370662
34,135.238,5000,18,147,910,309,8363.0,78.58354207891456,12.566879662370658
35,72.155,5000,265,394,1087,556,8363.0,78.58455490352233,12.566879662370656
36,41.841,5000,289,527,604,325,8363.0,78.57832380811428,12.566063353994698
37,88.177,5000,224,451,669,248,8363.0,78.57933663073516,12.566063353994702
38,123.402,5000,291,202,859,0,8363.0,78.58034945335605,12.566063353994698
39,132.697,5000,291,186,843,16,8363.0,78.58136227597694,12.566063353994698
40,146.682,5000,129,0,763,202,8363.0,78.58237509859784,12.566063353994698
41,119.83,5000,129,0,763,202,8363.0,78.58338792121876,12.566063353994704
42,26.294,5000,288,418,1064,580,8363.0,78.58541356646053,12.566063353994698
43,0.251,5000,25,761,1428,923,8363.0,78.58845203432323,12.566063353994698
44,24.2,5000,0,786,1453,948,8363.0,78.58946485694412,12.5660633539947
45,94.82,5000,1653,0,2000,1558,8363.0,78.57209274740627,12.56524704660985
46,19.706,5000,1323,424,1670,1229,8363.0,78.57614402994297,12.565247046609851
47,23.698,5000,1436,540,1783,1342,8363.0,78.57715685057713,12.565247046609855
