,POP_2015,community_space,education,ID_HDC_G0,lng,lat
0,97.122,5000,0,3852.0,28.120884264250098,-3.253129895741648
1,81.871,5000,0,3852.0,28.121883034801645,-3.2531298957416483
2,104.389,5000,0,3852.0,28.119899422135266,-3.2539391636421953
3,68.662,5000,34,3852.0,28.120898193181535,-3.253939163642195
4,113.589,5000,0,3852.0,28.1218969642278,-3.253939163642195
5,60.75,718,0,3852.0,28.115324965532423,-3.27821731670235
6,126.011,718,0,3852.0,28.116323751477662,-3.27821731670235
7,144.304,718,0,3852.0,28.1163377859242,-3.2790265923494286
8,126.87,420,0,3852.0,28.114368290386015,-3.2806451443962947
9,133.815,1367,0,3852.0,28.12135980247486,-3.2806451443962956
10,169.256,1367,0,3852.0,28.1213738498673,-3.281454420796209
11,152.072,819,79,3852.0,28.10841769890629,-3.283072974349308
12,125.331,0,324,3852.0,28.112412854659883,-3.2830729743493086
13,74.318,740,0,3852.0,28.10743296082355,-3.2838822515026185
14,84.556,740,0,3852.0,28.10843175026124,-3.283882251502618
15,93.434,93,230,3852.0,28.11142811857433,-3.283882251502618
16,108.577,0,324,3852.0,28.11242690801201,-3.2838822515026194
17,116.381,93,230,3852.0,28.111442174910373,-3.2846915289071843
18,111.835,93,230,3852.0,28.11244096484749,-3.284691528907184
19,58.387,324,0,3852.0,28.110471507095927,-3.286310084470334
20,44.927,324,0,3852.0,28.11147029803225,-3.286310084470333
