,POP_2015,active_living,community_space,education,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,138.014,514,4018,3792,1740,3205,9505.0,88.13990172072461,25.6440769404196
1,59.662,593,4096,3870,1818,3284,9505.0,88.1409656019729,25.6440769404196
2,0.561,1219,3784,3656,1904,3095,9505.0,88.12568584532623,25.643235548807304
3,24.752,1219,3784,3656,1904,3095,9505.0,88.1267497219217,25.643235548807304
4,29.691,189,3693,3467,1415,2880,9505.0,88.13632461128067,25.643235548807304
5,41.084,189,3693,3467,1415,2880,9505.0,88.13738848787614,25.643235548807308
6,162.036,514,4018,3792,1740,3205,9505.0,88.139516241067,25.643235548807308
7,32.609,514,4018,3792,1740,3205,9505.0,88.14058011766245,25.643235548807308
8,5.837,1141,3712,3585,1832,3024,9505.0,88.12636431546962,25.642394159446663
9,140.146,1084,3788,3660,1871,3099,9505.0,88.12742818741239,25.64239415944666
10,49.728,573,3638,3412,1360,2825,9505.0,88.1316836751835,25.64239415944666
11,94.179,535,3600,3374,1322,2788,9505.0,88.13274754712624,25.64239415944666
12,84.582,446,3511,3285,1233,2698,9505.0,88.13381141906902,25.64239415944666
13,40.523,0,3503,3277,1225,2690,9505.0,88.1348752910118,25.642394159446663
14,80.765,113,3617,3391,1339,2804,9505.0,88.13593916295456,25.64239415944666
15,137.677,244,3727,3501,1449,2914,9505.0,88.13700303489732,25.64239415944666
16,159.117,395,3879,3653,1601,3066,9505.0,88.1380669068401,25.64239415944666
17,226.693,414,3898,3672,1621,3086,9505.0,88.13913077878286,25.64239415944666
18,28.231,514,3998,3772,1721,3186,9505.0,88.14019465072565,25.64239415944666
19,45.013,809,4272,4046,1994,3459,9505.0,88.14125852266841,25.64239415944666
20,4.995,809,4272,4046,1994,3459,9505.0,88.1423223946112,25.64239415944666
21,144.693,1034,3829,3701,1821,3140,9505.0,88.12704279367817,25.641552772337565
22,127.462,970,3883,3756,1757,3195,9505.0,88.12810666096848,25.641552772337572
23,26.155,573,3638,3412,1360,2825,9505.0,88.13129826283942,25.641552772337572
24,71.392,370,3435,3209,1157,2622,9505.0,88.13236213012972,25.641552772337565
25,109.558,391,3456,3230,1178,2643,9505.0,88.13342599742005,25.641552772337572
26,76.5,77,3426,3200,1148,2613,9505.0,88.13448986471035,25.641552772337572
27,154.851,73,3529,3303,1251,2716,9505.0,88.13555373200063,25.641552772337572
28,119.324,116,3558,3332,1280,2745,9505.0,88.13661759929096,25.641552772337572
29,112.589,291,3773,3547,1495,2960,9505.0,88.13768146658126,25.641552772337572
30,267.496,428,3912,3686,1634,3099,9505.0,88.13874533387157,25.641552772337572
31,126.564,534,4018,3792,1740,3205,9505.0,88.13980920116187,25.641552772337572
32,5.949,634,4087,3861,1809,3274,9505.0,88.14087306845218,25.641552772337572
33,14.312,719,4136,3910,1858,3323,9505.0,88.14193693574248,25.641552772337572
34,0.393,1333,3520,3393,1640,2832,9505.0,88.12559355467583,25.64071138747994
35,11.786,1340,3513,3385,1633,2824,9505.0,88.12665741731388,25.64071138747994
36,173.99,945,3908,3780,1732,3197,9505.0,88.12772127995196,25.64071138747994
37,224.672,796,3861,3635,1583,3048,9505.0,88.12878514259,25.64071138747994
38,13.358,796,3861,3635,1583,3048,9505.0,88.12984900522805,25.64071138747994
39,2.189,484,3548,3323,1271,2736,9505.0,88.13091286786612,25.640711387479936
40,61.346,484,3548,3323,1271,2736,9505.0,88.13197673050418,25.64071138747994
41,207.891,322,3387,3161,1109,2574,9505.0,88.13304059314223,25.64071138747994
42,154.402,217,3285,3060,1008,2473,9505.0,88.13410445578029,25.640711387479936
43,187.405,166,3482,3256,1204,2669,9505.0,88.13516831841834,25.64071138747994
44,136.442,241,3573,3348,1296,2761,9505.0,88.13623218105639,25.64071138747994
45,173.654,392,3724,3499,1447,2912,9505.0,88.13729604369445,25.64071138747994
46,119.38,483,3816,3590,1538,3003,9505.0,88.13835990633251,25.64071138747994
47,197.9,524,3883,3657,1605,3070,9505.0,88.13942376897057,25.64071138747994
48,89.97,644,4079,3853,1801,3266,9505.0,88.14048763160864,25.64071138747994
49,71.673,748,4066,3840,1788,3253,9505.0,88.14155149424667,25.64071138747994
50,69.035,847,4101,3875,1823,3288,9505.0,88.14261535688472,25.64071138747994
51,4.49,1488,3365,3238,1485,2677,9505.0,88.12520820033293,25.639870004873657
52,2.077,1488,3365,3238,1485,2677,9505.0,88.12627205831895,25.639870004873657
53,6.062,796,3861,3635,1583,3048,9505.0,88.12839977429098,25.639870004873657
54,38.11,796,3861,3635,1583,3048,9505.0,88.12946363227698,25.639870004873657
55,0.0,633,3697,3472,1420,2885,9505.0,88.130527490263,25.63987000487366
56,52.197,508,3325,3099,1047,2512,9505.0,88.13159134824902,25.639870004873664
57,177.47,448,3272,3046,994,2459,9505.0,88.13265520623503,25.63987000487366
58,160.969,300,3203,2977,925,2390,9505.0,88.13371906422104,25.639870004873657
59,197.283,271,3366,3140,1088,2553,9505.0,88.13478292220704,25.63987000487365
60,198.125,321,3441,3215,1163,2628,9505.0,88.13584678019306,25.639870004873654
61,148.846,349,3682,3456,1404,2869,9505.0,88.13691063817909,25.639870004873657
62,69.259,427,3760,3534,1482,2947,9505.0,88.13797449616511,25.63987000487366
63,143.739,580,3800,3574,1522,2987,9505.0,88.1390383541511,25.639870004873657
64,110.344,688,3857,3631,1579,3044,9505.0,88.14010221213712,25.639870004873654
65,87.388,753,3935,3709,1657,3122,9505.0,88.14116607012313,25.639870004873654
66,119.436,830,4006,3780,1728,3194,9505.0,88.14222992810913,25.63987000487366
67,15.042,1527,3326,3198,1446,2637,9505.0,88.12482286335859,25.639028624518645
68,5.613,1527,3326,3198,1446,2637,9505.0,88.12588671669275,25.639028624518645
69,2.47,508,3256,3030,978,2443,9505.0,88.13120598336364,25.639028624518645
70,74.535,508,3256,3030,978,2443,9505.0,88.13226983669783,25.63902862451864
71,215.748,375,3128,2902,850,2315,9505.0,88.13333369003199,25.639028624518645
72,203.232,447,3261,3035,983,2449,9505.0,88.13439754336619,25.63902862451864
73,80.877,379,3382,3156,1105,2570,9505.0,88.13546139670036,25.639028624518645
74,46.697,462,3582,3356,1304,2769,9505.0,88.13652525003454,25.639028624518645
75,184.598,533,3653,3427,1375,2840,9505.0,88.13758910336871,25.639028624518645
76,136.667,565,3700,3475,1423,2888,9505.0,88.1386529567029,25.639028624518645
77,165.179,731,3789,3564,1512,2977,9505.0,88.13971681003706,25.639028624518645
78,120.39,816,3888,3662,1610,3075,9505.0,88.14078066337125,25.639028624518645
79,19.7,838,3953,3728,1676,3141,9505.0,88.14184451670543,25.639028624518645
80,20.879,1635,3277,3150,1435,2589,9505.0,88.1233736950696,25.638187246414805
