,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,nightlife,ID_HDC_G0,lng,lat
0,0.857,5000,5000,257,474,2990,5000,210.0,-100.1843493536582,25.937018632537068
1,32.191,5000,5000,257,474,2990,5000,210.0,-100.1832838404212,25.93701863253706
2,134.873,5000,5000,5000,5000,5000,5000,210.0,-100.18008730071016,25.937018632537058
3,2.377,5000,5000,242,458,2975,5000,210.0,-100.18603598278564,25.936176451539346
4,1.323,5000,5000,198,415,2931,5000,210.0,-100.18497047427492,25.93617645153934
5,115.262,5000,5000,161,377,2894,5000,210.0,-100.1839049657642,25.93617645153934
6,130.4,5000,5000,0,255,2903,5000,210.0,-100.18283945725348,25.936176451539346
7,103.538,5000,5000,353,98,2884,5000,210.0,-100.18070844023202,25.93617645153934
8,88.872,5000,5000,5000,5000,5000,5000,210.0,-100.17964293172132,25.93617645153934
9,0.004,5000,5000,242,458,2975,5000,210.0,-100.18559160539463,25.93533427282663
10,44.175,5000,5000,160,376,2893,5000,210.0,-100.18452610161,25.935334272826633
11,186.61,5000,5000,95,311,2827,5000,210.0,-100.18346059782539,25.93533427282663
12,264.008,5000,5000,230,93,2693,5000,210.0,-100.18239509404076,25.935334272826633
13,160.376,5000,5000,233,22,2764,5000,210.0,-100.18132959025613,25.935334272826633
14,21.592,5000,5000,380,125,2712,5000,210.0,-100.18026408647151,25.935334272826637
15,1.247,5000,5000,5000,5000,5000,5000,210.0,-100.1791985826869,25.935334272826637
16,57.944,5000,5000,294,507,2998,5000,210.0,-100.18514724795861,25.934492096398834
17,222.754,5000,5000,226,441,2941,5000,210.0,-100.18408174889986,25.93449209639883
18,221.919,5000,5000,254,172,2679,5000,210.0,-100.18301624984112,25.93449209639883
19,196.416,5000,5000,264,155,2638,5000,210.0,-100.18195075078236,25.93449209639883
20,323.413,5000,5000,358,194,2636,5000,210.0,-100.18088525172361,25.93449209639883
21,2.489,5000,5000,424,169,2749,5000,210.0,-100.17981975266483,25.934492096398834
22,16.95,5000,5000,297,465,2956,5000,210.0,-100.18470291047684,25.933649922255857
23,236.783,5000,5000,297,465,2956,5000,210.0,-100.18363741614375,25.93364992225586
24,136.959,5000,5000,378,261,2738,5000,210.0,-100.18257192181066,25.933649922255857
25,284.088,5000,5000,445,305,2510,5000,210.0,-100.18150642747757,25.933649922255864
26,4.51,5000,5000,416,257,2573,5000,210.0,-100.18044093314448,25.93364992225586
27,1.504,5000,5000,471,215,2750,5000,210.0,-100.17937543881136,25.93364992225586
28,40.472,5000,5000,427,342,2833,5000,210.0,-100.18319310334097,25.93280775039761
29,54.658,5000,5000,473,268,2446,5000,210.0,-100.18212761373334,25.93280775039761
30,2.537,5000,5000,581,361,2538,5000,210.0,-100.1810621241257,25.932807750397615
31,1.314,5000,5000,633,378,2608,5000,210.0,-100.17999663451803,25.932807750397608
32,0.193,5000,5000,973,246,2138,5000,210.0,-100.18701075002046,25.931965580823984
33,106.981,5000,5000,973,246,2138,5000,210.0,-100.18594526513807,25.931965580823988
34,118.369,5000,5000,777,73,2371,5000,210.0,-100.18487978025567,25.931965580823984
35,81.205,5000,5000,726,56,2309,5000,210.0,-100.18381429537328,25.931965580823984
36,57.318,5000,5000,732,149,2171,5000,210.0,-100.18274881049085,25.931965580823988
37,0.108,5000,5000,800,218,2102,5000,210.0,-100.18168332560846,25.931965580823984
38,0.675,5000,5000,942,215,2095,5000,210.0,-100.18656645822217,25.931123413534877
39,258.04,5000,5000,973,246,2138,5000,210.0,-100.18550097806482,25.93112341353488
