,POP_2015,community_space,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,39.498,2897,156,394,389,635,11061.0,102.54631436143826,13.666557293637643
1,18.309,2897,156,394,389,635,11061.0,102.54732998823636,13.666557293637645
2,67.816,1304,1151,1339,1151,1200,11061.0,102.5615487634094,13.666557293637645
3,123.609,1304,1151,1339,1151,1200,11061.0,102.56256439020746,13.666557293637643
4,25.672,2879,138,376,371,617,11061.0,102.54609450415327,13.665739588626115
5,9.123,2879,138,376,371,617,11061.0,102.54711012877388,13.665739588626115
6,11.232,2829,137,326,300,567,11061.0,102.54812575339446,13.665739588626117
7,26.047,1970,107,919,774,358,11061.0,102.55218825187681,13.665739588626113
8,89.014,1204,1052,1240,1052,1101,11061.0,102.56132887346214,13.665739588626115
9,144.506,1100,1332,1520,1332,1382,11061.0,102.56336012270332,13.665739588626115
10,180.976,1131,1358,1546,1358,1408,11061.0,102.56437574732392,13.665739588626113
11,30.475,868,1225,1830,1390,2041,11061.0,102.56742262118567,13.665739588626117
12,85.197,915,1273,1877,1437,2088,11061.0,102.5684382458063,13.665739588626117
13,29.609,2753,13,251,251,492,11061.0,102.54587466134103,13.66492188469894
14,14.225,2710,31,207,194,448,11061.0,102.54689028378428,13.664921884698936
15,11.342,2781,252,278,207,520,11061.0,102.54892152867077,13.66492188469894
16,8.035,2781,252,278,207,520,11061.0,102.54993715111404,13.66492188469894
17,27.932,1970,107,919,774,358,11061.0,102.55196839600055,13.66492188469894
18,30.625,1862,0,865,720,250,11061.0,102.55298401844378,13.664921884698941
19,166.843,1145,870,1058,870,920,11061.0,102.56009337554654,13.664921884698938
20,117.748,1117,965,1153,965,1014,11061.0,102.56110899798979,13.664921884698938
21,123.341,945,1183,1371,1183,1233,11061.0,102.56212462043304,13.66492188469894
22,126.991,1008,1246,1434,1246,1296,11061.0,102.56314024287629,13.664921884698934
23,141.794,873,1184,1801,1349,1669,11061.0,102.5651714877628,13.664921884698938
24,52.612,873,1184,1801,1349,1669,11061.0,102.56618711020604,13.66492188469894
25,99.195,824,1172,1785,1337,1987,11061.0,102.56720273264929,13.66492188469894
26,121.332,846,1199,1807,1364,2014,11061.0,102.56821835509257,13.66492188469894
27,20.265,2624,267,241,0,0,11061.0,102.54565483300124,13.664104181856047
28,23.909,2692,0,189,162,430,11061.0,102.54667045326732,13.664104181856052
29,13.34,2529,0,26,0,267,11061.0,102.54768607353336,13.664104181856048
30,10.123,2773,244,270,199,511,11061.0,102.54870169379942,13.664104181856048
31,5.066,2805,276,302,166,544,11061.0,102.54971731406548,13.664104181856048
32,28.456,1900,94,770,626,274,11061.0,102.55174855459758,13.664104181856048
33,33.208,1841,35,830,685,215,11061.0,102.55276417486364,13.664104181856048
34,27.554,1683,193,827,665,57,11061.0,102.55377979512971,13.664104181856048
35,125.149,1202,813,1001,813,863,11061.0,102.55987351672604,13.66410418185605
36,160.246,1145,870,1058,870,920,11061.0,102.56088913699203,13.664104181856048
37,172.034,889,1126,1315,1126,1176,11061.0,102.56190475725808,13.664104181856048
38,132.584,917,1155,1343,1155,1204,11061.0,102.5629203775242,13.664104181856052
39,134.057,873,1184,1801,1349,1669,11061.0,102.56495161805628,13.664104181856052
40,130.106,873,1184,1801,1349,1669,11061.0,102.56596723832234,13.66410418185605
41,109.644,741,1089,1703,1254,1905,11061.0,102.56698285858837,13.664104181856048
42,69.758,765,1114,1727,1279,1929,11061.0,102.56799847885443,13.66410418185605
43,95.779,698,1331,1660,1252,2208,11061.0,102.56901409912051,13.66410418185605
44,103.247,598,1231,1559,1151,2308,11061.0,102.57002971938654,13.66410418185605
45,9.757,2624,267,241,0,0,11061.0,102.54543501913369,13.663286480097373
46,29.031,2624,267,241,0,0,11061.0,102.54645063722266,13.663286480097371
47,28.267,2486,49,36,49,218,11061.0,102.5474662553117,13.663286480097375
48,10.577,2643,114,140,72,381,11061.0,102.54848187340069,13.663286480097371
49,22.445,2669,140,166,26,407,11061.0,102.54949749148969,13.663286480097371
50,41.71,1684,250,825,608,0,11061.0,102.55254434575669,13.663286480097371
51,160.246,1684,221,826,636,28,11061.0,102.55355996384569,13.663286480097371
52,155.156,1587,274,731,820,212,11061.0,102.5545755819347,13.663286480097371
