,POP_2015,active_living,community_space,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,110.33,1238,1031,1669,572,630,1643,8879.0,81.72190755546471,16.522524701068424
1,143.213,2498,1587,3222,199,1670,3174,8879.0,81.70633103416196,16.521702785695236
2,217.213,2407,1541,3130,249,1578,3082,8879.0,81.70735513477216,16.521702785695236
3,199.305,2348,1483,3072,207,1520,3024,8879.0,81.70837923538237,16.521702785695236
4,195.188,2229,1363,2952,327,1400,2904,8879.0,81.70940333599258,16.521702785695236
5,190.557,2037,1236,2760,177,1208,2712,8879.0,81.71042743660277,16.521702785695236
6,218.705,1989,1188,2712,129,1160,2664,8879.0,81.71145153721297,16.521702785695236
7,48.578,1946,1145,2669,86,1117,2621,8879.0,81.71247563782318,16.521702785695236
8,214.846,1771,1066,2494,412,942,2446,8879.0,81.71349973843338,16.521702785695236
9,245.928,1725,1020,2448,366,896,2400,8879.0,81.71452383904361,16.52170278569524
10,193.078,1631,926,2355,577,803,2307,8879.0,81.7155479396538,16.521702785695236
11,94.738,1631,926,2355,577,803,2307,8879.0,81.71657204026401,16.521702785695236
12,182.735,1190,983,1622,440,498,1596,8879.0,81.7206684427048,16.521702785695236
13,210.883,1182,975,1614,521,579,1587,8879.0,81.72169254331502,16.521702785695236
14,138.273,1117,910,1549,692,750,1523,8879.0,81.72271664392522,16.52170278569524
15,222.925,1052,845,1483,758,816,1457,8879.0,81.72374074453542,16.52170278569524
16,117.483,896,689,1328,617,721,1301,8879.0,81.72476484514563,16.521702785695236
17,146.867,886,664,1077,201,710,1259,8879.0,81.72578894575584,16.52170278569524
18,229.255,928,632,961,98,753,1151,8879.0,81.72681304636603,16.521702785695236
19,220.661,947,579,862,0,772,1053,8879.0,81.72783714697623,16.521702785695236
20,165.444,878,510,793,66,703,983,8879.0,81.72886124758644,16.52170278569524
21,215.103,2377,1512,3101,236,1549,3053,8879.0,81.70714017262071,16.520880871656985
22,133.282,2348,1483,3072,207,1520,3024,8879.0,81.70816427053666,16.52088087165699
23,104.207,2229,1363,2952,327,1400,2904,8879.0,81.70918836845256,16.520880871656985
24,144.809,2037,1236,2760,177,1208,2712,8879.0,81.71021246636847,16.520880871656985
25,206.818,1946,1145,2669,86,1117,2621,8879.0,81.7112365642844,16.52088087165699
26,119.748,1859,1058,2582,0,1031,2535,8879.0,81.71226066220032,16.520880871656985
27,95.15,1859,1058,2582,0,1031,2535,8879.0,81.71328476011624,16.52088087165699
28,236.768,1653,948,2377,294,825,2329,8879.0,81.71430885803215,16.520880871656985
29,179.39,1594,889,2317,540,765,2269,8879.0,81.71533295594806,16.52088087165698
30,171.156,1610,905,2334,557,782,2286,8879.0,81.716357053864,16.52088087165699
31,141.464,1431,846,1932,543,0,1905,8879.0,81.7173811517799,16.520880871656985
32,163.025,1347,930,1847,458,84,1820,8879.0,81.71840524969582,16.520880871656985
33,159.526,1283,997,1724,395,207,1697,8879.0,81.71942934761174,16.520880871656985
34,189.888,1258,975,1690,371,241,1663,8879.0,81.72045344552765,16.520880871656985
35,177.228,1190,983,1622,440,498,1596,8879.0,81.72147754344357,16.520880871656985
36,149.131,1081,874,1513,617,675,1486,8879.0,81.72250164135949,16.520880871656985
37,98.186,948,741,1379,654,718,1353,8879.0,81.72352573927542,16.52088087165699
38,165.547,896,689,1328,617,721,1301,8879.0,81.72454983719135,16.52088087165698
39,163.643,886,664,1077,201,710,1259,8879.0,81.72557393510726,16.520880871656985
40,190.042,880,584,945,113,705,1127,8879.0,81.7265980330232,16.520880871656985
41,267.489,878,510,793,66,703,983,8879.0,81.72762213093911,16.520880871656985
42,238.26,824,430,713,7,649,904,8879.0,81.72864622885501,16.52088087165699
43,125.254,927,477,662,74,752,853,8879.0,81.72967032677094,16.520880871656985
44,131.429,1241,310,511,415,1136,752,8879.0,81.73171852260278,16.52088087165699
45,98.803,1212,217,477,386,1107,723,8879.0,81.73274262051868,16.52088087165699
46,96.385,1447,125,452,490,1392,958,8879.0,81.73376671843461,16.52088087165699
47,160.864,1446,124,451,489,1391,957,8879.0,81.73479081635053,16.520880871656985
48,15.953,1495,172,500,538,1440,1006,8879.0,81.73581491426646,16.52088087165699
49,23.003,1748,577,904,643,1790,973,8879.0,81.73786311009829,16.52088087165699
50,153.968,1740,569,896,635,1782,965,8879.0,81.7388872080142,16.52088087165699
51,144.345,2318,1387,3041,0,1490,2993,8879.0,81.70692522274513,16.52005895895359
52,100.501,2269,1338,2992,49,1441,2944,8879.0,81.70794931796691,16.520058958953598
53,132.973,2164,1233,2888,153,1336,2840,8879.0,81.70897341318869,16.520058958953598
54,118.873,2087,1157,2811,230,1259,2763,8879.0,81.70999750841048,16.520058958953598
55,91.959,1959,1028,2682,203,1131,2634,8879.0,81.71102160363226,16.520058958953594
56,160.607,1730,929,2454,24,902,2406,8879.0,81.71204569885407,16.520058958953598
57,168.48,1654,919,2377,101,825,2329,8879.0,81.71306979407585,16.520058958953598
58,165.65,1565,860,2288,206,737,2241,8879.0,81.71409388929763,16.520058958953598
59,198.584,1496,791,2219,258,668,2172,8879.0,81.71511798451942,16.520058958953598
60,205.017,1483,778,2207,429,655,2159,8879.0,81.7161420797412,16.520058958953594
61,103.589,1244,959,1920,355,187,1893,8879.0,81.71819027018479,16.520058958953594
62,186.131,1214,930,1793,326,266,1767,8879.0,81.71921436540657,16.520058958953594
63,221.896,1056,944,1627,246,465,1601,8879.0,81.72023846062837,16.520058958953594
64,227.711,1093,899,1537,336,415,1511,8879.0,81.72126255585015,16.520058958953598
65,228.277,975,768,1406,513,571,1380,8879.0,81.72228665107193,16.520058958953594
66,207.796,948,741,1379,654,718,1353,8879.0,81.72331074629372,16.520058958953598
67,135.546,812,605,1243,528,637,1217,8879.0,81.72433484151551,16.520058958953598
68,123.659,740,526,1053,258,565,1131,8879.0,81.72535893673731,16.520058958953594
69,198.739,781,485,846,0,606,1028,8879.0,81.72638303195907,16.520058958953598
70,226.218,703,407,731,75,528,917,8879.0,81.72740712718088,16.520058958953598
71,203.525,776,388,671,21,601,862,8879.0,81.72843122240268,16.520058958953598
72,154.895,950,497,555,54,775,746,8879.0,81.72945531762447,16.520058958953598
73,182.992,1052,421,464,157,877,664,8879.0,81.73047941284625,16.520058958953594
74,159.526,1079,325,368,253,974,590,8879.0,81.73150350806802,16.520058958953598
75,272.996,1176,190,412,387,1112,687,8879.0,81.73252760328981,16.520058958953594
76,220.506,1283,38,288,326,1228,794,8879.0,81.7335516985116,16.520058958953598
77,199.511,1371,49,376,414,1316,882,8879.0,81.7345757937334,16.520058958953598
78,103.846,1417,94,421,459,1361,928,8879.0,81.73559988895518,16.520058958953594
79,220.198,1619,448,775,514,1660,843,8879.0,81.73764807939875,16.520058958953598
