,POP_2015,active_living,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,51.114,1118,1583,868,414,1203,1008,6980.0,75.64225119448079,25.450615976060554
1,48.605,1118,1583,868,414,1203,1008,6980.0,75.64331401107442,25.450615976060543
2,76.483,908,1407,657,203,1026,798,6980.0,75.64265855013201,25.448934225808998
3,33.047,367,1642,0,708,1262,114,6980.0,75.63489122241467,25.44809335402778
4,98.037,575,1622,93,664,1241,93,6980.0,75.63595402519442,25.44809335402778
5,85.165,575,1622,93,664,1241,93,6980.0,75.63701682797416,25.44809335402778
6,111.562,908,1407,657,203,1026,798,6980.0,75.64233084187292,25.44809335402778
7,3.488,0,2006,72,1075,1626,481,6980.0,75.63137516666588,25.447252484476156
8,25.369,72,1937,0,1003,1557,409,6980.0,75.63243796484143,25.447252484476156
9,55.304,367,1642,0,708,1262,114,6980.0,75.63456356119248,25.447252484476156
10,94.299,435,1574,0,640,1193,45,6980.0,75.63562635936802,25.44725248447616
11,98.564,494,1531,0,581,1150,13,6980.0,75.63668915754356,25.447252484476156
12,129.403,618,1461,110,456,1081,137,6980.0,75.6377519557191,25.447252484476156
13,137.282,758,1417,331,260,1036,472,6980.0,75.63881475389465,25.44725248447615
14,120.094,774,1432,368,211,1052,509,6980.0,75.63987755207017,25.447252484476152
15,134.974,715,1374,331,122,993,471,6980.0,75.64094035024569,25.447252484476152
16,108.928,704,1360,453,0,980,594,6980.0,75.64200314842124,25.447252484476156
17,7.754,0,2006,72,1075,1626,481,6980.0,75.63104753406115,25.446411617154023
18,9.937,78,1928,103,1096,1547,512,6980.0,75.6321103276327,25.446411617154027
19,54.05,560,1449,0,652,1068,79,6980.0,75.63529870834729,25.446411617154023
20,87.398,575,1434,14,656,1053,94,6980.0,75.63636150191881,25.446411617154023
21,104.561,637,1316,38,558,936,211,6980.0,75.63742429549035,25.446411617154027
22,138.286,655,1335,123,330,954,263,6980.0,75.63848708906187,25.446411617154016
23,131.636,650,1317,245,208,936,385,6980.0,75.6395498826334,25.446411617154023
24,117.083,652,1311,329,165,931,469,6980.0,75.64061267620494,25.446411617154023
25,118.94,557,1214,388,146,833,529,6980.0,75.64167546977649,25.446411617154027
26,24.767,120,1886,145,1128,1505,554,6980.0,75.6317827052285,25.445570752061283
27,9.962,243,1843,268,1251,1463,677,6980.0,75.63284549419623,25.445570752061283
28,32.621,360,1646,326,888,1265,406,6980.0,75.63390828316398,25.445570752061283
29,66.27,496,1510,191,752,1130,270,6980.0,75.63497107213169,25.445570752061283
30,103.859,496,1510,191,752,1130,270,6980.0,75.63603386109942,25.445570752061283
31,94.499,617,1297,19,539,917,230,6980.0,75.63709665006716,25.445570752061283
32,120.194,532,1212,0,453,831,316,6980.0,75.6381594390349,25.445570752061283
33,133.518,461,1120,220,336,739,537,6980.0,75.63922222800262,25.445570752061283
34,135.225,557,1214,388,146,833,529,6980.0,75.64028501697035,25.445570752061283
35,139.164,557,1214,388,146,833,529,6980.0,75.6413478059381,25.445570752061283
36,0.0,243,1843,268,1251,1463,677,6980.0,75.63251788199246,25.44472988919784
37,7.503,380,1626,306,868,1245,386,6980.0,75.6335806663566,25.444729889197845
38,36.108,496,1510,191,752,1130,270,6980.0,75.63464345072074,25.444729889197845
39,82.379,496,1510,191,752,1130,270,6980.0,75.63570623508487,25.44472988919784
40,79.193,494,1174,37,421,794,353,6980.0,75.63783180381317,25.44472988919785
41,122.453,433,1113,98,458,732,415,6980.0,75.63889458817731,25.444729889197845
42,128.023,461,1120,220,336,739,537,6980.0,75.63995737254145,25.444729889197838
43,123.155,366,1046,165,525,665,482,6980.0,75.63856696315698,25.443889028563618
44,134.999,311,969,370,393,589,687,6980.0,75.63962974291775,25.443889028563618
45,129.328,311,969,370,393,589,687,6980.0,75.64069252267849,25.443889028563618
46,115.075,2230,2044,2044,744,2424,3505,6980.0,75.65982255837216,25.443889028563614
47,83.057,2209,2023,2023,724,2404,3484,6980.0,75.66088533813293,25.443889028563618
48,93.194,2209,2023,2023,724,2404,3484,6980.0,75.66194811789369,25.443889028563618
49,91.112,2378,2192,2192,404,2572,3653,6980.0,75.66301089765446,25.443889028563618
50,53.974,2378,2192,2192,404,2572,3653,6980.0,75.66407367741522,25.443889028563614
51,112.39,237,896,315,466,516,632,6980.0,75.6393021280987,25.443048170158487
52,113.77,228,887,312,460,507,675,6980.0,75.64036490325628,25.44304817015849
