,POP_2015,active_living,community_space,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,10.685,1690,186,236,859,2349,475,5394.0,40.11685469435095,-3.2013372650882146
1,18.938,1927,423,0,1096,2586,712,5394.0,40.11387802884116,-3.2021465171849575
2,27.61,1927,423,0,1096,2586,712,5394.0,40.114876768475135,-3.202146517184957
3,25.829,1690,186,236,859,2349,475,5394.0,40.1158755081091,-3.2021465171849575
4,16.677,1690,186,236,859,2349,475,5394.0,40.116874247743084,-3.2021465171849566
5,21.23,1845,417,388,1014,2504,644,5394.0,40.112918407002105,-3.203765022113435
6,25.333,1741,313,284,910,2400,540,5394.0,40.11391714761004,-3.203765022113435
7,17.575,1737,232,204,906,2396,522,5394.0,40.11491588821799,-3.203765022113434
8,15.562,1504,0,289,673,2163,289,5394.0,40.11591462882592,-3.203765022113434
9,49.01,1504,0,289,673,2163,289,5394.0,40.11691336943387,-3.203765022113434
10,60.623,1845,417,388,1014,2504,644,5394.0,40.11293797335211,-3.204574274945291
11,56.752,1655,399,371,824,2314,453,5394.0,40.11393671444722,-3.2045742749452906
12,10.437,1737,232,204,906,2396,522,5394.0,40.11493545554233,-3.2045742749452915
13,13.766,1655,399,371,824,2314,453,5394.0,40.113956286252915,-3.20538352802231
14,0.898,1246,31,31,415,1905,31,5394.0,40.11695251100011,-3.20538352802231
15,15.315,1639,490,490,849,2298,490,5394.0,40.111978378887514,-3.206192781344555
16,26.634,1639,490,490,849,2298,490,5394.0,40.112977120957325,-3.206192781344555
17,26.603,1496,295,295,665,2155,295,5394.0,40.11397586302715,-3.2061927813445545
18,3.19,1458,256,256,626,2116,256,5394.0,40.11497460509696,-3.206192781344555
19,10.561,1342,126,126,510,2001,126,5394.0,40.115973347166765,-3.2061927813445545
20,8.656,1231,15,15,399,1889,15,5394.0,40.116972089236576,-3.206192781344555
21,36.916,1639,490,490,849,2298,490,5394.0,40.11199795965523,-3.2070020349120867
22,9.941,1639,490,490,849,2298,490,5394.0,40.112996702212584,-3.2070020349120867
23,22.763,1458,256,256,626,2116,256,5394.0,40.113995444769934,-3.2070020349120867
24,18.613,1458,256,256,626,2116,256,5394.0,40.11499418732729,-3.2070020349120867
25,42.506,1342,126,126,510,2001,126,5394.0,40.11599292988464,-3.2070020349120862
26,15.346,1478,405,405,687,2136,615,5394.0,40.1130162884363,-3.2078112887249666
27,20.254,1294,180,180,462,1953,420,5394.0,40.11401503148131,-3.207811288724967
28,22.112,1294,180,180,462,1953,420,5394.0,40.115013774526325,-3.2078112887249666
29,42.692,1113,0,0,282,1772,353,5394.0,40.11601251757134,-3.2078112887249666
30,17.885,987,125,0,156,1646,227,5394.0,40.117011260616344,-3.2078112887249666
31,36.07,1445,372,372,654,2104,612,5394.0,40.1130358796285,-3.2086205427832577
32,56.396,1226,113,113,395,1885,466,5394.0,40.11503336669409,-3.2086205427832577
33,33.37,1113,0,0,282,1772,353,5394.0,40.11603211022688,-3.2086205427832586
34,33.2,987,125,0,156,1646,227,5394.0,40.11703085375968,-3.2086205427832577
35,96.001,1331,486,486,678,1989,726,5394.0,40.11305547578918,-3.209429797087022
36,39.238,831,282,0,0,1490,384,5394.0,40.11705045187202,-3.209429797087022
37,59.989,1202,699,474,550,1861,944,5394.0,40.1130750769184,-3.210239051636323
38,85.083,1158,655,429,505,1816,899,5394.0,40.11407382142715,-3.210239051636322
39,66.094,831,282,0,0,1490,384,5394.0,40.11707005495338,-3.2102390516363224
40,148.682,1271,768,542,618,1929,1012,5394.0,40.112095938019266,-3.2110483064312207
41,127.052,1226,723,498,574,1816,967,5394.0,40.11309468301616,-3.2110483064312203
42,131.983,1269,766,540,616,1756,1010,5394.0,40.114093428013064,-3.2110483064312207
43,34.397,928,425,200,276,1587,779,5394.0,40.11509217300997,-3.21104830643122
44,38.271,775,342,46,122,1434,685,5394.0,40.11609091800686,-3.21104830643122
45,103.69,690,425,0,37,1349,601,5394.0,40.11708966300376,-3.2110483064312216
46,89.887,703,512,0,51,1362,614,5394.0,40.118088408000666,-3.2110483064312207
47,112.935,1271,768,542,618,1929,1012,5394.0,40.11211554859731,-3.211857561471778
48,92.508,1339,836,611,687,1720,1080,5394.0,40.113114294082486,-3.2118575614717786
49,104.571,1332,852,604,680,1670,1096,5394.0,40.11411303956767,-3.2118575614717773
50,145.835,893,460,164,240,1552,803,5394.0,40.115111785052854,-3.211857561471778
51,18.607,775,342,46,122,1434,685,5394.0,40.11611053053804,-3.211857561471778
52,69.41,728,389,0,75,1387,638,5394.0,40.117109276023214,-3.2118575614717773
53,157.927,615,498,0,0,1273,600,5394.0,40.118108021508405,-3.211857561471778
54,99.024,1374,930,704,780,1628,1174,5394.0,40.11213516414383,-3.2126668167580577
55,94.768,1335,832,606,682,1726,1076,5394.0,40.11313391011742,-3.212666816758057
56,91.628,1300,868,572,648,1615,1178,5394.0,40.114132656091,-3.212666816758057
57,141.55,1140,707,412,487,1501,1051,5394.0,40.115131402064584,-3.212666816758057
58,76.777,984,645,256,331,1443,894,5394.0,40.11613014803817,-3.212666816758057
59,66.505,840,501,111,187,1498,750,5394.0,40.117128894011756,-3.212666816758057
60,104.483,455,658,0,0,1113,760,5394.0,40.118127639985346,-3.212666816758057
61,121.182,1367,969,744,780,1622,1213,5394.0,40.11215478465883,-3.2134760722901206
62,54.384,1356,947,721,766,1611,1191,5394.0,40.113153531120936,-3.213476072290121
63,130.721,1156,760,464,540,1461,1103,5394.0,40.11415227758306,-3.2134760722901214
64,99.963,1091,658,362,438,1414,1001,5394.0,40.115151024045176,-3.213476072290121
65,125.232,1015,676,287,363,1412,926,5394.0,40.116149770507285,-3.213476072290121
66,84.261,455,658,0,0,1113,760,5394.0,40.118147263431524,-3.213476072290121
67,129.967,1251,921,760,664,1506,1297,5394.0,40.11217441014234,-3.2142853280680304
68,124.948,1141,811,651,554,1396,1290,5394.0,40.11317315709311,-3.2142853280680304
69,119.387,1082,752,588,494,1336,1227,5394.0,40.11417190404387,-3.2142853280680304
70,116.534,1010,699,459,423,1284,1098,5394.0,40.11517065099464,-3.2142853280680304
71,141.559,947,736,411,346,1288,1050,5394.0,40.116169397945406,-3.214285328068031
72,11.628,668,528,213,71,1081,973,5394.0,40.117168144896176,-3.214285328068029
73,108.264,707,655,339,197,1145,1099,5394.0,40.11816689184693,-3.214285328068031
74,55.324,223,781,223,231,882,992,5394.0,40.1191656387977,-3.214285328068031
75,1.837,223,781,223,231,882,992,5394.0,40.12016438574846,-3.2142853280680304
76,150.479,1090,745,725,534,1330,1387,5394.0,40.11319278803393,-3.215094584091849
77,130.581,970,640,598,383,1225,1237,5394.0,40.11419153547347,-3.2150945840918483
78,154.776,884,578,551,290,1162,1220,5394.0,40.11519028291301,-3.215094584091849
79,117.111,814,603,482,214,1155,1182,5394.0,40.11618903035256,-3.215094584091848
80,83.78,607,457,284,0,1009,1045,5394.0,40.117187777792104,-3.2150945840918497
81,123.431,571,565,263,107,1009,1152,5394.0,40.118186525231636,-3.2150945840918483
82,141.993,607,600,298,143,1044,1188,5394.0,40.11918527267118,-3.2150945840918492
83,45.117,223,781,223,231,882,992,5394.0,40.12018402011072,-3.2150945840918475
84,5.798,40,756,259,232,699,1175,5394.0,40.121182767550266,-3.2150945840918497
85,154.379,1024,664,669,600,1248,1454,5394.0,40.112213676014974,-3.2159038403616385
86,136.684,1024,664,669,566,1248,1421,5394.0,40.11321242394343,-3.2159038403616376
87,124.189,991,642,630,430,1227,1298,5394.0,40.11421117187186,-3.215903840361637
88,162.829,797,484,465,284,1069,1313,5394.0,40.115209919800314,-3.2159038403616385
89,181.969,732,520,399,185,1073,1230,5394.0,40.116208667728756,-3.2159038403616385
90,156.799,608,397,275,60,949,1105,5394.0,40.11720741565719,-3.2159038403616376
91,135.926,467,529,158,140,904,1186,5394.0,40.118206163585626,-3.2159038403616376
92,89.883,354,638,80,347,814,1135,5394.0,40.11920491151407,-3.215903840361638
93,80.905,273,563,0,266,733,1216,5394.0,40.12020365944251,-3.2159038403616385
94,47.281,51,718,221,194,661,1246,5394.0,40.12120240737096,-3.2159038403616376
95,12.188,117,745,191,221,662,1333,5394.0,40.12220115529939,-3.215903840361638
96,36.094,330,694,65,434,715,1545,5394.0,40.123199903227835,-3.215903840361638
97,4.655,351,673,44,455,694,1567,5394.0,40.12419865115628,-3.2159038403616385
98,59.368,1127,623,628,705,1208,1598,5394.0,40.11123456798669,-3.2167130968774607
99,61.643,1127,623,628,705,1208,1598,5394.0,40.11223331640415,-3.21671309687746
100,133.181,970,610,614,547,1194,1441,5394.0,40.11323206482163,-3.21671309687746
101,97.828,837,477,480,414,1061,1367,5394.0,40.11423081323909,-3.216713096877461
102,146.362,773,379,395,374,963,1419,5394.0,40.11522956165655,-3.21671309687746
103,131.99,724,301,294,325,885,1371,5394.0,40.11622831007401,-3.2167130968774593
104,146.615,533,322,200,135,874,1180,5394.0,40.11722705849147,-3.216713096877461
105,197.605,413,441,86,226,832,1271,5394.0,40.11822580690894,-3.2167130968774593
106,162.902,285,563,12,266,733,1216,5394.0,40.119224555326404,-3.21671309687746
107,110.853,267,574,173,98,564,1389,5394.0,40.12022330374386,-3.21671309687746
108,115.59,109,692,196,169,635,1307,5394.0,40.121222052161336,-3.21671309687746
109,100.34,217,673,169,297,562,1433,5394.0,40.1222208005788,-3.21671309687746
110,77.005,305,607,47,390,637,1521,5394.0,40.12321954899626,-3.21671309687746
