,POP_2015,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,0.0,648,1352,461,315,1555.0,-7.931298849519174,12.533411830937814
1,0.0,648,1352,461,315,1555.0,-7.930286106258048,12.533411830937814
2,96.411,984,1472,1516,1335,1555.0,-7.9231969034301555,12.533411830937814
3,208.612,988,1554,1598,1416,1555.0,-7.922184160169028,12.533411830937814
4,174.646,984,1697,1742,1560,1555.0,-7.9211714169078995,12.533411830937816
5,67.38,1048,1766,1810,1629,1555.0,-7.920158673646771,12.533411830937816
6,0.038,401,1399,214,68,1555.0,-7.933308816888462,12.53259556314124
7,0.0,454,1346,267,121,1555.0,-7.932296075608459,12.53259556314124
8,30.865,1075,1382,1426,1245,1555.0,-7.9241941453684515,12.53259556314124
9,173.787,937,1456,1500,1319,1555.0,-7.923181404088449,12.532595563141241
10,215.147,899,1551,1595,1413,1555.0,-7.922168662808447,12.53259556314124
11,199.5,886,1736,1780,1598,1555.0,-7.921155921528447,12.53259556314124
12,66.36,939,1824,1868,1686,1555.0,-7.920143180248446,12.532595563141241
13,74.029,912,1868,1912,1730,1555.0,-7.919130438968445,12.532595563141241
14,0.0,225,1518,0,145,1555.0,-7.934306038130115,12.531779296332966
15,0.0,323,1444,136,9,1555.0,-7.9332932988311,12.531779296332964
16,0.0,332,1439,145,0,1555.0,-7.932280559532085,12.531779296332966
17,1.114,644,1095,604,526,1555.0,-7.930255080934057,12.531779296332966
18,0.286,1051,1231,1275,1094,1555.0,-7.925191384438984,12.531779296332967
19,113.728,1061,1261,1305,1123,1555.0,-7.924178645139968,12.531779296332966
20,184.187,887,1409,1453,1271,1555.0,-7.923165905840955,12.531779296332969
21,198.308,816,1617,1661,1480,1555.0,-7.92215316654194,12.531779296332964
22,214.67,751,1567,1611,1429,1555.0,-7.921140427242923,12.531779296332964
23,59.616,798,1676,1720,1538,1555.0,-7.920127687943909,12.531779296332966
24,60.938,820,1809,1854,1672,1555.0,-7.919114948644896,12.531779296332966
25,75.654,807,1816,1861,1679,1555.0,-7.918102209345881,12.531779296332967
26,29.468,622,1754,790,897,1555.0,-7.939354205778336,12.530963030512925
27,28.316,622,1754,790,897,1555.0,-7.938341468460168,12.530963030512925
28,18.191,0,1557,225,332,1555.0,-7.935303256505664,12.530963030512927
29,0.0,175,1491,56,157,1555.0,-7.934290519187496,12.530963030512924
30,0.0,226,1331,186,173,1555.0,-7.933277781869328,12.530963030512929
31,23.499,276,1281,236,157,1555.0,-7.932265044551159,12.530963030512924
32,13.733,577,1080,533,388,1555.0,-7.931252307232991,12.530963030512924
33,47.546,614,1065,574,495,1555.0,-7.930239569914824,12.530963030512927
34,183.758,736,992,696,618,1555.0,-7.9292268325966555,12.530963030512924
35,113.203,736,992,696,618,1555.0,-7.928214095278486,12.530963030512924
36,47.8,1019,1199,1244,1062,1555.0,-7.925175883323984,12.530963030512925
37,185.427,944,1244,1288,1107,1555.0,-7.9241631460058155,12.530963030512927
38,148.695,789,1365,1409,1227,1555.0,-7.923150408687649,12.530963030512924
39,163.292,781,1470,1514,1333,1555.0,-7.922137671369479,12.530963030512924
40,188.528,659,1547,1592,1410,1555.0,-7.921124934051312,12.530963030512929
41,74.671,717,1671,1715,1533,1555.0,-7.920112196733143,12.530963030512927
42,107.539,633,1692,1834,1563,1555.0,-7.9190994594149755,12.530963030512924
43,92.22,807,1816,1861,1679,1555.0,-7.918086722096807,12.530963030512925
44,22.441,622,1754,790,897,1555.0,-7.939338678027895,12.53014676568105
45,0.0,622,1754,790,897,1555.0,-7.938325942690431,12.530146765681044
46,16.982,14,1543,210,318,1555.0,-7.935287736678049,12.530146765681046
47,0.0,97,1504,196,304,1555.0,-7.934275001340587,12.530146765681046
48,0.038,310,1247,270,192,1555.0,-7.933262266003127,12.53014676568105
49,59.692,310,1247,270,192,1555.0,-7.932249530665667,12.530146765681048
50,99.19,531,1035,492,413,1555.0,-7.9312367953282035,12.530146765681044
51,162.243,621,977,581,440,1555.0,-7.930224059990743,12.530146765681048
52,159.19,747,964,707,597,1555.0,-7.929211324653281,12.530146765681046
53,66.595,882,934,842,612,1555.0,-7.928198589315819,12.530146765681046
54,0.0,910,1026,870,705,1555.0,-7.927185853978359,12.530146765681046
55,67.073,1040,1043,1000,834,1555.0,-7.926173118640898,12.530146765681044
56,82.386,974,1064,1108,927,1555.0,-7.925160383303437,12.53014676568105
57,162.195,871,1167,1211,1030,1555.0,-7.924147647965974,12.530146765681046
58,177.795,696,1343,1387,1205,1555.0,-7.923134912628514,12.530146765681044
59,154.849,647,1418,1498,1280,1555.0,-7.922122177291052,12.53014676568105
60,223.162,591,1506,1640,1369,1555.0,-7.9211094419535915,12.530146765681048
61,75.71,501,1565,1732,1460,1555.0,-7.92009670661613,12.530146765681044
62,77.316,532,1625,1811,1625,1555.0,-7.919083971278669,12.53014676568105
63,0.0,77,1504,220,328,1555.0,-7.935272217946266,12.529330501837265
64,0.0,77,1504,220,328,1555.0,-7.934259484589371,12.529330501837263
65,0.132,291,1551,318,359,1555.0,-7.9332467512324785,12.529330501837268
66,71.517,639,1087,599,269,1555.0,-7.932234017875582,12.529330501837265
67,291.808,651,1027,611,280,1555.0,-7.931221284518687,12.529330501837263
68,191.247,678,879,638,419,1555.0,-7.930208551161795,12.529330501837263
69,275.78,814,849,774,519,1555.0,-7.929195817804901,12.529330501837268
70,150.698,860,913,820,590,1555.0,-7.928183084448004,12.529330501837263
71,148.933,1053,933,1042,700,1555.0,-7.927170351091109,12.529330501837265
72,201.695,1060,986,1058,848,1555.0,-7.926157617734217,12.529330501837268
73,127.943,983,1017,1155,880,1555.0,-7.925144884377321,12.529330501837263
74,173.454,792,1150,1290,1012,1555.0,-7.9241321510204275,12.529330501837265
75,158.045,708,1236,1376,1098,1555.0,-7.923119417663533,12.529330501837265
76,183.233,555,1325,1545,1264,1555.0,-7.922106684306638,12.529330501837265
77,208.135,317,1384,1596,1413,1555.0,-7.921093950949745,12.529330501837265
78,63.375,417,1505,1696,1494,1555.0,-7.920081217592849,12.529330501837265
79,72.726,509,1603,1789,1617,1555.0,-7.919068484235955,12.529330501837265
80,0.0,198,1384,353,460,1555.0,-7.935256700310294,12.528514238981506
81,0.0,208,1373,351,459,1555.0,-7.934243968933828,12.528514238981506
82,13.548,291,1551,318,359,1555.0,-7.93323123755736,12.528514238981506
83,188.147,511,1053,471,120,1555.0,-7.932218506180893,12.528514238981508
84,247.109,681,911,641,256,1555.0,-7.931205774804425,12.528514238981504
85,211.617,758,799,718,370,1555.0,-7.930193043427958,12.528514238981506
86,206.465,848,782,812,458,1555.0,-7.92918031205149,12.528514238981506
87,213.001,922,801,936,533,1555.0,-7.928167580675021,12.528514238981508
88,267.097,1042,921,1042,671,1555.0,-7.927154849298555,12.528514238981506
89,261.468,950,912,1171,774,1555.0,-7.926142117922087,12.528514238981506
90,158.14,873,979,1270,842,1555.0,-7.925129386545622,12.528514238981508
91,170.973,743,1125,1344,987,1555.0,-7.924116655169152,12.528514238981504
92,217.532,632,1184,1459,1107,1555.0,-7.923103923792686,12.528514238981508
93,205.797,516,1252,1511,1225,1555.0,-7.922091192416219,12.528514238981506
94,241.862,317,1384,1596,1413,1555.0,-7.921078461039752,12.528514238981506
95,77.731,285,1379,1565,1450,1555.0,-7.920065729663282,12.528514238981508
96,86.232,323,1432,1602,1545,1555.0,-7.9190529982868165,12.528514238981508
97,0.0,336,1246,479,586,1555.0,-7.935241183770118,12.527697977113705
98,150.126,631,933,591,0,1555.0,-7.9322029955815765,12.527697977113709
99,257.175,773,797,733,141,1555.0,-7.9311902661853955,12.527697977113705
100,234.754,807,705,812,297,1555.0,-7.930177536789216,12.527697977113707
101,250.401,769,648,927,348,1555.0,-7.929164807393038,12.527697977113705
102,252.452,818,697,1010,470,1555.0,-7.928152077996858,12.527697977113705
103,230.556,826,723,1041,668,1555.0,-7.927139348600676,12.527697977113707
104,181.945,799,880,1198,843,1555.0,-7.926126619204496,12.527697977113709
105,169.589,763,947,1265,910,1555.0,-7.9251138898083155,12.527697977113705
106,242.196,672,1037,1338,1000,1555.0,-7.924101160412135,12.527697977113707
107,214.002,571,1144,1427,1107,1555.0,-7.923088431015955,12.527697977113709
108,179.083,418,1158,1418,1222,1555.0,-7.922075701619775,12.527697977113705
