,POP_2015,active_living,community_space,education,health_wellbeing,ID_HDC_G0,lng,lat
0,87.667,1120,787,1695,1224,12908.0,120.1998967370582,-2.9893214674463406
1,74.746,979,682,113,557,12908.0,120.18796803628277,-2.9901306575007194
2,97.608,678,452,851,831,12908.0,120.19395973421031,-2.99013065750072
3,92.4,678,452,851,831,12908.0,120.19495835053156,-2.990130657500721
4,97.183,859,526,1129,996,12908.0,120.19595696685282,-2.99013065750072
5,102.666,870,537,1139,1007,12908.0,120.19695558317406,-2.990130657500719
6,93.426,979,682,113,557,12908.0,120.18702412400549,-2.990939847783791
7,97.809,979,682,113,557,12908.0,120.18802274078126,-2.990939847783791
8,97.057,600,417,507,753,12908.0,120.19101859110859,-2.9909398477837925
9,117.14,600,417,507,753,12908.0,120.19201720788438,-2.990939847783791
10,90.622,678,452,851,831,12908.0,120.19401444143594,-2.9909398477837925
11,114.586,678,452,851,831,12908.0,120.1950130582117,-2.9909398477837903
12,97.233,1065,618,12,431,12908.0,120.187078842921,-2.9917490382956204
13,71.316,1045,597,28,471,12908.0,120.18807746015143,-2.9917490382956196
14,106.172,680,419,329,725,12908.0,120.19007469461228,-2.991749038295621
15,106.873,562,379,409,715,12908.0,120.19107331184273,-2.991749038295618
16,99.737,498,315,600,651,12908.0,120.19207192907318,-2.9917490382956204
17,91.098,490,341,628,643,12908.0,120.1930705463036,-2.9917490382956236
18,87.166,610,312,783,763,12908.0,120.19406916353402,-2.991749038295618
19,94.153,614,281,874,751,12908.0,120.19506778076446,-2.9917490382956204
20,108.676,664,331,981,801,12908.0,120.1960663979949,-2.9917490382956218
21,86.941,686,352,1167,820,12908.0,120.19706501522533,-2.991749038295618
22,75.088,730,397,1305,834,12908.0,120.19806363245576,-2.991749038295622
23,69.558,730,397,1305,834,12908.0,120.1990622496862,-2.9917490382956204
24,83.309,901,568,1475,1005,12908.0,120.20006086691664,-2.991749038295621
25,94.729,1240,956,1864,1266,12908.0,120.20105948414707,-2.99174903829562
26,101.264,1273,989,1896,1299,12908.0,120.2020581013775,-2.99174903829562
27,61.825,1318,1034,1942,1344,12908.0,120.20305671860791,-2.991749038295621
28,59.48,1154,706,118,515,12908.0,120.18513634133775,-2.9925582290362684
29,104.294,1104,656,68,464,12908.0,120.18613495902297,-2.9925582290362676
30,98.535,1030,582,46,391,12908.0,120.1871335767082,-2.992558229036266
31,39.965,1041,593,72,401,12908.0,120.18813219439339,-2.992558229036268
32,84.186,843,395,0,399,12908.0,120.18913081207859,-2.992558229036268
33,103.643,738,290,200,596,12908.0,120.19012942976383,-2.992558229036266
34,104.019,533,350,438,686,12908.0,120.19112804744904,-2.992558229036268
35,71.266,431,278,540,584,12908.0,120.19212666513421,-2.992558229036268
36,112.382,399,284,572,552,12908.0,120.19312528281947,-2.992558229036266
37,90.722,429,251,719,582,12908.0,120.19412390050465,-2.992558229036268
38,97.483,553,220,842,690,12908.0,120.19512251818985,-2.992558229036266
39,84.186,602,269,925,739,12908.0,120.19612113587506,-2.9925582290362676
40,75.122,614,280,1093,747,12908.0,120.19711975356029,-2.9925582290362693
41,85.731,675,342,1250,779,12908.0,120.19811837124549,-2.992558229036266
42,79.321,801,487,1394,827,12908.0,120.1991169889307,-2.9925582290362667
43,126.38,951,634,1541,977,12908.0,120.20011560661591,-2.992558229036268
44,106.397,1057,746,1654,1083,12908.0,120.20111422430111,-2.9925582290362667
45,55.536,1219,935,1843,1246,12908.0,120.2021128419863,-2.9925582290362676
46,107.228,1318,1034,1942,1344,12908.0,120.20311145967152,-2.992558229036268
47,60.448,1154,706,118,515,12908.0,120.1851910890869,-2.9933674200057934
48,87.517,1054,606,17,414,12908.0,120.18618970722703,-2.993367420005796
49,40.616,955,545,150,273,12908.0,120.18718832536712,-2.993367420005796
50,85.464,845,423,27,371,12908.0,120.18818694350723,-2.993367420005795
51,93.051,793,345,87,445,12908.0,120.18918556164732,-2.9933674200057934
52,90.321,676,228,181,577,12908.0,120.19018417978744,-2.993367420005796
53,126.154,522,74,383,675,12908.0,120.19118279792754,-2.993367420005796
54,64.571,371,105,501,524,12908.0,120.19218141606765,-2.9933674200057943
55,84.237,281,166,561,434,12908.0,120.19318003420778,-2.993367420005795
56,92.35,359,251,646,511,12908.0,120.19417865234789,-2.993367420005796
57,104.119,393,60,910,530,12908.0,120.19517727048796,-2.993367420005795
58,103.818,508,175,1020,645,12908.0,120.19617588862808,-2.9933674200057943
59,79.203,558,225,1133,692,12908.0,120.19717450676819,-2.993367420005795
60,97.458,719,429,1337,745,12908.0,120.1981731249083,-2.993367420005796
61,98.159,801,604,1512,827,12908.0,120.19917174304841,-2.9933674200057943
62,106.397,876,663,1571,902,12908.0,120.20017036118853,-2.993367420005796
63,128.859,1026,824,1732,1052,12908.0,120.20116897932863,-2.993367420005795
64,99.461,1136,936,1844,1162,12908.0,120.20216759746873,-2.993367420005795
65,63.854,1229,945,1852,1255,12908.0,120.2031662156088,-2.9933674200057943
66,130.311,1011,747,0,33,12908.0,120.18624447030268,-2.994176611204266
67,77.576,886,621,78,141,12908.0,120.18724308889783,-2.994176611204266
68,94.572,880,587,34,255,12908.0,120.18824170749295,-2.9941766112042667
69,90.321,752,429,100,323,12908.0,120.18924032608808,-2.9941766112042676
