,POP_2015,active_living,community_space,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,93.887,1145,1312,1298,755,715,2517,10238.0,95.68074773207152,16.304763596270636
1,127.67,1145,1312,1298,755,715,2517,10238.0,95.68177112672177,16.304763596270636
2,252.574,1023,1209,1011,606,423,2431,10238.0,95.67845283663043,16.30394203206795
3,133.957,1145,1312,1298,755,715,2517,10238.0,95.68049962062337,16.303942032067955
4,260.537,1145,1312,1298,755,715,2517,10238.0,95.68152301261982,16.30394203206795
5,150.387,820,1066,610,463,7,2238,10238.0,95.67746055507732,16.300655788410015
6,93.217,828,1073,618,470,0,2245,10238.0,95.67848393646015,16.300655788410015
7,240.083,576,763,730,160,433,1985,10238.0,95.67950731784302,16.300655788410015
8,198.337,576,763,730,160,433,1985,10238.0,95.68053069922588,16.300655788410015
9,277.219,704,871,858,314,618,2076,10238.0,95.68155408060873,16.300655788410015
10,119.455,1092,1340,880,737,496,2507,10238.0,95.67414238425026,16.299834230783357
11,87.516,713,959,503,356,114,2131,10238.0,95.67721252043977,16.299834230783354
12,33.447,652,897,565,294,176,2119,10238.0,95.6782358991696,16.299834230783357
13,232.958,576,763,666,160,331,1985,10238.0,95.67925927789946,16.299834230783357
14,256.514,514,701,668,98,372,1923,10238.0,95.68028265662927,16.299834230783357
15,283.59,639,806,792,249,552,2010,10238.0,95.68130603535913,16.299834230783357
16,172.686,768,888,922,386,690,2091,10238.0,95.68232941408895,16.299834230783357
17,183.919,768,888,922,386,690,2091,10238.0,95.68335279281878,16.299834230783357
18,98.498,1092,1340,880,737,496,2507,10238.0,95.67389437187097,16.299012674471683
19,155.417,713,959,503,356,114,2131,10238.0,95.6769645001019,16.299012674471683
20,255.508,652,897,565,294,176,2119,10238.0,95.67798787617886,16.299012674471683
21,231.868,521,708,675,105,393,1930,10238.0,95.67901125225585,16.299012674471683
22,430.373,453,640,606,37,433,1861,10238.0,95.6800346283328,16.299012674471683
23,235.892,492,679,646,76,487,1900,10238.0,95.68105800440978,16.299012674471683
24,127.083,577,744,731,187,598,1949,10238.0,95.68208138048676,16.299012674471687
25,200.936,703,823,856,327,738,2025,10238.0,95.68310475656371,16.299012674471683
26,170.171,965,1245,753,705,621,2381,10238.0,95.67364637379062,16.29819111947492
27,146.867,965,1245,753,705,621,2381,10238.0,95.67466974721488,16.298191119474918
28,92.714,586,865,376,325,241,2004,10238.0,95.67671649406336,16.298191119474918
29,186.685,554,834,407,294,273,2014,10238.0,95.67773986748763,16.298191119474918
30,177.799,521,708,474,167,399,1930,10238.0,95.67876324091189,16.298191119474918
31,245.113,394,581,516,72,507,1803,10238.0,95.67978661433615,16.298191119474918
32,305.721,382,569,536,97,567,1791,10238.0,95.68080998776041,16.298191119474918
33,193.307,476,643,629,204,675,1847,10238.0,95.68183336118467,16.29819111947492
34,337.491,600,719,753,343,814,1922,10238.0,95.68285673460893,16.29819111947492
35,164.051,531,650,684,408,879,1853,10238.0,95.68388010803316,16.298191119474918
36,125.574,840,1119,628,785,745,2255,10238.0,95.6733983900088,16.297369565792987
37,75.78,840,1119,628,785,745,2255,10238.0,95.67442176078049,16.29736956579299
38,322.654,461,741,251,406,366,1878,10238.0,95.67749187309558,16.29736956579299
39,356.772,412,645,315,310,461,1867,10238.0,95.67851524386731,16.29736956579299
40,181.25,359,546,383,211,561,1768,10238.0,95.67953861463901,16.297369565792987
41,185.414,246,433,399,169,640,1654,10238.0,95.68056198541068,16.29736956579299
42,260.202,379,547,533,297,768,1751,10238.0,95.6815853561824,16.29736956579299
43,227.928,501,620,654,435,906,1823,10238.0,95.6826087269541,16.29736956579299
44,248.215,479,599,633,456,927,1802,10238.0,95.68363209772578,16.29736956579299
45,194.062,840,1119,628,785,745,2255,10238.0,95.67315042052529,16.296548013425824
46,118.114,715,1005,501,911,871,2129,10238.0,95.67417378864457,16.296548013425824
47,138.316,336,626,125,532,493,1752,10238.0,95.67724389300244,16.296548013425824
48,267.244,271,561,190,468,556,1783,10238.0,95.67826726112173,16.29654801342582
49,279.063,475,662,504,327,682,1884,10238.0,95.67929062924104,16.296548013425824
50,356.94,155,342,309,260,731,1564,10238.0,95.68031399736032,16.296548013425827
51,293.985,312,479,466,360,831,1684,10238.0,95.68133736547962,16.296548013425827
52,265.651,250,417,403,419,890,1621,10238.0,95.6823607335989,16.29654801342582
53,239.329,405,525,559,528,999,1728,10238.0,95.6833841017182,16.296548013425824
54,122.137,715,1005,501,911,871,2129,10238.0,95.67392583080675,16.295726462373345
55,181.404,336,626,125,532,493,1752,10238.0,95.67699592720784,16.29572646237334
56,280.74,271,561,190,468,556,1783,10238.0,95.67801929267489,16.295726462373345
57,248.298,475,662,504,341,682,1884,10238.0,95.67904265814195,16.295726462373345
58,257.687,108,294,261,307,778,1516,10238.0,95.68006602360896,16.29572646237334
59,396.925,66,253,220,349,820,1475,10238.0,95.68108938907599,16.295726462373345
60,293.063,192,359,345,474,945,1564,10238.0,95.68211275454306,16.295726462373345
61,279.482,312,431,465,594,1065,1634,10238.0,95.68313612001008,16.29572646237334
62,25.987,992,1179,1021,844,1199,2400,10238.0,95.68415948547714,16.295726462373345
63,327.767,591,911,378,1034,995,2005,10238.0,95.67367788726669,16.29490491263548
64,300.272,591,911,378,1034,995,2005,10238.0,95.67470125008165,16.294904912635484
65,186.936,213,533,0,657,618,1627,10238.0,95.6767479757115,16.29490491263548
66,372.112,180,500,33,625,649,1652,10238.0,95.67777133852645,16.29490491263548
67,222.647,173,372,31,550,776,1593,10238.0,95.6787947013414,16.294904912635484
