,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
369,4.824,2876,3295,2476,4004,3979,3063,3569.0,28.764825690507152,41.207802865963195
370,17.102,2930,3326,2507,4059,4034,3118,3569.0,28.766016558696954,41.20780286596318
371,40.469,2967,3240,2421,4048,4066,3155,3569.0,28.76720742688675,41.20780286596318
372,2.923,3081,3326,2535,4161,4179,3268,3569.0,28.770780031456148,41.20780286596318
373,21.028,1565,1775,1422,4053,4131,3802,3569.0,28.71217996696783,41.2069021514553
374,8.186,1536,1765,1393,4024,4102,3773,3569.0,28.713370824891427,41.20690215145531
375,37.378,1681,2142,1148,3886,3964,3635,3569.0,28.716943398662227,41.2069021514553
376,56.422,1663,1806,812,3550,3628,3299,3569.0,28.719325114509434,41.20690215145531
377,68.262,1738,1782,788,3526,3604,3274,3569.0,28.720515972433034,41.20690215145531
378,56.569,1874,1888,908,3641,3719,3186,3569.0,28.72170683035663,41.2069021514553
379,51.473,1942,1761,796,3523,3601,3060,3569.0,28.722897688280227,41.2069021514553
380,48.696,2271,1362,861,3487,3565,2999,3569.0,28.724088546203838,41.2069021514553
381,30.613,2419,983,786,3346,3424,2834,3569.0,28.725279404127438,41.20690215145531
382,34.559,2479,893,846,3344,3422,2832,3569.0,28.726470262051038,41.20690215145531
383,25.204,2497,901,864,3343,3421,2830,3569.0,28.727661119974634,41.20690215145531
384,10.817,2432,900,799,3271,3349,2757,3569.0,28.728851977898234,41.20690215145531
385,2.046,2414,919,781,3253,3331,2677,3569.0,28.73004283582184,41.2069021514553
386,6.327,2470,1030,837,3255,3333,2565,3569.0,28.731233693745438,41.2069021514553
387,1.984,2631,978,1034,3373,3451,2616,3569.0,28.732424551669038,41.2069021514553
388,21.404,2608,990,1057,3394,3472,2593,3569.0,28.73361540959263,41.20690215145531
389,16.852,2567,1059,1136,3411,3489,2553,3569.0,28.73480626751624,41.20690215145531
390,9.021,3218,1251,1585,4056,4134,3241,3569.0,28.735997125439834,41.20690215145531
391,4.406,3218,1251,1585,4056,4134,3241,3569.0,28.73718798336344,41.20690215145531
392,5.847,2357,1373,1127,3289,3367,2343,3569.0,28.73837884128704,41.20690215145531
393,8.269,2357,1400,1127,3289,3367,2343,3569.0,28.739569699210634,41.2069021514553
394,36.042,2136,1721,1024,3068,3146,2122,3569.0,28.740760557134237,41.2069021514553
395,47.569,2099,1697,1030,3031,3109,2085,3569.0,28.741951415057837,41.2069021514553
396,40.824,2174,1793,1105,3106,3184,2160,3569.0,28.74314227298144,41.20690215145531
397,24.64,2275,1919,1206,3206,3284,2260,3569.0,28.744333130905044,41.20690215145531
398,11.026,2174,2019,1105,3106,3184,2160,3569.0,28.745523988828637,41.2069021514553
399,0.313,2289,2872,1910,3424,3399,2477,3569.0,28.750287420523033,41.2069021514553
400,32.053,2214,2972,1834,3349,3323,2401,3569.0,28.751478278446644,41.20690215145531
401,18.459,2251,2995,1871,3386,3361,2439,3569.0,28.752669136370244,41.20690215145531
402,1.545,2280,3002,1900,3415,3390,2468,3569.0,28.753859994293844,41.2069021514553
403,19.149,2696,3041,2317,3831,3806,2884,3569.0,28.756241710141037,41.2069021514553
404,127.733,2613,3147,2419,3742,3717,2801,3569.0,28.757432568064644,41.20690215145531
