,POP_2015,community_space,food_choices,health_wellbeing,nightlife,ID_HDC_G0,lng,lat
0,6.689,1443,0,1290,1156,5168.0,39.037290658074184,12.043010611877106
1,15.459,1381,61,1229,1095,5168.0,39.03721743298457,12.04219492571733
2,0.0,1322,120,1170,1036,5168.0,39.03822900882404,12.04219492571733
3,106.415,1374,172,1222,1088,5168.0,39.03714421323862,12.041379240504801
4,176.489,1326,176,1174,1040,5168.0,39.03815578718075,12.041379240504801
5,88.714,1124,318,972,838,5168.0,39.03916736112285,12.041379240504803
6,85.654,1018,421,865,731,5168.0,39.04017893506498,12.041379240504803
7,107.802,934,362,782,647,5168.0,39.041190509007095,12.041379240504803
8,51.433,1330,231,1178,1044,5168.0,39.03707099883625,12.040563556239457
9,167.108,1330,231,1178,1044,5168.0,39.03808257088116,12.040563556239457
10,161.724,1072,275,920,786,5168.0,39.03909414292606,12.040563556239457
11,151.119,1072,275,920,786,5168.0,39.04010571497098,12.040563556239457
12,96.504,934,362,782,647,5168.0,39.04111728701587,12.040563556239457
13,3.345,813,242,661,527,5168.0,39.042128859060774,12.040563556239457
14,21.047,1359,480,1207,1073,5168.0,39.036997789777374,12.039747872921222
15,98.339,1230,385,1078,944,5168.0,39.038009359925205,12.039747872921222
16,162.05,1115,318,963,829,5168.0,39.03902093007304,12.039747872921222
17,131.745,1072,275,920,786,5168.0,39.04003250022087,12.039747872921224
18,114.288,781,96,629,495,5168.0,39.04205564051653,12.039747872921224
19,115.389,684,112,532,398,5168.0,39.043067210664354,12.039747872921222
20,114.736,1149,806,0,866,5168.0,39.05318291214264,12.039747872921222
21,110.984,1300,957,151,1017,5168.0,39.05419448229047,12.039747872921224
22,87.245,1359,480,1207,1073,5168.0,39.03692458606191,12.038932190550037
23,146.632,1130,423,971,934,5168.0,39.037936154312796,12.038932190550035
24,113.023,1120,413,961,924,5168.0,39.0389477225637,12.038932190550037
25,189.378,728,381,568,542,5168.0,39.04198242731636,12.038932190550035
26,145.49,579,232,419,393,5168.0,39.04299399556726,12.038932190550037
27,91.242,579,232,419,393,5168.0,39.04400556381815,12.038932190550037
28,106.864,458,172,306,172,5168.0,39.04501713206905,12.038932190550035
29,104.947,604,80,251,289,5168.0,39.04704026857083,12.038932190550037
30,169.637,1019,676,129,736,5168.0,39.052098109825295,12.038932190550037
31,146.102,1149,806,0,866,5168.0,39.053109678076176,12.038932190550035
32,119.59,1300,957,151,1017,5168.0,39.05412124632707,12.038932190550035
33,95.484,526,285,366,341,5168.0,39.04292078581431,12.038116509125826
34,188.644,453,252,309,252,5168.0,39.043932352168405,12.038116509125825
