,POP_2015,community_space,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
60,29.446,1234,1789,2235,1385,2272,456,4507.0,33.40904380872508,-3.6521303983741205
61,16.528,1193,1748,2194,1344,2231,415,4507.0,33.41004283818873,-3.652130398374119
62,8.789,1357,1656,2101,1251,2128,312,4507.0,33.411041867652386,-3.6521303983741196
63,16.655,1289,1601,1982,1197,1968,152,4507.0,33.41204089711605,-3.6521303983741205
64,14.39,1313,1654,1969,1250,1916,100,4507.0,33.413039926579685,-3.6521303983741205
65,31.065,1110,1512,1820,1429,1766,312,4507.0,33.41403895604335,-3.6521303983741205
66,46.198,926,1491,1799,1417,1746,496,4507.0,33.415037985507,-3.6521303983741196
67,70.639,1014,1578,1886,1504,1833,573,4507.0,33.41603701497064,-3.6521303983741205
68,65.285,703,1755,2063,1681,1861,996,4507.0,33.419034103361604,-3.6521303983741187
69,52.871,525,1758,2066,1684,1744,1198,4507.0,33.42003313282526,-3.6521303983741205
70,50.854,432,1730,2038,1656,1650,1291,4507.0,33.42103216228891,-3.6521303983741205
71,48.007,430,1727,2035,1653,1648,1359,4507.0,33.42203119175256,-3.6521303983741205
72,64.766,559,1601,2100,1662,1637,1396,4507.0,33.423030221216216,-3.652130398374119
73,57.751,594,1555,2071,1616,1591,1350,4507.0,33.42402925067987,-3.6521303983741205
74,25.924,1350,1116,2305,916,2061,1164,4507.0,33.42702633907083,-3.6521303983741205
75,52.693,1319,1085,2275,886,2031,1134,4507.0,33.42802536853446,-3.6521303983741187
76,33.784,1391,1157,2347,958,2103,1206,4507.0,33.42902439799813,-3.652130398374121
77,50.573,1408,1174,2363,861,2119,1222,4507.0,33.43002342746178,-3.6521303983741205
78,54.71,1447,1213,2403,883,2159,1262,4507.0,33.43102245692543,-3.6521303983741196
79,63.045,1490,1256,2446,919,2202,1305,4507.0,33.43202148638908,-3.65213039837412
80,43.869,1520,1286,2476,949,2232,1335,4507.0,33.43302051585273,-3.6521303983741205
81,51.863,1513,1279,2469,772,2225,1328,4507.0,33.43401954531639,-3.6521303983741205
82,36.764,1495,1237,2451,688,2206,1309,4507.0,33.435018574780045,-3.6521303983741196
83,50.468,1491,1233,2447,684,2203,1306,4507.0,33.436017604243695,-3.6521303983741205
84,54.524,1723,1453,2611,903,2435,1538,4507.0,33.43701663370735,-3.6521303983741196
85,38.494,1329,1884,2330,1480,2367,551,4507.0,33.408063365039666,-3.652939796555765
86,40.449,1249,1804,2250,1400,2287,471,4507.0,33.409062395059095,-3.652939796555765
87,12.487,1087,1643,2088,1238,2127,462,4507.0,33.41006142507853,-3.652939796555766
88,22.354,1122,1540,1986,1136,2024,368,4507.0,33.411060455097974,-3.6529397965557653
89,0.716,1183,1466,1911,1061,1944,288,4507.0,33.41205948511742,-3.6529397965557657
90,8.544,1008,1356,1664,1253,1611,405,4507.0,33.414057545156304,-3.652939796555765
91,20.52,878,1443,1751,1369,1697,545,4507.0,33.415056575175726,-3.652939796555766
92,46.168,878,1443,1751,1369,1697,545,4507.0,33.41605560519517,-3.652939796555765
93,60.85,452,1503,1811,1429,1610,970,4507.0,33.41805366523406,-3.6529397965557653
94,38.664,604,1655,1963,1581,1762,1095,4507.0,33.419052695253484,-3.652939796555766
95,46.316,525,1758,2066,1684,1744,1198,4507.0,33.42005172527293,-3.6529397965557653
96,64.143,337,1635,1943,1561,1555,1267,4507.0,33.42105075529236,-3.652939796555765
97,63.164,347,1491,1824,1571,1344,1103,4507.0,33.422049785311806,-3.6529397965557653
98,52.471,500,1461,1977,1522,1497,1256,4507.0,33.423048815331235,-3.6529397965557657
99,39.108,536,1394,1961,1455,1481,1239,4507.0,33.424047845350685,-3.6529397965557653
100,46.361,540,1238,1856,1299,1375,1134,4507.0,33.42504687537013,-3.6529397965557653
101,28.327,540,1238,1856,1299,1375,1134,4507.0,33.42604590538956,-3.652939796555765
102,10.411,1293,1059,2249,860,2005,1108,4507.0,33.42704493540899,-3.652939796555765
103,48.155,1293,1059,2249,860,2005,1108,4507.0,33.42804396542844,-3.652939796555766
104,23.714,1311,1077,2267,878,2023,1126,4507.0,33.42904299544788,-3.6529397965557653
105,41.615,1285,1051,2241,802,1997,1100,4507.0,33.43004202546732,-3.6529397965557653
106,52.946,1290,1056,2246,719,2002,1105,4507.0,33.43104105548676,-3.6529397965557653
107,52.056,1374,1140,2330,803,2086,1189,4507.0,33.432040085506195,-3.652939796555766
108,50.958,1362,1128,2318,621,2074,1177,4507.0,33.433039115525624,-3.6529397965557653
109,41.066,1365,1107,2321,558,2077,1180,4507.0,33.43403814554506,-3.6529397965557653
110,60.893,1429,1171,2385,622,2141,1244,4507.0,33.43503717556452,-3.6529397965557653
111,58.506,1551,1284,2507,734,2262,1365,4507.0,33.436036205583946,-3.652939796555765
112,47.643,1672,1376,2534,826,2417,1520,4507.0,33.43703523560339,-3.652939796555766
113,49.906,592,1599,2168,1318,2276,898,4507.0,33.408081954965375,-3.6537491950170518
114,33.301,943,1499,1945,1095,2053,547,4507.0,33.410080016116076,-3.6537491950170518
115,38.735,1012,1430,1875,1025,1984,479,4507.0,33.411079046691434,-3.6537491950170518
116,23.051,1112,1395,1840,991,1873,358,4507.0,33.41207807726678,-3.6537491950170518
117,24.709,1036,1364,1672,1110,1618,575,4507.0,33.41307710784213,-3.6537491950170518
118,30.26,963,1311,1619,1236,1566,450,4507.0,33.41407613841747,-3.6537491950170518
119,22.001,900,1278,1586,1204,1532,512,4507.0,33.41507516899282,-3.6537491950170518
120,57.365,800,1365,1673,1291,1619,622,4507.0,33.41607419956817,-3.6537491950170518
121,60.539,626,1329,1637,1255,1584,796,4507.0,33.41707323014352,-3.6537491950170518
122,46.628,452,1503,1811,1429,1610,970,4507.0,33.41807226071887,-3.6537491950170513
123,51.314,350,1418,1726,1344,1508,1050,4507.0,33.41907129129422,-3.653749195017052
124,39.346,180,1478,1786,1404,1399,1110,4507.0,33.42007032186957,-3.6537491950170513
125,50.958,339,1460,1794,1545,1313,1072,4507.0,33.42206838302026,-3.6537491950170518
126,54.874,270,1391,1725,1477,1245,1003,4507.0,33.42306741359562,-3.653749195017052
127,48.823,480,1418,1935,1479,1455,1214,4507.0,33.42406644417096,-3.6537491950170513
128,49.638,540,1238,1856,1299,1375,1134,4507.0,33.42506547474632,-3.6537491950170518
129,28.727,430,1127,1746,1189,1265,1024,4507.0,33.42606450532166,-3.6537491950170518
130,10.53,1125,891,2081,763,1836,939,4507.0,33.42706353589701,-3.6537491950170518
131,71.662,1125,891,2081,747,1836,939,4507.0,33.42806256647236,-3.6537491950170518
132,41.971,1177,943,2133,743,1889,991,4507.0,33.42906159704772,-3.6537491950170518
133,49.475,1138,904,2094,591,1850,952,4507.0,33.43006062762307,-3.6537491950170518
134,48.215,1228,994,2184,657,1940,1043,4507.0,33.431059658198414,-3.6537491950170518
135,43.736,1228,994,2184,657,1940,1043,4507.0,33.43205868877376,-3.6537491950170518
136,52.441,1160,926,2115,560,1871,974,4507.0,33.43305771934911,-3.6537491950170518
137,39.634,1272,1038,2227,530,1983,1086,4507.0,33.43405674992446,-3.6537491950170518
138,48.243,1521,1254,2477,705,2233,1335,4507.0,33.43505578049981,-3.6537491950170518
139,55.871,1460,1163,2517,614,2321,1406,4507.0,33.43605481107516,-3.6537491950170518
140,32.87,1566,1269,2428,720,2444,1529,4507.0,33.4370538416505,-3.6537491950170518
141,22.339,430,1437,2030,1180,2412,1060,4507.0,33.4081005490386,-3.6545585937580403
142,39.176,877,1437,1883,1033,1991,613,4507.0,33.410098611301365,-3.6545585937580403
143,39.795,877,1437,1883,1033,1991,613,4507.0,33.41109764243275,-3.654558593758042
144,36.783,1074,1357,1777,953,1776,475,4507.0,33.412096673564136,-3.6545585937580407
145,39.716,1051,1379,1687,1035,1633,625,4507.0,33.413095704695515,-3.6545585937580403
146,29.731,968,1296,1604,1089,1550,606,4507.0,33.4140947358269,-3.6545585937580403
147,29.299,825,1178,1486,1104,1432,598,4507.0,33.41509376695828,-3.6545585937580403
148,48.719,695,1260,1568,1186,1515,727,4507.0,33.416092798089664,-3.6545585937580416
149,44.922,626,1329,1637,1255,1584,796,4507.0,33.41709182922105,-3.6545585937580403
150,41.748,369,1392,1700,1318,1482,1024,4507.0,33.418090860352436,-3.6545585937580416
151,54.147,209,1325,1633,1251,1315,957,4507.0,33.41908989148382,-3.6545585937580394
152,59.723,82,1379,1687,1305,1300,1011,4507.0,33.42008892261521,-3.654558593758042
153,47.77,97,1362,1686,1304,1215,974,4507.0,33.421087953746586,-3.6545585937580403
154,43.009,192,1314,1647,1399,1167,926,4507.0,33.42208698487797,-3.6545585937580407
155,49.594,337,1361,1792,1422,1312,1071,4507.0,33.42308601600935,-3.6545585937580403
156,47.251,430,1127,1746,1189,1265,1024,4507.0,33.425084078272114,-3.6545585937580403
157,37.299,430,1127,1746,1189,1265,1024,4507.0,33.42608310940351,-3.6545585937580416
158,13.021,1125,891,2081,763,1836,939,4507.0,33.427082140534885,-3.6545585937580403
159,45.56,1055,821,2011,622,1767,870,4507.0,33.42808117166627,-3.6545585937580403
160,59.96,1022,788,1978,588,1734,836,4507.0,33.42908020279766,-3.6545585937580403
161,51.329,1022,788,1977,475,1733,836,4507.0,33.43007923392904,-3.6545585937580407
162,44.21,1020,786,1976,474,1732,835,4507.0,33.43107826506043,-3.6545585937580407
163,32.301,1081,847,2036,509,1792,895,4507.0,33.43207729619181,-3.6545585937580407
164,15.959,1160,926,2115,560,1871,974,4507.0,33.43307632732319,-3.6545585937580407
165,20.805,1275,995,2230,445,1986,1089,4507.0,33.43407535845457,-3.6545585937580403
166,44.919,1227,931,2294,381,2050,1153,4507.0,33.435074389585964,-3.6545585937580407
167,51.318,1353,1056,2428,507,2280,1347,4507.0,33.43607342071734,-3.6545585937580403
168,47.189,1460,1163,2322,614,2387,1454,4507.0,33.43707245184873,-3.6545585937580416
169,18.883,430,1437,2030,1180,2412,1060,4507.0,33.40811914725933,-3.6553679927787934
170,21.172,877,1437,1883,1033,1991,613,4507.0,33.41011721063442,-3.655367992778794
171,33.527,977,1337,1782,933,1891,587,4507.0,33.411116242321974,-3.6553679927787934
172,34.704,930,1213,1658,808,1767,541,4507.0,33.4121152740095,-3.6553679927787934
173,38.304,981,1287,1663,886,1609,698,4507.0,33.41311430569705,-3.6553679927787934
174,38.863,907,1235,1543,992,1489,713,4507.0,33.414113337384585,-3.6553679927787934
175,27.789,746,1099,1407,1025,1354,666,4507.0,33.41511236907213,-3.655367992778794
176,42.623,691,1069,1377,995,1323,701,4507.0,33.416111400759675,-3.6553679927787934
177,52.045,303,1255,1563,1181,1345,887,4507.0,33.41810946413476,-3.6553679927787934
178,51.967,209,1325,1633,1251,1315,957,4507.0,33.41910849582231,-3.655367992778794
179,44.863,0,1297,1605,1223,1218,929,4507.0,33.42010752750985,-3.6553679927787934
180,53.761,0,1297,1605,1223,1218,929,4507.0,33.42110655919738,-3.655367992778794
181,52.56,175,1217,1541,1159,1070,829,4507.0,33.422105590884925,-3.6553679927787934
182,48.852,416,1282,1871,1344,1390,1149,4507.0,33.42310462257247,-3.6553679927787934
183,50.899,170,1145,1494,1206,1013,772,4507.0,33.42410365426001,-3.6553679927787934
184,50.884,330,1028,1646,1089,1165,924,4507.0,33.42510268594756,-3.6553679927787934
185,48.081,330,1028,1646,1089,1165,924,4507.0,33.4261017176351,-3.6553679927787934
186,50.884,932,698,1887,523,1643,746,4507.0,33.429098812697724,-3.655367992778794
187,47.725,885,651,1841,338,1597,700,4507.0,33.43009784438527,-3.6553679927787934
188,42.431,902,668,1858,331,1614,717,4507.0,33.431096876072814,-3.6553679927787934
189,18.228,1016,782,1972,445,1728,831,4507.0,33.43209590776035,-3.6553679927787934
190,2.738,1157,923,2113,408,1869,971,4507.0,33.43309493944789,-3.6553679927787934
191,14.114,1166,932,2122,418,1878,981,4507.0,33.43409397113544,-3.655367992778794
192,44.919,1108,812,2228,263,1995,1098,4507.0,33.435093002822974,-3.6553679927787934
193,38.009,1244,947,2319,398,2171,1238,4507.0,33.43609203451052,-3.6553679927787934
194,59.019,1356,1059,2207,510,2283,1350,4507.0,33.43709106619806,-3.6553679927787934
195,51.239,396,1139,1732,882,2114,1339,4507.0,33.410135814115264,-3.6561773920793734
196,41.472,821,1104,1549,699,1667,650,4507.0,33.41213387860292,-3.6561773920793734
197,34.204,926,1254,1562,858,1509,799,4507.0,33.41313291084675,-3.656177392079375
198,40.138,857,1185,1493,927,1440,779,4507.0,33.41413194309057,-3.6561773920793743
199,29.358,733,1061,1369,987,1315,693,4507.0,33.41513097533439,-3.6561773920793734
200,27.852,596,980,1288,906,1234,612,4507.0,33.41613000757821,-3.6561773920793734
201,46.717,343,1124,1432,1050,1195,756,4507.0,33.41812807206587,-3.656177392079374
202,47.651,306,1161,1469,1087,1176,793,4507.0,33.419127104309695,-3.6561773920793734
203,40.992,213,1177,1485,1103,1107,809,4507.0,33.42012613655352,-3.6561773920793743
204,39.103,109,1187,1495,1113,1108,819,4507.0,33.42112516879733,-3.6561773920793734
205,27.924,142,1168,1497,1208,1021,780,4507.0,33.42212420104116,-3.656177392079374
206,35.846,127,1120,1461,1231,981,739,4507.0,33.42312323328498,-3.6561773920793734
207,46.657,173,1045,1411,1106,931,690,4507.0,33.424122265528815,-3.6561773920793734
208,45.975,221,919,1537,980,1057,816,4507.0,33.42512129777264,-3.6561773920793743
209,38.664,229,842,1602,903,1121,820,4507.0,33.42612033001646,-3.6561773920793734
210,44.937,279,791,1648,853,1167,791,4507.0,33.42711936226029,-3.6561773920793734
211,39.286,418,653,1773,714,1292,653,4507.0,33.42811839450411,-3.6561773920793743
212,56.179,797,563,1753,362,1509,612,4507.0,33.43011645899177,-3.6561773920793734
213,31.991,825,591,1781,266,1537,640,4507.0,33.431115491235595,-3.6561773920793743
214,52.899,964,730,1920,279,1676,779,4507.0,33.43211452347942,-3.656177392079375
215,36.764,1092,858,2048,0,1804,907,4507.0,33.43311355572324,-3.6561773920793734
216,51.244,1033,737,2153,187,1992,1027,4507.0,33.434112587967064,-3.656177392079373
217,35.874,1088,792,2208,242,2015,1082,4507.0,33.4351116202109,-3.6561773920793748
218,39.004,1246,949,2317,400,2173,1240,4507.0,33.436110652454715,-3.6561773920793734
219,53.689,1318,1022,2161,579,2255,1313,4507.0,33.43710968469854,-3.6561773920793743
220,37.948,94,1140,1733,883,2115,1341,4507.0,33.408156356143465,-3.656986791659845
221,70.562,94,1140,1733,883,2115,1341,4507.0,33.40915538894369,-3.6569867916598446
222,43.189,749,1032,1477,628,1612,721,4507.0,33.412152487344386,-3.656986791659845
223,43.012,881,1159,1467,760,1413,791,4507.0,33.41315152014462,-3.656986791659843
224,30.839,881,1159,1467,760,1413,791,4507.0,33.414150552944854,-3.6569867916598437
225,16.332,810,984,1292,910,1238,616,4507.0,33.415149585745084,-3.6569867916598433
226,30.064,618,849,1157,775,1104,481,4507.0,33.416148618545314,-3.6569867916598446
227,39.45,618,849,1157,775,1104,481,4507.0,33.41714765134555,-3.6569867916598437
228,55.556,532,969,1277,895,1074,601,4507.0,33.41814668414578,-3.6569867916598433
229,57.068,532,969,1277,895,1074,601,4507.0,33.41914571694602,-3.6569867916598446
230,49.965,428,1031,1339,957,961,663,4507.0,33.420144749746235,-3.656986791659845
231,5.969,262,1035,1343,961,955,667,4507.0,33.42114378254647,-3.656986791659844
232,15.498,0,1010,1344,1171,863,622,4507.0,33.42214281534671,-3.6569867916598437
233,37.952,113,1054,1387,1275,907,666,4507.0,33.42314184814693,-3.656986791659845
234,46.376,71,976,1309,1198,829,588,4507.0,33.42414088094717,-3.6569867916598433
235,53.895,0,974,1376,1126,896,655,4507.0,33.4251399137474,-3.656986791659845
236,56.535,200,844,1505,950,1024,772,4507.0,33.42613894654763,-3.656986791659843
237,73.278,413,697,1643,758,1162,697,4507.0,33.42713797934787,-3.656986791659844
238,51.373,455,655,1685,716,1204,655,4507.0,33.4281370121481,-3.656986791659845
239,30.907,568,500,1641,561,1297,500,4507.0,33.42913604494833,-3.6569867916598433
240,6.574,722,491,1669,379,1425,528,4507.0,33.43013507774856,-3.6569867916598446
241,15.666,1034,800,1990,233,1746,849,4507.0,33.43113411054878,-3.6569867916598437
242,28.858,1034,800,1990,233,1746,849,4507.0,33.43213314334902,-3.6569867916598437
243,54.773,1132,836,2136,87,1892,995,4507.0,33.43313217614925,-3.6569867916598433
