,POP_2015,education,food_choices,health_wellbeing,nightlife,ID_HDC_G0,lng,lat
0,34.524,842,1501,1389,2065,4512.0,35.342434014346935,-23.846825408312665
1,39.312,842,1501,1389,2065,4512.0,35.34348839863114,-23.846825408312665
2,43.385,842,1501,1389,2065,4512.0,35.3425754534924,-23.84766219343971
3,32.55,842,1501,1389,2065,4512.0,35.34362984199621,-23.847662193439707
4,36.855,152,966,958,1669,4512.0,35.34644597627304,-23.851846149877613
5,26.387,152,966,958,1669,4512.0,35.34750038587782,-23.85184614987762
6,44.788,326,891,779,1455,4512.0,35.34236981207565,-23.85268294732637
7,44.761,322,887,775,1451,4512.0,35.343424225901224,-23.85268294732638
8,22.849,221,876,764,1440,4512.0,35.34447863972677,-23.85268294732638
9,25.306,111,944,832,1508,4512.0,35.34553305355234,-23.852682947326375
10,36.445,11,998,886,1562,4512.0,35.3465874673779,-23.85268294732638
11,11.577,176,906,898,1698,4512.0,35.347641881203465,-23.85268294732638
12,6.699,360,856,848,1694,4512.0,35.34869629502903,-23.85268294732638
13,26.619,326,891,779,1455,4512.0,35.34251129284744,-23.85351974682906
14,35.355,334,814,703,1379,4512.0,35.34356571089398,-23.85351974682906
15,22.939,242,761,649,1325,4512.0,35.344620128940505,-23.853519746829065
16,22.831,43,972,860,1536,4512.0,35.34567454698705,-23.853519746829058
17,35.9,42,997,885,1561,4512.0,35.346728965033584,-23.85351974682906
18,24.743,310,763,755,1601,4512.0,35.34778338308011,-23.85351974682906
19,22.251,367,835,827,1673,4512.0,35.34883780112666,-23.853519746829058
20,45.85,447,706,594,1152,4512.0,35.34370720243719,-23.85435654838578
21,28.62,372,631,520,1196,4512.0,35.344761624704894,-23.854356548385777
22,43.448,455,604,492,1339,4512.0,35.3458160469726,-23.854356548385773
23,33.765,553,728,616,1463,4512.0,35.34687046924031,-23.854356548385777
24,29.602,402,684,663,1509,4512.0,35.34792489150801,-23.854356548385773
25,26.619,391,682,674,1520,4512.0,35.34897931377573,-23.854356548385773
26,25.627,507,679,626,1092,4512.0,35.34279427404198,-23.855193351996608
27,36.078,501,655,586,1067,4512.0,35.343848700531055,-23.855193351996608
28,30.165,415,545,433,1154,4512.0,35.34490312702012,-23.855193351996608
29,28.468,483,560,448,1295,4512.0,35.34595755350919,-23.855193351996604
30,41.974,540,546,434,1281,4512.0,35.347011979998264,-23.855193351996608
31,25.663,511,630,577,1043,4512.0,35.34293577446515,-23.856030157661635
32,27.566,511,630,577,1043,4512.0,35.343990205175785,-23.856030157661635
33,39.178,243,465,353,983,4512.0,35.345044635886424,-23.856030157661632
34,31.317,415,420,308,1155,4512.0,35.346099066597056,-23.85603015766164
35,37.972,487,492,380,1227,4512.0,35.34715349730769,-23.856030157661635
36,27.959,600,482,500,1343,4512.0,35.348207928018326,-23.856030157661635
37,12.881,605,486,504,1348,4512.0,35.349262358728964,-23.856030157661635
38,34.81,348,468,459,880,4512.0,35.34413171637158,-23.856866965380963
39,36.248,264,487,375,963,4512.0,35.34518615130398,-23.856866965380966
40,41.884,280,285,173,1020,4512.0,35.34624058623637,-23.856866965380966
41,34.881,355,358,246,1093,4512.0,35.34729502116877,-23.856866965380966
42,27.182,488,382,379,1222,4512.0,35.348349456101154,-23.856866965380963
43,18.017,509,382,400,1243,4512.0,35.34940389103355,-23.856866965380963
44,19.482,325,440,425,851,4512.0,35.34321879496432,-23.85770377515468
45,28.718,241,360,351,773,4512.0,35.34427323411868,-23.857703775154675
46,30.219,136,358,246,876,4512.0,35.34532767327302,-23.857703775154672
47,33.193,233,263,151,974,4512.0,35.346382112427364,-23.857703775154672
48,38.454,355,358,246,1093,4512.0,35.347436551581715,-23.857703775154675
49,27.628,454,323,344,1184,4512.0,35.34849099073607,-23.857703775154675
50,19.678,454,323,344,1184,4512.0,35.34954542989041,-23.857703775154675
51,27.139,161,275,271,688,4512.0,35.34336031504077,-23.85854058698286
52,24.305,106,220,216,633,4512.0,35.344414758417265,-23.858540586982855
53,21.045,0,222,110,740,4512.0,35.345469201793755,-23.85854058698286
54,36.409,110,111,0,849,4512.0,35.34652364517025,-23.858540586982862
55,30.829,218,220,108,955,4512.0,35.347578088546754,-23.858540586982855
56,16.418,339,233,228,1069,4512.0,35.34863253192323,-23.858540586982855
57,0.438,352,220,241,1081,4512.0,35.34968697529974,-23.85854058698286
58,17.758,223,330,294,739,4512.0,35.34244739406987,-23.85937740086561
59,11.326,215,323,294,733,4512.0,35.34350184166871,-23.85937740086561
60,33.014,106,220,216,633,4512.0,35.34455628926755,-23.85937740086561
61,26.512,115,109,221,628,4512.0,35.345610736866384,-23.85937740086561
62,32.353,222,0,111,737,4512.0,35.34666518446522,-23.85937740086561
63,26.949,329,111,205,844,4512.0,35.34771963206407,-23.859377400865608
64,13.917,446,123,123,959,4512.0,35.3487740796629,-23.85937740086561
65,19.25,330,221,186,631,4512.0,35.342588923026995,-23.86021421680302
66,16.972,327,218,189,627,4512.0,35.34364337484836,-23.86021421680302
