,POP_2015,active_living,education,food_choices,health_wellbeing,ID_HDC_G0,lng,lat
0,23.757,4205,1496,1889,3087,11462.0,103.42420805013123,1.017854924624916
1,20.861,4205,1496,1889,3087,11462.0,103.42419205567012,1.0170461078549478
2,16.666,2443,1716,2257,130,11462.0,103.41416540935397,1.0146196580107603
3,18.35,2443,1716,2257,130,11462.0,103.4141494673175,1.0138108415510638
4,18.796,5000,5000,5000,5000,11462.0,103.41614521486233,1.0138108415510647
5,10.993,3443,869,1461,1600,11462.0,103.41814096240715,1.0138108415510647
6,101.22,3437,863,1455,1594,11462.0,103.41913883617954,1.0138108415510647
7,60.678,3496,922,1514,1653,11462.0,103.42013670995196,1.0138108415510647
8,33.597,3604,859,1458,1861,11462.0,103.4231303312692,1.0138108415510638
9,79.662,3591,846,1446,2038,11462.0,103.42412820504164,1.0138108415510636
10,18.608,3629,885,1484,2106,11462.0,103.42512607881409,1.0138108415510647
11,0.0,2328,1602,2142,260,11462.0,103.41213779076392,1.0130020251687832
12,11.667,2328,1602,2142,260,11462.0,103.4131356643826,1.0130020251687823
13,54.272,2314,1588,2128,38,11462.0,103.41413353800135,1.0130020251687832
14,47.486,2292,1565,2106,116,11462.0,103.41513141162002,1.0130020251687835
15,8.5,5000,5000,5000,5000,11462.0,103.41612928523874,1.0130020251687823
16,48.076,3381,807,1399,1538,11462.0,103.41812503247614,1.0130020251687823
17,128.114,3424,850,1442,1581,11462.0,103.41912290609487,1.0130020251687835
18,97.868,3468,877,1469,1626,11462.0,103.42012077971354,1.0130020251687832
19,15.793,3481,804,1396,1638,11462.0,103.42111865333229,1.0130020251687835
20,68.293,3539,808,1400,1696,11462.0,103.42211652695099,1.0130020251687823
21,77.276,3565,820,1419,1900,11462.0,103.4231144005697,1.0130020251687832
22,31.908,3629,885,1484,2094,11462.0,103.42411227418839,1.0130020251687843
23,9.599,3558,813,1413,2140,11462.0,103.42511014780712,1.0130020251687823
24,20.083,3592,886,1276,2477,11462.0,103.42710589504456,1.0130020251687835
25,28.02,3572,985,1375,2576,11462.0,103.42810376866323,1.0130020251687832
26,8.795,3529,1028,1418,2619,11462.0,103.42910164228196,1.0130020251687823
27,0.0,2211,1804,2482,1142,11462.0,103.41012612754497,1.0121932088638548
28,0.617,2201,1475,2015,132,11462.0,103.41311974794033,1.0121932088638548
29,17.509,2252,1525,2066,81,11462.0,103.41411762140545,1.0121932088638537
30,0.0,3292,894,1486,1450,11462.0,103.41711124180082,1.0121932088638534
31,5.899,3312,738,1330,1469,11462.0,103.41810911526595,1.0121932088638528
32,77.464,3291,717,1309,1448,11462.0,103.41910698873109,1.0121932088638537
33,57.809,3452,878,1470,1609,11462.0,103.42010486219621,1.0121932088638537
34,65.237,3452,715,1306,1633,11462.0,103.42110273566134,1.0121932088638546
35,81.083,3464,726,1318,1787,11462.0,103.42210060912646,1.0121932088638534
36,53.895,3472,727,1326,1916,11462.0,103.42309848259157,1.0121932088638537
37,50.194,3430,685,1285,2013,11462.0,103.42409635605671,1.0121932088638546
38,52.018,3525,817,1208,2408,11462.0,103.42708997645208,1.0121932088638546
39,62.207,3529,1028,1418,2619,11462.0,103.4280878499172,1.0121932088638537
40,18.823,3523,1035,1420,2626,11462.0,103.42908572338233,1.0121932088638528
41,9.921,2185,1778,2456,1116,11462.0,103.41011022428322,1.0113843926362156
42,5.604,2088,1361,1902,245,11462.0,103.4131038442182,1.0113843926362158
43,52.474,2111,1384,1924,222,11462.0,103.41410171752985,1.0113843926362145
44,8.688,3310,966,1558,1468,11462.0,103.41609746415318,1.0113843926362136
45,4.129,3221,877,1469,1379,11462.0,103.41709533746484,1.0113843926362158
46,2.52,3292,894,1486,1450,11462.0,103.41809321077653,1.0113843926362156
47,56.791,3179,605,1197,1336,11462.0,103.41909108408817,1.0113843926362156
48,120.284,3336,645,1236,1494,11462.0,103.42008895739984,1.0113843926362147
49,65.103,3384,647,1238,1586,11462.0,103.42108683071149,1.0113843926362156
50,58.48,3373,636,1228,1764,11462.0,103.42208470402318,1.0113843926362156
51,56.281,3330,585,1184,1912,11462.0,103.42308257733482,1.0113843926362147
52,29.307,3328,583,1183,1910,11462.0,103.42408045064649,1.0113843926362147
53,3.915,3530,569,1241,2160,11462.0,103.4260761972698,1.0113843926362156
54,39.925,3441,732,1124,2322,11462.0,103.42707407058148,1.0113843926362138
55,83.979,3441,732,1124,2322,11462.0,103.42807194389312,1.0113843926362156
56,69.151,91,1890,3336,3272,11462.0,103.39213261689137,1.0105755764858064
57,48.291,137,2120,3087,3024,11462.0,103.3931304900497,1.0105755764858046
58,0.0,165,2149,3059,2996,11462.0,103.39412836320803,1.0105755764858055
59,0.67,349,2034,2875,2850,11462.0,103.39512623636634,1.0105755764858046
60,8.5,560,2048,2889,2717,11462.0,103.39612410952468,1.0105755764858053
61,9.546,512,2096,2917,2670,11462.0,103.397121982683,1.0105755764858055
62,0.054,637,2180,2814,2527,11462.0,103.39811985584134,1.0105755764858055
63,10.94,760,2075,2678,2409,11462.0,103.39911772899964,1.0105755764858064
64,8.473,847,2016,2620,2329,11462.0,103.40011560215795,1.0105755764858044
65,43.867,1077,2089,2584,2100,11462.0,103.4011134753163,1.0105755764858053
66,7.32,1359,1900,2395,2032,11462.0,103.40211134847463,1.0105755764858055
67,29.843,1364,1793,2287,1803,11462.0,103.40310922163295,1.0105755764858053
68,39.684,1539,1803,2298,1628,11462.0,103.40410709479127,1.0105755764858053
69,14.855,1643,1715,2210,1524,11462.0,103.4051049679496,1.0105755764858044
