,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,36.211,1825,554,661,1236,1129,616,3023,1894.0,-0.6419188837575878,35.224567194596126
1,12.18,1547,208,740,958,851,338,2745,1894.0,-0.638525479966799,35.224567194596126
2,5.711,1547,208,740,958,851,338,2745,1894.0,-0.6373943453698692,35.224567194596126
3,3.301,1914,2180,1632,2037,2037,2231,4226,1894.0,-0.6487013375900528,35.22369387187445
4,6.932,1914,2180,1632,2037,2037,2231,4226,1894.0,-0.6475702105846647,35.223693871874445
5,0.429,1932,662,404,1333,1237,723,3125,1894.0,-0.6441768295685006,35.223693871874445
6,6.074,1743,473,293,1155,1048,534,2941,1894.0,-0.6430457025631127,35.223693871874445
7,60.605,1743,473,293,1155,1048,534,2941,1894.0,-0.6419145755577246,35.22369387187445
8,71.625,1572,302,433,984,877,364,2771,1894.0,-0.6407834485523365,35.223693871874445
9,109.492,1572,302,433,984,877,364,2771,1894.0,-0.6396523215469484,35.22369387187445
10,87.937,1547,208,740,958,851,338,2745,1894.0,-0.6385211945415603,35.223693871874445
11,3.697,1547,208,740,958,851,338,2745,1894.0,-0.6373900675361722,35.22369387187445
12,136.394,808,732,0,787,247,394,2058,1894.0,-0.63286555951462,35.22369387187445
13,43.044,808,732,0,787,247,394,2058,1894.0,-0.6317344325092319,35.223693871874445
14,18.254,708,833,100,887,165,294,1958,1894.0,-0.6306033055038439,35.22369387187446
15,24.097,564,896,430,1034,169,33,1944,1894.0,-0.6294721784984558,35.223693871874445
16,12.907,493,826,434,963,99,235,1873,1894.0,-0.6283410514930677,35.223693871874445
17,16.934,2227,1693,1944,1257,1641,1811,3268,1894.0,-0.6238165434715154,35.22369387187445
18,28.19,583,466,543,669,453,690,1597,1894.0,-0.6192920354499633,35.223693871874445
19,30.534,1664,1131,1382,694,1079,1249,2705,1894.0,-0.6181609084445752,35.22369387187445
20,0.0,1664,1131,1382,694,1079,1249,2705,1894.0,-0.6170297814391872,35.223693871874445
