,POP_2015,education,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,136.24,5000,171,5000,5000,7845.0,78.92792208288563,22.073985809313232
1,138.697,5000,321,5000,5000,7845.0,78.9289679360288,22.07398580931323
2,208.288,5000,321,5000,5000,7845.0,78.93001378917197,22.07398580931323
3,91.633,52,1030,1945,1915,7845.0,78.94883914574923,22.073985809313232
4,32.485,7,1074,1989,1959,7845.0,78.94988499889239,22.07398580931322
5,93.458,5000,0,5000,5000,7845.0,78.92763395922171,22.07315318799781
6,150.128,5000,321,5000,5000,7845.0,78.92867980854703,22.073153187997814
7,110.176,1343,0,1914,2039,7845.0,78.93913830180031,22.07315318799781
8,99.527,73,1008,1923,1893,7845.0,78.94855094572829,22.07315318799781
9,42.844,3,1078,1993,1963,7845.0,78.9495967950536,22.07315318799781
10,81.208,5000,0,5000,5000,7845.0,78.92734584937116,22.072320568549546
11,46.952,1761,417,1496,1851,7845.0,78.93571261343247,22.072320568549543
12,76.032,1343,0,1914,2039,7845.0,78.93885014995543,22.072320568549543
13,5.511,239,843,1757,1727,7845.0,78.94826275952438,22.072320568549546
14,40.697,239,843,1757,1727,7845.0,78.94930860503203,22.07232056854954
15,40.734,1761,417,1496,1851,7845.0,78.93437864516484,22.07148795096834
16,107.309,1761,417,1496,1851,7845.0,78.93542448685503,22.071487950968343
17,0.0,239,843,1757,1727,7845.0,78.94797458713711,22.071487950968336
18,24.09,239,843,1757,1727,7845.0,78.9490204288273,22.07148795096834
19,20.069,635,707,1633,1331,7845.0,78.94559475282033,22.07065533525411
20,40.436,635,707,1633,1331,7845.0,78.94530661569934,22.069822721406783
21,89.511,779,852,1488,1187,7845.0,78.94501849239342,22.068990109426256
22,108.798,779,852,1488,1187,7845.0,78.94606432263224,22.06899010942626
23,138.064,0,0,914,1439,7845.0,78.9538546906745,22.0673248910653
24,122.426,0,0,914,1439,7845.0,78.95490051328,22.067324891065304
25,157.947,0,0,914,1439,7845.0,78.95356657446376,22.066492284684692
26,149.942,0,0,914,1439,7845.0,78.95461239325287,22.066492284684692
27,103.362,997,0,678,1032,7845.0,78.93730321613377,22.064827077522793
28,142.048,997,0,678,1032,7845.0,78.93701519860454,22.063994476741325
29,129.426,369,627,883,983,7845.0,78.94329004265083,22.06399447674132
30,85.043,2137,0,1623,1269,7845.0,78.92331376164016,22.060664092276728
31,85.341,2137,0,1623,1269,7845.0,78.9243595537197,22.060664092276735
32,83.255,0,431,514,614,7845.0,78.94213801907163,22.06066409227673
33,144.394,0,431,514,614,7845.0,78.94318381115116,22.06066409227673
34,176.825,2137,0,1623,1269,7845.0,78.92407164720599,22.059831500825474
35,77.075,499,67,75,429,7845.0,78.93871268291045,22.059831500825474
36,117.92,462,11,676,151,7845.0,78.94707898902728,22.059831500825474
37,116.543,614,163,524,0,7845.0,78.94812477729187,22.059831500825474
38,122.761,475,43,51,405,7845.0,78.93842473679742,22.05899891124
39,100.718,431,0,82,436,7845.0,78.9394705212473,22.05899891124
40,31.984,614,163,524,0,7845.0,78.94783679684622,22.05899891124
41,132.404,648,197,839,315,7845.0,78.94888258129609,22.05899891124
42,115.053,875,0,263,261,7845.0,78.95097415019579,22.058998911239996
43,130.282,914,0,0,524,7845.0,78.95306571909552,22.058998911240003
44,155.006,914,0,0,524,7845.0,78.95411150354539,22.05899891124
45,141.601,877,0,363,9,7845.0,78.93604524322302,22.058166323520222
46,140.224,514,82,0,354,7845.0,78.93813680449362,22.058166323520222
47,184.867,514,82,0,354,7845.0,78.93918258512892,22.05816632352022
48,165.096,648,197,839,315,7845.0,78.94859461084667,22.05816632352022
49,61.138,875,0,263,261,7845.0,78.95068617211729,22.05816632352022
