,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,6.211,940,1426,1124,358,785,5000,2515,5387.0,44.31944458374844,32.07404564192407
1,56.326,938,1424,1123,356,775,5000,2513,5387.0,44.3205502065942,32.07404564192407
2,68.002,1255,1539,1417,218,244,5000,2660,5387.0,44.32386707513148,32.07404564192407
3,71.403,1255,1539,1417,218,244,5000,2660,5387.0,44.32497269797725,32.07404564192407
4,54.206,1525,1448,1340,360,333,5000,2397,5387.0,44.327183943668764,32.07404564192407
5,94.495,1525,1448,1340,360,333,5000,2397,5387.0,44.328289566514535,32.07404564192407
6,16.063,2733,1193,550,251,1591,5000,1915,5387.0,44.340451417817896,32.07404564192408
7,10.604,2799,1249,607,318,1658,5000,1971,5387.0,44.341557040663666,32.07404564192407
8,82.451,703,2071,1573,1443,1259,5000,2433,5387.0,44.31365661911674,32.07318429018621
9,80.48,646,2014,1516,1386,1259,5000,2432,5387.0,44.31476223547929,32.07318429018622
10,93.887,532,1900,1402,1272,1336,5000,2510,5387.0,44.31586785184183,32.07318429018621
11,43.542,428,1796,1298,1167,1408,5000,2582,5387.0,44.31697346820438,32.07318429018622
12,15.938,400,1768,1270,1139,1429,5000,2603,5387.0,44.31807908456693,32.07318429018622
13,4.634,170,1538,1040,909,1357,4988,2400,5387.0,44.31918470092949,32.07318429018622
14,96.911,834,1360,1040,293,703,4988,2409,5387.0,44.320290317292034,32.07318429018622
15,57.049,1064,1388,1226,313,340,5000,2639,5387.0,44.32250155001714,32.07318429018621
16,51.904,1170,1493,1332,255,282,5000,2697,5387.0,44.323607166379674,32.07318429018622
17,76.286,1235,1459,1397,137,164,5000,2580,5387.0,44.324712782742225,32.07318429018621
18,64.566,1338,1442,1501,173,147,5000,2562,5387.0,44.32581839910477,32.07318429018622
19,62.717,1525,1448,1340,360,333,5000,2397,5387.0,44.32692401546733,32.07318429018621
20,47.579,1481,1397,1289,316,289,5000,2346,5387.0,44.32802963182988,32.07318429018622
21,105.413,1521,1275,1141,339,329,5000,2198,5387.0,44.329135248192415,32.07318429018621
22,64.165,1658,1386,1208,406,466,5000,2265,5387.0,44.33024086455496,32.07318429018622
23,66.694,1728,1304,1126,324,548,5000,2183,5387.0,44.33134648091751,32.07318429018622
24,38.44,1835,1359,1029,227,669,5000,2135,5387.0,44.33245209728006,32.07318429018622
25,33.312,2033,1195,578,159,891,5000,1916,5387.0,44.33355771364261,32.07318429018622
26,26.249,2077,1167,551,127,936,5000,1889,5387.0,44.334663330005164,32.07318429018621
27,34.097,2294,1139,522,102,1153,5000,1860,5387.0,44.335768946367715,32.07318429018621
28,32.649,2393,1237,594,87,1252,5000,1959,5387.0,44.33687456273025,32.07318429018622
29,35.649,2462,1208,564,19,1320,5000,1929,5387.0,44.33798017909281,32.07318429018621
30,61.27,2744,996,352,99,1529,5000,1717,5387.0,44.33908579545536,32.07318429018622
31,66.781,2764,1162,519,265,1622,5000,1884,5387.0,44.340191411817905,32.07318429018622
32,68.874,2788,1138,495,241,1635,5000,1860,5387.0,44.341297028180456,32.07318429018622
33,9.959,3491,1715,1729,728,1962,5000,2095,5387.0,44.34240264454299,32.07318429018622
34,90.075,648,2000,1502,1371,1193,5000,2367,5387.0,44.31450238985193,32.07232294151206
35,74.926,521,1872,1374,1243,1291,5000,2465,5387.0,44.31560799973154,32.07232294151207
36,104.798,521,1872,1374,1243,1291,5000,2465,5387.0,44.31671360961117,32.07232294151206
37,29.05,400,1768,1270,1139,1429,5000,2603,5387.0,44.31781921949078,32.07232294151206
38,0.0,170,1538,1040,909,1357,4988,2400,5387.0,44.3189248293704,32.07232294151207
39,54.19,96,1464,966,836,1284,4915,2326,5387.0,44.320030439250026,32.07232294151207
40,49.706,1064,1388,1226,313,340,5000,2639,5387.0,44.32224165900926,32.07232294151207
41,62.979,1076,1400,1239,208,235,5000,2650,5387.0,44.32334726888886,32.07232294151207
42,58.706,1155,1419,1317,98,124,5000,2540,5387.0,44.32445287876849,32.07232294151206
43,60.851,1191,1321,1354,37,26,5000,2442,5387.0,44.3255584886481,32.07232294151207
44,71.804,1266,1182,1253,139,112,5000,2303,5387.0,44.32666409852773,32.07232294151206
45,57.537,1404,1179,1189,208,228,5000,2243,5387.0,44.32776970840733,32.07232294151207
46,43.811,1515,1269,1135,334,334,5000,2192,5387.0,44.32887531828695,32.07232294151207
47,40.184,1603,1179,1022,220,448,5000,2079,5387.0,44.329980928166556,32.07232294151207
48,42.765,1782,1110,728,236,642,5000,1783,5387.0,44.33108653804617,32.07232294151207
49,22.499,1883,1209,728,73,742,5000,1882,5387.0,44.33219214792579,32.07232294151207
50,51.852,1983,1245,628,148,841,5000,1923,5387.0,44.33329775780542,32.07232294151207
51,64.095,2138,1090,473,54,996,5000,1811,5387.0,44.33440336768504,32.07232294151206
52,76.025,2219,1066,449,27,1078,5000,1787,5387.0,44.33550897756464,32.07232294151207
53,84.274,2320,1165,549,118,1179,5000,1887,5387.0,44.33661458744426,32.07232294151206
54,101.994,2393,1237,594,87,1252,5000,1959,5387.0,44.33772019732388,32.07232294151207
55,59.665,2694,946,303,49,1480,5000,1667,5387.0,44.33882580720349,32.07232294151207
56,103.145,2645,896,253,0,1430,5000,1618,5387.0,44.33993141708311,32.07232294151207
57,85.338,2837,1039,396,191,1622,5000,1761,5387.0,44.34103702696273,32.07232294151206
58,36.556,2912,1030,387,267,1675,5000,1751,5387.0,44.34214263684235,32.07232294151206
59,52.12,767,2119,1621,1490,1210,5000,2384,5387.0,44.31313695208587,32.0714615959015
60,113.473,589,1940,1442,1311,1044,5000,2218,5387.0,44.314242555482835,32.0714615959015
61,23.332,536,1887,1389,1259,1049,5000,2223,5387.0,44.315348158879786,32.07146159590151
62,82.977,268,1619,1121,990,1149,5000,2323,5387.0,44.31645376227676,32.07146159590151
63,29.74,212,1563,1065,935,1205,5000,2378,5387.0,44.31755936567374,32.07146159590151
64,0.099,90,1441,943,813,1261,4892,2304,5387.0,44.3186649690707,32.0714615959015
65,17.187,670,1171,862,104,528,4810,2245,5387.0,44.319770572467654,32.07146159590151
66,99.573,730,1067,892,13,461,4863,2305,5387.0,44.32087617586463,32.07146159590151
67,67.828,897,1220,1059,153,294,5000,2472,5387.0,44.3219817792616,32.07146159590151
68,36.765,986,1309,1148,180,207,5000,2560,5387.0,44.323087382658564,32.07146159590151
69,60.485,1092,1112,1095,324,322,5000,2514,5387.0,44.324192986055515,32.0714615959015
70,85.094,1186,1058,1042,390,363,5000,2438,5387.0,44.325298589452494,32.07146159590151
71,84.954,1314,1184,1168,354,375,5000,2310,5387.0,44.326404192849466,32.07146159590151
72,84.222,1386,1008,1079,238,301,5000,2129,5387.0,44.32750979624642,32.07146159590151
73,69.851,1546,942,958,55,406,5000,2008,5387.0,44.328615399643375,32.07146159590151
74,61.933,1652,883,843,114,521,5000,1898,5387.0,44.32972100304035,32.07146159590151
75,81.344,1850,1036,654,266,717,5000,1708,5387.0,44.33082660643733,32.07146159590151
76,71.124,1897,1038,656,168,755,5000,1710,5387.0,44.33193220983429,32.0714615959015
77,68.961,2019,1118,644,24,878,5000,1790,5387.0,44.33303781323125,32.07146159590151
78,103.564,2104,1163,546,73,963,5000,1862,5387.0,44.334143416628216,32.0714615959015
79,82.6,2138,1090,473,54,996,5000,1811,5387.0,44.33524902002518,32.07146159590151
80,97.303,2327,916,299,49,1113,5000,1637,5387.0,44.336354623422146,32.07146159590151
81,75.502,2404,992,376,26,1189,5000,1714,5387.0,44.337460226819104,32.07146159590151
82,42.346,2504,1037,394,109,1290,5000,1758,5387.0,44.33856583021606,32.07146159590151
83,60.956,2719,822,179,74,1462,5000,1544,5387.0,44.33967143361305,32.07146159590151
84,99.134,2743,798,155,98,1443,5000,1519,5387.0,44.340777037010014,32.07146159590151
85,93.03,2934,944,301,288,1590,5000,1666,5387.0,44.34188264040697,32.07146159590151
86,31.742,3076,929,289,423,1575,5000,1651,5387.0,44.34298824380393,32.07146159590151
87,59.152,696,2047,1549,1418,1138,5000,2312,5387.0,44.312877135456915,32.07060025335441
