,POP_2015,community_space,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,75.007,843,1035,704,603,4410,2548,5564.0,42.79035602172808,9.372258210084183
1,131.62,741,933,602,500,4308,2446,5564.0,42.79029416476137,9.371445269945648
2,93.867,741,933,602,500,4308,2446,5564.0,42.791300249525946,9.371445269945648
3,108.495,1629,1141,1628,1409,3668,2613,5564.0,42.80337326670091,9.371445269945648
4,58.579,1629,1141,1628,1409,3668,2613,5564.0,42.80437935146549,9.371445269945646
5,159.643,653,1628,1445,1344,4909,3036,5564.0,42.78318973023779,9.370632330535589
6,90.201,653,1628,1445,1344,4909,3036,5564.0,42.784195813548116,9.370632330535583
7,27.657,1629,1141,1628,1409,3668,2613,5564.0,42.80331139644442,9.370632330535587
8,104.663,1629,1141,1628,1409,3668,2613,5564.0,42.804317479754765,9.370632330535587
9,53.381,839,1814,1689,1588,4963,3089,5564.0,42.7811157309683,9.369819391853937
10,149.114,760,1735,1586,1484,4883,3010,5564.0,42.78212181282451,9.36981939185394
11,156.511,760,1735,1586,1484,4883,3010,5564.0,42.78312789468074,9.369819391853937
12,123.656,598,1573,1469,1399,4854,2981,5564.0,42.78413397653695,9.36981939185394
13,128.821,184,1238,1054,1156,4575,2702,5564.0,42.787152222105604,9.36981939185394
14,125.655,780,630,408,306,4003,2189,5564.0,42.79520087695534,9.369819391853941
15,106.496,876,566,504,402,3946,2285,5564.0,42.796206958811545,9.369819391853937
16,135.219,1233,2208,2083,1711,5000,3483,5564.0,42.77904174312916,9.36900645390064
17,145.482,855,1830,1725,1675,4978,3105,5564.0,42.781053903933625,9.36900645390064
18,96.766,812,1787,1672,1613,4935,3062,5564.0,42.78205998433585,9.36900645390064
19,151.413,705,1680,1576,1539,4829,2955,5564.0,42.783066064738094,9.36900645390064
20,128.988,184,1238,1054,1156,4575,2702,5564.0,42.787090386347025,9.369006453900639
21,114.06,325,904,634,735,4266,2392,5564.0,42.78809646674925,9.369006453900642
22,147.114,325,904,634,735,4266,2392,5564.0,42.78910254715149,9.36900645390064
23,138.717,713,575,244,142,3950,2088,5564.0,42.79413294916265,9.36900645390064
24,128.588,727,644,355,254,3999,2137,5564.0,42.79513902956488,9.36900645390064
25,107.162,853,589,481,379,3968,2262,5564.0,42.796145109967114,9.36900645390064
26,138.118,876,566,504,402,3946,2285,5564.0,42.79715119036935,9.369006453900639
27,169.54,1201,2175,2051,1678,5000,3450,5564.0,42.77897992461626,9.368193516675623
28,142.15,1029,1966,1899,1541,5000,3238,5564.0,42.77998600356463,9.36819351667562
29,123.456,947,1922,1817,1621,5000,3197,5564.0,42.78099208251302,9.368193516675623
30,166.341,778,1753,1648,1590,4901,3028,5564.0,42.7819981614614,9.368193516675625
31,152.946,413,1388,1283,1385,4536,2663,5564.0,42.78401031935817,9.368193516675625
