,POP_2015,health_wellbeing,ID_HDC_G0,lng,lat
0,152.461,239,8671.0,80.8464329763466,16.793830129917954
1,160.173,239,8671.0,80.8462164340974,16.793007769963676
2,108.942,0,8671.0,80.84680837893497,16.791363054133377
3,56.118,0,8671.0,80.84885836425053,16.791363054133377
4,88.305,0,8671.0,80.84988335690831,16.791363054133377
5,112.056,60,8671.0,80.8509083495661,16.79136305413338
6,143.229,60,8671.0,80.85193334222387,16.791363054133377
7,75.199,0,8671.0,80.85069183026985,16.790540698257214
8,94.388,0,8671.0,80.85171682018269,16.790540698257214
9,110.789,0,8671.0,80.8428674739839,16.788073638783786
10,123.026,57,8671.0,80.84389245566284,16.788073638783786
11,114.807,0,8671.0,80.84696740069973,16.788073638783782
12,130.231,0,8671.0,80.84901736405766,16.788073638783782
13,153.439,57,8671.0,80.84265102280061,16.787251288344066
14,96.125,57,8671.0,80.84367600173526,16.787251288344066
15,163.105,107,8671.0,80.8467509385392,16.787251288344066
16,114.011,0,8671.0,80.84880089640846,16.787251288344066
17,139.934,0,8671.0,80.84982587534313,16.787251288344066
18,129.615,0,8671.0,80.85085085427777,16.78725128834407
19,156.806,107,8671.0,80.8465344886032,16.78642893926329
20,134.032,0,8671.0,80.84858444098417,16.786428939263285
21,159.847,123,8671.0,80.84960941717463,16.786428939263285
22,155.068,123,8671.0,80.85063439336511,16.786428939263285
23,200.94,140,8671.0,80.84939297123088,16.785606591541356
24,153.909,157,8671.0,80.85041794467735,16.785606591541352
25,125.343,470,8671.0,80.84302671329583,16.784784245178198
26,141.02,429,8671.0,80.84405168399844,16.7847842451782
27,142.867,479,8671.0,80.84076037234503,16.783961900173747
28,158.797,479,8671.0,80.84178534030394,16.783961900173743
29,98.225,470,8671.0,80.84281030826287,16.783961900173747
30,134.105,411,8671.0,80.8438352762218,16.783961900173747
31,130.991,392,8671.0,80.84486024418072,16.783961900173743
32,160.281,20,8671.0,80.84588521213965,16.783961900173747
33,177.334,41,8671.0,80.84691018009858,16.783961900173747
34,167.233,0,8671.0,80.84896011601643,16.783961900173747
35,147.428,71,8671.0,80.84998508397534,16.783961900173747
36,115.459,426,8671.0,80.85101005193425,16.783961900173747
37,149.094,426,8671.0,80.85203501989321,16.783961900173747
38,90.188,479,8671.0,80.84054398502214,16.783139556527924
39,134.431,479,8671.0,80.8415689502375,16.783139556527924
40,135.626,320,8671.0,80.8425939154529,16.783139556527924
41,122.519,264,8671.0,80.84361888066825,16.783139556527924
42,144.098,106,8671.0,80.84464384588364,16.783139556527924
43,130.122,42,8671.0,80.84566881109902,16.783139556527924
44,113.975,0,8671.0,80.84669377631441,16.78313955652792
45,125.452,50,8671.0,80.84771874152979,16.783139556527924
46,161.512,111,8671.0,80.84874370674518,16.783139556527924
47,178.963,132,8671.0,80.84976867196056,16.783139556527924
48,108.363,320,8671.0,80.84237753486559,16.782317214240653
49,148.116,220,8671.0,80.84340249733758,16.782317214240653
50,120.202,99,8671.0,80.84442745980957,16.782317214240656
51,185.698,0,8671.0,80.84545242228157,16.782317214240656
52,99.601,0,8671.0,80.84647738475356,16.782317214240656
53,106.19,25,8671.0,80.84750234722557,16.782317214240656
54,121.143,132,8671.0,80.84852730969756,16.782317214240653
55,140.658,198,8671.0,80.84955227216956,16.782317214240656
56,159.159,364,8671.0,80.85057723464153,16.782317214240653
57,132.657,364,8671.0,80.85160219711354,16.782317214240656
58,81.897,498,8671.0,80.85262715958554,16.782317214240653
59,144.967,0,8671.0,80.845236045687,16.781494873311868
60,114.735,0,8671.0,80.84626100541574,16.781494873311868
61,85.3,198,8671.0,80.84933588460204,16.781494873311864
62,81.426,356,8671.0,80.8503608443308,16.781494873311868
63,139.318,445,8671.0,80.85138580405956,16.781494873311864
64,102.063,498,8671.0,80.85241076378834,16.781494873311868
65,97.718,356,8671.0,80.85014446624344,16.78067253374148
66,104.525,452,8671.0,80.85116942322912,16.78067253374148
67,128.855,509,8671.0,80.85219438021481,16.780672533741477
68,122.954,509,8671.0,80.85197800886469,16.779850195529423
