,POP_2015,active_living,community_space,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,19.553,4845,4373,1815,826,6824.0,76.28375459953588,29.335312508814187
1,31.905,4845,4373,1815,826,6824.0,76.28335833312791,29.334460353020837
2,25.056,4188,3716,1157,640,6824.0,76.28987591078844,29.334460353020837
3,11.855,4136,3665,1106,632,6824.0,76.29204843667526,29.334460353020837
4,152.502,3757,3286,487,1438,6824.0,76.29965227727921,29.334460353020837
5,164.913,3757,3286,487,1438,6824.0,76.30073854022261,29.33446035302084
6,154.259,3832,3361,376,1513,6824.0,76.30182480316604,29.33446035302084
7,138.686,3828,3356,277,1612,6824.0,76.30291106610946,29.334460353020834
8,106.927,3671,3205,230,2006,6824.0,76.30616985493972,29.33446035302084
9,27.808,2890,2425,1152,2587,6824.0,76.31160116965683,29.33446035302084
10,23.856,2890,2425,1152,2587,6824.0,76.31268743260023,29.334460353020837
11,8.84,4322,3851,1292,497,6824.0,76.28839337051215,29.333608199923294
12,57.401,4188,3716,1157,640,6824.0,76.28947962781302,29.333608199923294
13,112.138,4150,3678,1119,645,6824.0,76.29056588511392,29.333608199923294
14,21.514,4069,3597,1038,564,6824.0,76.2916521424148,29.333608199923287
15,8.225,4048,3576,1017,543,6824.0,76.2927383997157,29.33360819992329
16,4.508,3887,3415,1028,638,6824.0,76.2949109143175,29.33360819992329
17,89.218,3770,3298,870,1435,6824.0,76.2970834289193,29.333608199923287
18,104.439,3727,3255,827,1392,6824.0,76.29816968622018,29.33360819992329
19,115.562,3757,3286,487,1438,6824.0,76.29925594352109,29.33360819992329
20,166.582,3737,3265,467,1418,6824.0,76.30034220082197,29.333608199923294
21,121.885,3811,3340,355,1492,6824.0,76.30142845812288,29.333608199923294
22,170.563,3799,3327,247,1584,6824.0,76.30251471542378,29.333608199923287
23,176.768,3764,3299,66,1745,6824.0,76.30360097272468,29.333608199923294
24,132.51,3788,3322,26,1811,6824.0,76.30468723002556,29.33360819992329
25,114.04,3503,3038,398,1934,6824.0,76.30577348732645,29.333608199923294
26,111.172,3365,2900,536,2072,6824.0,76.30685974462737,29.333608199923294
27,16.889,3325,2859,576,2040,6824.0,76.30794600192824,29.33360819992329
28,0.0,2890,2425,1152,2587,6824.0,76.31120477383094,29.333608199923294
29,55.264,2890,2425,1152,2587,6824.0,76.31229103113183,29.33360819992329
30,74.817,2670,2205,1525,2975,6824.0,76.31446354573363,29.333608199923294
31,27.281,4322,3851,1292,497,6824.0,76.28799711046754,29.332756049521425
