,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,ID_HDC_G0,lng,lat
0,31.69,3796,3400,2783,563,2830,11888.0,108.00832509142997,14.3759232063096
1,72.215,3796,3400,2783,563,2830,11888.0,108.0093426603352,14.375923206309604
2,42.065,3796,3400,2783,563,2830,11888.0,108.00808066663333,14.375104534727711
3,64.102,3796,3400,2783,563,2830,11888.0,108.00909823323579,14.37510453472771
4,39.491,3640,3244,2496,516,2543,11888.0,108.00759186343853,14.37346719500004
5,43.411,3640,3244,2496,516,2543,11888.0,108.00860942543585,14.373467195000043
6,51.485,3640,3244,2496,516,2543,11888.0,108.00734748503972,14.372648526854134
7,65.292,3640,3244,2496,516,2543,11888.0,108.0083650447347,14.37264852685413
8,23.168,3604,3199,2197,480,2244,11888.0,108.00506800732065,14.371829859853406
9,46.024,3604,3199,2197,480,2244,11888.0,108.00608556471344,14.371829859853404
10,82.746,3534,3138,2441,410,2489,11888.0,108.00710312210624,14.371829859853408
11,52.44,3534,3138,2441,410,2489,11888.0,108.00812067949902,14.371829859853406
12,25.703,4164,3650,2329,1486,2240,11888.0,107.99057789318586,14.371011193997797
13,62.835,4140,3626,2306,1556,2310,11888.0,107.99159544827661,14.371011193997797
14,29.194,4039,3525,2240,1566,2288,11888.0,107.99464811354883,14.371011193997795
15,66.969,4039,3525,2240,1566,2288,11888.0,107.99566566863959,14.371011193997797
16,113.618,3945,3432,2146,1559,2194,11888.0,107.99668322373034,14.371011193997797
17,72.508,3841,3327,2042,1412,2090,11888.0,107.99770077882108,14.371011193997793
18,103.106,3898,3384,2099,1353,2147,11888.0,107.99871833391181,14.371011193997797
19,48.267,3585,3071,2069,623,2116,11888.0,108.00380610936556,14.371011193997793
20,77.617,3581,3067,2065,619,2113,11888.0,108.0048236644563,14.371011193997795
21,82.181,3568,3168,2201,444,2249,11888.0,108.00584121954704,14.371011193997797
22,80.874,3477,3081,2382,353,2429,11888.0,108.00685877463778,14.371011193997793
23,52.343,3477,3081,2382,353,2429,11888.0,108.00787632972852,14.371011193997797
24,0.0,5000,4612,3441,1728,3068,11888.0,107.98321072849069,14.370192529287232
25,35.825,4245,3731,2465,1433,2187,11888.0,107.99033359801261,14.370192529287232
26,75.141,4191,3677,2397,1379,2133,11888.0,107.99135115080142,14.37019252928723
27,53.123,3952,3438,2118,1384,2138,11888.0,107.99338625637911,14.370192529287229
28,15.504,3944,3430,2109,1376,2130,11888.0,107.99440380916795,14.370192529287232
29,71.026,3990,3476,2156,1422,2176,11888.0,107.99542136195682,14.37019252928723
30,86.023,3884,3370,2084,1497,2132,11888.0,107.99643891474565,14.370192529287229
31,76.701,3822,3308,2023,1428,2070,11888.0,107.9974564675345,14.370192529287232
32,71.104,3831,3317,2032,1420,2080,11888.0,107.99847402032336,14.370192529287229
33,68.178,3813,3299,2014,1148,2061,11888.0,107.99949157311218,14.37019252928723
34,101.682,3759,3245,1960,1054,2008,11888.0,108.00050912590102,14.370192529287229
35,77.812,3721,3207,1922,959,1970,11888.0,108.00152667868987,14.37019252928723
36,20.984,3700,3186,1901,796,1948,11888.0,108.00254423147872,14.37019252928723
37,85.223,3700,3186,1901,796,1948,11888.0,108.00356178426757,14.370192529287232
38,98.211,3510,2996,2063,551,2111,11888.0,108.00457933705641,14.37019252928723
39,81.381,3459,3033,2211,393,2259,11888.0,108.00559688984525,14.370192529287229
40,48.501,3458,3062,2268,337,2316,11888.0,108.00661444263409,14.370192529287227
41,77.91,3318,2921,2410,194,2458,11888.0,108.00763199542293,14.370192529287227
42,108.196,3233,2837,2604,0,2652,11888.0,108.00864954821175,14.370192529287227
43,96.554,3187,2791,2660,77,2679,11888.0,108.00966710100062,14.370192529287229
44,67.028,3152,2756,2625,170,2644,11888.0,108.01068465378947,14.370192529287229
45,4.232,3218,2937,2613,644,2824,11888.0,108.01170220657832,14.370192529287229
46,0.117,3161,2880,2557,588,2768,11888.0,108.01271975936716,14.370192529287227
47,0.195,4665,4151,2980,1953,2607,11888.0,107.98601911635308,14.369373865721638
48,15.796,4665,4151,2980,1953,2607,11888.0,107.98703666684018,14.369373865721638
49,1.229,4245,3731,2465,1433,2187,11888.0,107.99008931830141,14.369373865721634
50,16.772,4146,3632,2366,1334,2088,11888.0,107.99110686878849,14.369373865721638
51,103.067,3944,3430,2109,1376,2130,11888.0,107.9931419697627,14.369373865721638
52,86.12,3839,3324,2004,1271,2025,11888.0,107.99415952024978,14.369373865721638
53,80.386,3935,3420,2100,1367,2121,11888.0,107.99517707073686,14.369373865721638
54,71.494,4009,3495,2192,1468,2222,11888.0,107.99619462122396,14.369373865721638
55,78.612,3767,3253,1968,1381,2015,11888.0,107.99721217171104,14.369373865721634
