,POP_2015,active_living,community_space,education,food_choices,mobility,nightlife,ID_HDC_G0,lng,lat
176,103.586,563,416,205,572,1384,563,11825.0,110.24441772307044,21.380220029811003
177,61.393,276,134,239,606,1104,276,11825.0,110.24546045519268,21.380220029811
178,91.994,227,85,288,604,1058,227,11825.0,110.24650318731493,21.380220029811
179,132.044,0,475,454,194,1059,181,11825.0,110.24754591943719,21.380220029811003
180,92.268,383,774,103,420,1358,481,11825.0,110.25067411580393,21.380220029811
181,109.821,627,577,347,600,1187,725,11825.0,110.25275958004845,21.380220029811
182,111.167,627,577,347,600,1187,725,11825.0,110.25380231217068,21.380220029811
183,99.108,887,740,234,860,927,985,11825.0,110.25484504429296,21.380220029811
184,108.805,925,758,269,898,889,1023,11825.0,110.2558877764152,21.380220029811003
185,99.795,956,758,314,944,844,1068,11825.0,110.25693050853744,21.380220029811
186,45.736,796,936,397,1131,684,1210,11825.0,110.2579732406597,21.380220029811003
187,66.103,796,989,450,1183,684,1262,11825.0,110.25901597278195,21.380220029811
188,60.529,543,1158,623,1356,432,1435,11825.0,110.2600587049042,21.380220029810996
189,99.795,538,1164,629,1362,426,1441,11825.0,110.26110143702647,21.380220029811003
190,96.856,441,1182,1010,1733,200,1823,11825.0,110.26214416914871,21.380220029811003
191,73.342,369,1198,1055,1766,0,1868,11825.0,110.26318690127096,21.380220029811
192,99.136,416,211,0,524,1179,504,11825.0,110.24298729129684,21.379388936261325
193,115.48,416,211,0,524,1179,504,11825.0,110.24403001975205,21.37938893626132
194,113.035,276,134,239,606,1104,276,11825.0,110.24507274820726,21.379388936261325
195,107.459,227,85,288,604,1058,227,11825.0,110.24611547666245,21.37938893626132
196,123.583,0,293,377,376,877,0,11825.0,110.24715820511767,21.379388936261325
197,84.687,0,293,377,376,877,0,11825.0,110.24820093357289,21.37938893626132
198,133.252,377,671,0,524,1254,377,11825.0,110.25028639048331,21.379388936261325
199,61.888,796,989,450,1183,684,1262,11825.0,110.25758548966976,21.379388936261325
200,22.276,796,989,450,1183,684,1262,11825.0,110.25862821812498,21.379388936261325
201,101.526,531,1388,1188,1922,200,2001,11825.0,110.26384186040103,21.379388936261325
202,107.019,412,1507,1307,2041,319,2120,11825.0,110.26488458885623,21.379388936261325
203,84.769,512,334,123,422,1056,600,11825.0,110.24259961053382,21.37855784450835
204,102.35,512,334,123,422,1056,600,11825.0,110.24364233532218,21.37855784450835
205,122.017,256,51,159,684,1020,345,11825.0,110.24468506011051,21.378557844508347
206,121.358,205,0,211,670,972,293,11825.0,110.24572778489888,21.37855784450835
207,102.954,0,205,383,465,788,88,11825.0,110.24677050968722,21.37855784450835
208,80.704,0,205,383,465,788,88,11825.0,110.24781323447557,21.378557844508354
209,92.763,249,543,128,626,1126,249,11825.0,110.24989868405225,21.37855784450835
210,87.654,249,543,128,626,1126,249,11825.0,110.25094140884063,21.378557844508354
211,111.881,503,797,248,836,1072,503,11825.0,110.25198413362897,21.37855784450835
212,83.286,527,789,272,812,1096,527,11825.0,110.2530268584173,21.378557844508354
213,74.716,812,975,0,1095,992,812,11825.0,110.25511230799401,21.37855784450835
214,82.902,878,960,65,1102,958,878,11825.0,110.25615503278235,21.37855784450835
215,67.546,924,960,112,1146,943,924,11825.0,110.25719775757068,21.37855784450835
216,33.86,831,1150,471,1345,719,1424,11825.0,110.25824048235904,21.378557844508354
217,65.294,797,1183,437,1378,686,1457,11825.0,110.2592832071474,21.37855784450835
218,61.083,537,1382,1182,1916,207,1995,11825.0,110.26345410630077,21.37855784450835
219,122.924,554,716,551,418,1042,643,11825.0,110.24325466978028,21.377726754551993
220,84.467,347,180,288,587,891,435,11825.0,110.24429739090195,21.377726754551997
221,89.137,317,316,338,636,833,405,11825.0,110.24534011202363,21.377726754551997
222,86.775,222,205,362,687,766,310,11825.0,110.24638283314526,21.377726754552
223,47.384,98,303,297,563,701,186,11825.0,110.24742555426693,21.377726754552
224,80.704,529,812,248,836,1072,529,11825.0,110.25263915987527,21.377726754551997
225,116.908,812,975,0,1095,992,812,11825.0,110.25472460211861,21.377726754551997
226,112.596,812,975,0,1095,992,812,11825.0,110.25576732324028,21.377726754551997
227,95.922,924,960,112,1146,943,924,11825.0,110.25681004436194,21.377726754552
228,54.471,797,1183,437,1378,686,1457,11825.0,110.25889548660527,21.377726754551993
229,153.25,650,811,426,553,1138,738,11825.0,110.24286702312578,21.376895666392183
230,113.282,419,580,232,737,907,507,11825.0,110.24495245803611,21.37689566639219
231,111.332,196,357,279,662,684,285,11825.0,110.2459951754913,21.376895666392183
232,73.452,153,323,245,618,650,241,11825.0,110.24703789294648,21.376895666392183
233,63.646,321,504,62,786,467,409,11825.0,110.24808061040163,21.376895666392183
234,113.282,346,530,37,811,442,434,11825.0,110.2491233278568,21.37689566639219
235,103.448,371,555,12,836,417,459,11825.0,110.25016604531193,21.37689566639219
236,127.099,723,884,345,633,1211,812,11825.0,110.24247939535825,21.376064580028828
237,132.511,732,894,329,649,1220,821,11825.0,110.24352210914707,21.376064580028824
238,106.772,450,611,197,772,938,538,11825.0,110.24456482293593,21.37606458002883
239,124.242,320,481,300,786,808,409,11825.0,110.24560753672476,21.376064580028824
240,112.046,293,455,326,759,781,382,11825.0,110.2466502505136,21.376064580028828
241,84.852,383,567,0,849,404,472,11825.0,110.24873567809126,21.376064580028828
242,105.371,383,567,0,849,404,472,11825.0,110.24977839188011,21.37606458002883
243,121.056,752,1003,0,1085,824,752,11825.0,110.25186381945775,21.376064580028828
244,86.115,752,1003,0,1085,824,752,11825.0,110.2529065332466,21.376064580028824
245,124.187,986,1238,0,1319,647,986,11825.0,110.25499196082427,21.37606458002882
246,126.385,1106,1289,100,1409,678,1106,11825.0,110.25603467461312,21.376064580028828
247,58.07,1172,1280,63,1467,642,1245,11825.0,110.25707738840192,21.37606458002882
248,103.448,1107,1807,1074,1598,2134,1734,11825.0,110.23896365610898,21.37523349546184
249,97.57,1107,1807,1074,1598,2134,1734,11825.0,110.24000636623167,21.375233495461842
250,99.438,867,1028,295,819,1355,955,11825.0,110.24209178647702,21.375233495461835
251,50.928,867,1028,295,819,1355,955,11825.0,110.24313449659971,21.375233495461842
252,94.356,553,714,79,891,1041,641,11825.0,110.24417720672241,21.375233495461842
253,124.27,582,744,38,932,1070,671,11825.0,110.24521991684512,21.37523349546184
254,113.117,494,655,126,959,982,583,11825.0,110.2462626269678,21.375233495461842
255,97.021,724,907,95,1181,728,812,11825.0,110.25147617758125,21.37523349546184
256,76.941,724,907,95,1181,728,812,11825.0,110.25251888770391,21.37523349546184
257,94.823,788,972,404,1254,0,877,11825.0,110.25356159782663,21.37523349546184
258,112.953,986,1238,0,1319,647,986,11825.0,110.25460430794931,21.375233495461842
259,99.493,1125,1286,80,1406,658,1125,11825.0,110.25564701807201,21.375233495461842
260,112.596,1180,1310,42,1465,620,1225,11825.0,110.2566897281947,21.375233495461842
261,116.524,1175,1299,82,1485,641,1264,11825.0,110.2577324383174,21.37523349546184
262,114.518,867,1028,295,819,1355,955,11825.0,110.24170419648165,21.37440241269114
263,81.061,867,1028,295,819,1355,955,11825.0,110.24274690293839,21.37440241269114
264,99.191,620,782,0,970,1108,709,11825.0,110.2437896093951,21.374402412691136
265,97.9,603,764,89,959,1091,691,11825.0,110.24483231585182,21.37440241269114
266,99.108,494,655,126,959,982,583,11825.0,110.24587502230852,21.374402412691136
267,86.61,696,880,312,1162,639,785,11825.0,110.24691772876525,21.37440241269114
268,109.354,696,880,312,1162,639,785,11825.0,110.24796043522198,21.374402412691143
269,110.371,788,972,404,1254,0,877,11825.0,110.25213126104887,21.374402412691136
270,93.505,788,972,404,1254,0,877,11825.0,110.25317396750559,21.374402412691143
271,122.072,1206,1343,0,1463,578,1206,11825.0,110.25630208687573,21.374402412691136
272,128.006,918,1618,885,1409,1945,1545,11825.0,110.23923121978969,21.373571331716644
273,105.344,660,821,89,1024,1148,749,11825.0,110.2434020309534,21.373571331716644
274,127.099,587,749,161,1053,1075,676,11825.0,110.24444473374434,21.373571331716647
275,88.258,587,749,161,1053,1075,676,11825.0,110.24548743653527,21.373571331716644
276,104.108,696,880,312,1162,639,785,11825.0,110.24653013932623,21.373571331716647
277,91.005,696,880,312,1162,639,785,11825.0,110.24757284211712,21.373571331716647
278,97.515,1081,1265,249,1538,371,1169,11825.0,110.25487176165363,21.373571331716644
279,101.059,1118,1302,221,1575,356,1206,11825.0,110.25591446444459,21.373571331716644
280,124.435,918,1618,885,1409,1945,1545,11825.0,110.23884367489553,21.372740252538264
281,111.167,830,1530,797,1321,1856,1457,11825.0,110.23988637402086,21.37274025253826
282,128.088,599,1299,566,1090,1625,1226,11825.0,110.2419717722715,21.37274025253826
283,87.132,1005,1188,450,1470,331,1093,11825.0,110.25031336527407,21.372740252538264
284,100.207,1142,1326,292,1608,354,1231,11825.0,110.25448416177535,21.372740252538264
285,100.262,1133,1317,259,1590,354,1222,11825.0,110.25552686090067,21.372740252538264
286,71.804,754,1608,754,1399,1934,1535,11825.0,110.23949884434512,21.37190917515593
287,111.167,561,1337,544,1129,1664,1265,11825.0,110.2415842352649,21.37190917515593
288,114.766,801,1097,364,1292,1424,1024,11825.0,110.24366962618467,21.371909175155928
289,20.3,420,1478,420,1269,1804,1405,11825.0,110.24119671714212,21.37107809956954
290,16.454,420,1478,420,1269,1804,1405,11825.0,110.24223940893674,21.371078099569537
291,74.963,728,1214,482,1373,1541,1142,11825.0,110.24328210073138,21.37107809956954
292,84.879,728,1214,482,1373,1541,1142,11825.0,110.244324792526,21.37107809956954
293,89.659,1455,1639,0,1913,667,1544,11825.0,110.25370901867772,21.371078099569537
294,138.087,1455,1639,0,1913,667,1544,11825.0,110.25475171047236,21.37107809956954
295,79.578,420,1478,420,1269,1804,1405,11825.0,110.24080921790262,21.370247025779022
296,69.057,420,1478,420,1269,1804,1405,11825.0,110.2418519060322,21.370247025779022
297,2.664,728,1214,482,1373,1541,1142,11825.0,110.24289459416175,21.370247025779022
298,98.476,728,1214,482,1373,1541,1142,11825.0,110.2439372822913,21.370247025779022
299,74.139,1455,1639,0,1913,667,1544,11825.0,110.25332147545733,21.370247025779026
300,128.143,1455,1639,0,1913,667,1544,11825.0,110.25436416358689,21.370247025779022
301,52.571,1455,1639,0,1920,781,1543,11825.0,110.24980589772787,21.36941595378429
302,107.431,2017,2200,1142,2474,1239,2105,11825.0,110.26231811130381,21.369415953784287
303,54.087,2017,2200,1142,2474,1239,2105,11825.0,110.2633607957685,21.36941595378429
304,94.081,1455,1639,0,1920,781,1543,11825.0,110.24941840327094,21.36858488358526
305,44.939,2017,2200,1142,2474,1239,2105,11825.0,110.26193057287027,21.36858488358526
306,50.873,2017,2200,1142,2474,1239,2105,11825.0,110.2629732536702,21.36858488358526
307,45.132,0,1898,0,1690,2225,1826,11825.0,110.23860415634317,21.367753815181853
308,66.887,0,1898,0,1690,2225,1826,11825.0,110.23964683347859,21.36775381518185
309,108.805,1700,1884,244,2165,1015,1788,11825.0,110.25111628196804,21.367753815181853
310,68.37,1700,1884,244,2165,1015,1788,11825.0,110.25215895910343,21.367753815181846
311,24.64,0,1898,0,1690,2225,1826,11825.0,110.23821673629587,21.366922748573973
312,34.886,0,1898,0,1690,2225,1826,11825.0,110.23925940976687,21.366922748573973
313,104.52,1417,2001,361,2282,1143,1905,11825.0,110.24929870300441,21.36609168376155
314,105.618,1300,2096,496,2316,1277,2012,11825.0,110.24786861427049,21.365260620744493
315,64.195,1421,2005,366,2287,1148,1910,11825.0,110.24891128041334,21.365260620744497
316,5.576,1091,2161,687,2186,1469,2089,11825.0,110.2464385517455,21.364429559522723
317,1.044,1240,2012,538,2170,1320,1939,11825.0,110.24748121422455,21.364429559522726
318,55.899,1315,2136,497,2418,1279,2041,11825.0,110.24852387670357,21.36442955952272
319,25.903,1092,2260,567,2391,1485,2175,11825.0,110.2460511742438,21.363598500096145
320,28.376,1116,2336,425,2618,1479,2241,11825.0,110.24709383305921,21.363598500096142
321,40.05,437,3015,123,2234,2158,2919,11825.0,110.24006321843626,21.36193638662827
322,37.275,470,2981,90,2267,2124,2886,11825.0,110.24110586992492,21.361936386628265
323,55.954,561,2891,0,2358,2034,2796,11825.0,110.24214852141355,21.36193638662827
324,80.237,690,2761,0,2488,1904,2666,11825.0,110.24319117290217,21.361936386628265
325,72.793,5,2695,5,1812,2566,2622,11825.0,110.23654797241157,21.361105332586792
326,96.361,437,3015,123,2234,2158,2919,11825.0,110.23967591588811,21.361105332586792
327,111.689,437,3015,123,2234,2158,2919,11825.0,110.24071856371364,21.361105332586792
328,101.306,561,2891,0,2358,2034,2796,11825.0,110.24176121153917,21.361105332586792
329,121.331,10,2700,0,1807,2571,2627,11825.0,110.23616069972954,21.36027428034018
330,123.226,626,3185,311,2423,2328,3090,11825.0,110.24033127637989,21.36027428034018
331,125.149,655,3156,282,2453,2299,3061,11825.0,110.24137392054247,21.36027428034018
