,POP_2015,active_living,community_space,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
92,136.159,311,357,359,926,2583,9494.0,87.03647877427225,23.248208831568387
93,161.107,372,234,589,919,2460,9494.0,87.0375301870902,23.24820883156839
94,177.226,537,399,754,1084,2625,9494.0,87.0385815999081,23.248208831568387
95,172.351,537,399,754,1084,2625,9494.0,87.03963301272603,23.248208831568387
96,175.206,786,531,394,763,2174,9494.0,87.04068442554397,23.248208831568387
97,185.791,721,465,304,674,2085,9494.0,87.04173583836189,23.24820883156839
98,43.176,1112,545,818,545,1956,9494.0,87.04278725117982,23.248208831568387
99,59.119,999,433,705,433,1844,9494.0,87.04383866399773,23.24820883156839
100,202.657,1027,461,734,461,1872,9494.0,87.04489007681568,23.248208831568387
101,175.996,1220,654,927,654,2065,9494.0,87.04594148963359,23.248208831568387
102,100.758,1143,577,849,577,1988,9494.0,87.04699290245152,23.248208831568387
103,28.857,1333,767,1039,767,2091,9494.0,87.04804431526942,23.248208831568387
104,5.842,1158,508,679,508,1558,9494.0,87.0501471409053,23.248208831568387
105,74.624,1209,558,730,558,1609,9494.0,87.05119855372321,23.248208831568387
106,8.082,1323,673,664,673,1500,9494.0,87.05224996654114,23.248208831568387
107,131.811,1340,884,803,884,1527,9494.0,87.05330137935906,23.248208831568387
108,49.676,1145,1092,951,1092,1418,9494.0,87.05435279217699,23.248208831568387
109,66.85,1084,1143,1054,1143,1474,9494.0,87.05540420499491,23.24820883156839
110,110.64,1009,1174,1110,1174,1477,9494.0,87.05645561781283,23.248208831568387
111,104.886,818,1263,1177,1263,1389,9494.0,87.05750703063076,23.24820883156839
112,83.584,722,1384,1059,1384,1268,9494.0,87.05855844344869,23.24820883156839
113,2.372,634,1448,1131,1448,1341,9494.0,87.0596098562666,23.24820883156839
114,103.086,613,1598,1182,1598,1422,9494.0,87.06066126908453,23.248208831568387
115,5.095,475,1701,1143,1701,1484,9494.0,87.06171268190248,23.248208831568387
116,97.859,554,1725,1222,2295,1649,9494.0,87.06276409472041,23.248208831568387
117,196.816,484,1654,1152,2224,1578,9494.0,87.06381550753831,23.248208831568387
118,206.522,426,1597,1094,2167,1520,9494.0,87.06486692035625,23.24820883156839
119,240.518,523,1672,1191,2263,1617,9494.0,87.06591833317417,23.24820883156839
120,243.988,585,1601,1138,2325,1679,9494.0,87.06696974599211,23.248208831568387
121,211.354,395,649,394,1011,2948,9494.0,87.03193530391958,23.247373495702014
122,204.502,467,702,322,1082,2983,9494.0,87.03298671265641,23.247373495702018
123,86.0,228,420,423,843,2676,9494.0,87.03508953013007,23.247373495702014
124,110.904,168,368,449,783,2668,9494.0,87.0361409388669,23.247373495702018
125,74.097,264,151,506,810,2377,9494.0,87.03719234760372,23.247373495702014
126,104.886,277,138,494,823,2365,9494.0,87.03824375634055,23.247373495702018
127,118.37,511,102,457,917,2328,9494.0,87.03929516507738,23.247373495702014
128,121.84,585,252,393,854,2264,9494.0,87.04034657381422,23.247373495702018
129,136.686,633,377,304,703,2114,9494.0,87.04139798255105,23.247373495702018
130,95.399,663,497,214,584,1994,9494.0,87.04244939128786,23.247373495702014
131,55.606,589,496,140,510,1921,9494.0,87.04350080002467,23.247373495702014
132,122.894,872,306,578,306,1717,9494.0,87.0445522087615,23.247373495702018
133,115.735,872,306,578,306,1717,9494.0,87.04560361749833,23.247373495702018
134,72.428,1129,563,835,563,1974,9494.0,87.04665502623517,23.247373495702014
135,23.279,1025,374,628,374,1580,9494.0,87.04875784370883,23.247373495702018
136,69.178,1025,374,628,374,1580,9494.0,87.04980925244564,23.247373495702014
137,94.565,1222,572,615,572,1494,9494.0,87.05086066118247,23.247373495702014
138,122.675,1297,646,637,646,1448,9494.0,87.05191206991931,23.247373495702018
139,139.19,1428,816,723,816,1446,9494.0,87.05296347865611,23.247373495702018
140,88.24,1150,1076,935,1076,1402,9494.0,87.05401488739295,23.247373495702018
141,151.005,1062,1137,996,1137,1412,9494.0,87.05506629612978,23.247373495702014
142,146.832,1021,1140,961,1140,1352,9494.0,87.05611770486661,23.247373495702018
143,162.161,757,1352,1086,1352,1304,9494.0,87.05716911360344,23.247373495702014
144,135.149,664,1449,994,1449,1204,9494.0,87.05822052234026,23.247373495702018
145,82.75,571,1517,1055,1523,1265,9494.0,87.05927193107708,23.247373495702014
146,113.89,491,1552,1029,1610,1268,9494.0,87.06032333981392,23.247373495702018
147,64.39,487,1713,1155,1713,1496,9494.0,87.06137474855076,23.247373495702018
148,131.986,476,1730,1145,1760,1543,9494.0,87.06242615728756,23.247373495702014
149,173.625,343,1597,1011,1893,1437,9494.0,87.0634775660244,23.247373495702018
150,226.683,288,1467,956,2028,1382,9494.0,87.06452897476123,23.247373495702014
151,198.748,393,1564,1062,2134,1488,9494.0,87.06558038349806,23.247373495702018
152,236.873,527,1492,1029,2274,1583,9494.0,87.06663179223489,23.247373495702014
153,159.306,513,767,545,1128,3066,9494.0,87.03159750065007,23.24653816182502
154,170.067,359,613,429,975,2913,9494.0,87.03264890530596,23.24653816182501
155,184.298,234,488,613,849,2787,9494.0,87.03370030996187,23.246538161825015
156,129.966,172,406,475,787,2705,9494.0,87.03475171461781,23.24653816182501
157,125.003,122,339,490,737,2638,9494.0,87.03580311927374,23.246538161825015
158,142.747,158,238,468,704,2440,9494.0,87.03685452392965,23.246538161825015
159,168.881,236,172,443,697,2317,9494.0,87.03790592858557,23.246538161825015
160,106.995,388,20,334,795,2205,9494.0,87.03895733324151,23.24653816182502
161,100.055,422,96,259,719,2130,9494.0,87.04000873789741,23.246538161825015
162,159.174,498,214,183,643,2054,9494.0,87.04106014255332,23.246538161825015
163,112.88,521,266,89,549,1960,9494.0,87.04211154720925,23.246538161825015
164,169.452,547,466,110,467,1878,9494.0,87.04316295186517,23.246538161825015
165,49.281,872,306,578,306,1717,9494.0,87.0442143565211,23.246538161825015
166,87.888,872,306,578,306,1717,9494.0,87.04526576117699,23.246538161825015
167,60.876,699,133,405,133,1544,9494.0,87.04631716583292,23.24653816182502
168,87.801,881,231,503,231,1621,9494.0,87.04736857048884,23.246538161825015
169,105.457,877,226,480,226,1505,9494.0,87.04841997514475,23.24653816182501
170,16.734,1025,374,628,374,1580,9494.0,87.04947137980069,23.24653816182502
171,88.767,1181,530,528,530,1432,9494.0,87.05052278445662,23.24653816182502
172,142.616,1326,675,629,675,1380,9494.0,87.05157418911251,23.24653816182502
173,70.715,1367,733,616,733,1322,9494.0,87.05262559376843,23.246538161825015
174,28.725,1282,845,708,845,1243,9494.0,87.05367699842435,23.246538161825015
175,124.564,1131,997,856,997,1311,9494.0,87.05472840308028,23.246538161825015
176,149.38,1041,1107,856,1107,1258,9494.0,87.05577980773619,23.246538161825015
177,8.741,923,1204,919,1204,1257,9494.0,87.0568312123921,23.246538161825015
178,7.028,674,1422,928,1499,1138,9494.0,87.05788261704804,23.246538161825015
179,232.085,674,1422,928,1499,1138,9494.0,87.05893402170393,23.246538161825015
180,161.37,552,1463,939,1602,1179,9494.0,87.05998542635986,23.24653816182502
181,202.262,372,1652,1008,1748,1368,9494.0,87.0610368310158,23.246538161825015
182,207.489,282,1650,951,1813,1377,9494.0,87.0620882356717,23.246538161825015
183,142.528,284,1588,952,1933,1378,9494.0,87.0631396403276,23.24653816182501
184,201.296,178,1463,846,2088,1272,9494.0,87.06419104498354,23.24653816182502
185,225.409,290,1403,907,2121,1384,9494.0,87.06524244963946,23.246538161825015
186,171.736,464,1404,941,2216,1495,9494.0,87.06629385429537,23.24653816182502
187,63.863,535,1431,969,2287,1547,9494.0,87.0673452589513,23.246538161825015
188,207.84,765,1372,909,2517,1777,9494.0,87.06839666360722,23.24653816182502
189,195.366,852,1384,921,2604,1863,9494.0,87.06944806826311,23.24653816182501
190,235.906,890,1395,932,2642,1902,9494.0,87.07049947291905,23.24653816182502
191,166.773,488,742,520,1103,3041,9494.0,87.03125971319146,23.2457028299373
192,213.243,360,614,502,976,2913,9494.0,87.03231111376667,23.245702829937304
193,60.744,322,576,560,937,2875,9494.0,87.03336251434187,23.2457028299373
194,17.745,234,488,613,849,2787,9494.0,87.03441391491705,23.245702829937304
195,76.952,0,254,378,615,2553,9494.0,87.03546531549226,23.245702829937304
196,176.831,133,120,343,579,2477,9494.0,87.0365167160675,23.245702829937308
197,182.058,181,128,406,643,2422,9494.0,87.03756811664266,23.2457028299373
198,135.764,239,175,454,691,2487,9494.0,87.03861951721787,23.245702829937304
199,179.818,442,168,331,791,2202,9494.0,87.03967091779306,23.245702829937304
200,173.537,528,241,274,734,2145,9494.0,87.04072231836827,23.245702829937304
201,154.431,409,341,126,561,1972,9494.0,87.04177371894346,23.245702829937304
202,167.563,487,407,51,408,1819,9494.0,87.04282511951868,23.245702829937304
203,89.338,408,329,131,329,1739,9494.0,87.04387652009387,23.2457028299373
204,5.183,460,212,247,212,1623,9494.0,87.04492792066908,23.2457028299373
205,36.148,699,133,405,133,1544,9494.0,87.04597932124429,23.245702829937308
206,97.024,779,129,401,129,1539,9494.0,87.04703072181948,23.2457028299373
207,112.661,815,164,436,164,1562,9494.0,87.04808212239469,23.245702829937304
208,114.857,1039,388,312,388,1338,9494.0,87.0491335229699,23.245702829937304
209,159.438,1112,462,358,462,1347,9494.0,87.05018492354507,23.245702829937304
210,163.435,1220,569,429,569,1311,9494.0,87.05123632412031,23.245702829937304
211,132.865,1383,732,541,732,1245,9494.0,87.0522877246955,23.245702829937304
212,143.801,1349,837,638,837,1173,9494.0,87.0533391252707,23.2457028299373
213,185.923,1134,1093,719,1093,1132,9494.0,87.0543905258459,23.245702829937304
214,211.134,1035,1142,697,1142,1111,9494.0,87.05544192642111,23.245702829937304
215,128.209,962,1221,713,1221,1083,9494.0,87.0564933269963,23.245702829937304
216,135.368,804,1266,794,1351,982,9494.0,87.05754472757151,23.245702829937304
217,154.914,719,1293,785,1427,1009,9494.0,87.05859612814672,23.245702829937308
218,80.509,537,1448,924,1602,1164,9494.0,87.05964752872191,23.245702829937304
219,166.992,351,1551,840,1920,1267,9494.0,87.06069892929712,23.245702829937304
220,162.468,230,1608,898,1851,1324,9494.0,87.06175032987232,23.245702829937304
221,252.948,170,1515,838,1949,1264,9494.0,87.06280173044753,23.245702829937304
222,175.996,113,1440,781,2047,1207,9494.0,87.06385313102271,23.2457028299373
223,190.623,248,1365,845,2181,1340,9494.0,87.06490453159793,23.245702829937304
224,136.247,328,1289,802,2242,1339,9494.0,87.06595593217313,23.2457028299373
225,2.635,489,1404,941,2241,1501,9494.0,87.06700733274833,23.2457028299373
226,14.319,695,1199,736,2446,1706,9494.0,87.06805873332353,23.245702829937304
227,147.227,733,1235,772,2485,1745,9494.0,87.0691101338987,23.2457028299373
228,84.023,924,1428,965,2676,1935,9494.0,87.07016153447391,23.2457028299373
229,14.055,2439,1973,1819,4340,3209,9494.0,87.07436713677473,23.245702829937308
230,30.394,2439,1973,1819,4340,3209,9494.0,87.07541853734995,23.245702829937304
231,37.817,2606,2139,1985,4506,3375,9494.0,87.07646993792513,23.245702829937304
232,104.711,132,231,246,482,2646,9494.0,87.03512752752202,23.244867500038787
233,139.277,189,173,188,425,2589,9494.0,87.0361789240167,23.244867500038787
234,190.754,201,32,295,531,2564,9494.0,87.03723032051137,23.24486750003878
235,158.471,128,68,343,580,2598,9494.0,87.03828171700603,23.244867500038787
236,135.895,158,159,459,725,2416,9494.0,87.03933311350069,23.244867500038783
237,198.309,387,311,369,803,2220,9494.0,87.04038450999539,23.244867500038787
238,125.969,292,355,348,757,2168,9494.0,87.04143590649007,23.244867500038787
239,161.854,313,339,148,520,1930,9494.0,87.04248730298475,23.244867500038783
240,151.268,410,422,146,422,1833,9494.0,87.04353869947944,23.244867500038787
241,81.959,483,166,293,166,1577,9494.0,87.0445900959741,23.24486750003878
242,6.984,444,132,332,206,1616,9494.0,87.04564149246877,23.244867500038787
243,73.877,650,30,303,30,1441,9494.0,87.04669288896345,23.244867500038783
244,154.431,771,120,152,120,1290,9494.0,87.04774428545812,23.244867500038787
245,126.189,976,325,114,325,1253,9494.0,87.04879568195281,23.244867500038787
246,148.677,1099,448,292,448,1308,9494.0,87.04984707844748,23.244867500038783
247,126.233,1158,508,342,508,1268,9494.0,87.05089847494214,23.244867500038787
248,156.671,1312,661,447,661,1157,9494.0,87.05194987143683,23.244867500038787
249,170.682,1417,798,567,798,1084,9494.0,87.0530012679315,23.244867500038783
250,224.047,1278,960,640,960,1053,9494.0,87.05405266442618,23.244867500038787
251,247.59,1146,1139,627,1139,1040,9494.0,87.05510406092085,23.244867500038787
252,215.922,1037,1229,618,1229,1031,9494.0,87.05615545741554,23.244867500038787
253,211.266,932,1271,713,1321,987,9494.0,87.05720685391022,23.244867500038783
254,186.977,799,1189,707,1451,905,9494.0,87.05825825040486,23.244867500038783
255,167.3,861,1218,672,1587,934,9494.0,87.05930964689954,23.24486750003878
256,59.032,344,1511,801,1955,1227,9494.0,87.06036104339424,23.24486750003878
257,186.889,287,1440,730,2026,1156,9494.0,87.06141243988891,23.244867500038787
258,218.206,173,1403,693,2142,1119,9494.0,87.06246383638357,23.24486750003878
259,142.528,22,1378,668,2082,1094,9494.0,87.06351523287826,23.244867500038787
260,143.187,248,1254,726,2210,1228,9494.0,87.06456662937293,23.24486750003878
261,176.172,301,1225,697,2264,1276,9494.0,87.06561802586762,23.244867500038783
262,39.794,373,1238,710,2336,1347,9494.0,87.06666942236228,23.244867500038787
263,29.12,695,1199,736,2446,1706,9494.0,87.06772081885697,23.244867500038783
264,7.994,765,1259,796,2517,1777,9494.0,87.06877221535164,23.244867500038787
265,17.349,816,1309,846,2567,1827,9494.0,87.06982361184632,23.24486750003878
266,0.176,899,1340,930,2651,1911,9494.0,87.07087500834099,23.244867500038787
267,0.0,2439,1973,1819,4340,3209,9494.0,87.07402919782501,23.244867500038787
268,63.292,2439,1973,1819,4340,3209,9494.0,87.0750805943197,23.244867500038787
269,74.887,708,584,330,482,3108,9494.0,87.03163557811943,23.244032172129373
270,72.911,673,549,294,446,3073,9494.0,87.03268697053376,23.244032172129376
271,119.908,638,514,259,411,3037,9494.0,87.03373836294813,23.244032172129373
272,98.869,358,280,20,256,2758,9494.0,87.03478975536247,23.244032172129376
273,143.055,333,161,138,375,2693,9494.0,87.03584114777681,23.244032172129376
274,115.603,184,100,287,524,2631,9494.0,87.03689254019115,23.24403217212938
275,146.305,59,52,413,566,2574,9494.0,87.0379439326055,23.244032172129376
276,171.033,3,3,469,622,2520,9494.0,87.03899532501984,23.244032172129373
277,191.633,124,183,402,801,2364,9494.0,87.04004671743418,23.244032172129376
278,135.939,202,268,299,857,2268,9494.0,87.0410981098485,23.244032172129376
279,114.198,195,221,148,632,2043,9494.0,87.04214950226284,23.24403217212937
280,97.463,184,210,137,472,1883,9494.0,87.0432008946772,23.244032172129376
281,131.152,338,96,291,325,1736,9494.0,87.04425228709154,23.244032172129376
282,125.705,359,47,379,319,1730,9494.0,87.04530367950588,23.244032172129376
283,14.319,406,94,426,353,1764,9494.0,87.0463550719202,23.244032172129373
284,136.51,771,120,152,120,1290,9494.0,87.04740646433456,23.244032172129376
285,118.283,854,203,110,203,1249,9494.0,87.0484578567489,23.244032172129373
286,155.66,1043,392,182,392,1221,9494.0,87.04950924916324,23.244032172129373
287,134.797,1172,522,266,522,1145,9494.0,87.05056064157758,23.244032172129376
288,158.12,1248,597,328,597,1091,9494.0,87.0516120339919,23.24403217212938
289,176.699,1369,723,454,723,995,9494.0,87.05266342640626,23.244032172129373
290,175.338,1370,883,544,883,973,9494.0,87.0537148188206,23.244032172129376
291,215.351,1314,982,510,982,923,9494.0,87.05476621123496,23.244032172129376
292,167.168,1189,1095,456,1095,870,9494.0,87.05581760364927,23.244032172129376
293,156.275,987,1221,677,1319,937,9494.0,87.05686899606364,23.244032172129373
294,129.571,913,1071,605,1452,787,9494.0,87.05792038847795,23.244032172129376
295,185.264,870,1170,633,1567,886,9494.0,87.05897178089232,23.244032172129376
296,183.683,1055,1167,580,1784,883,9494.0,87.06002317330665,23.24403217212937
297,67.684,313,1372,662,2094,1088,9494.0,87.06107456572099,23.244032172129376
298,204.458,265,1297,587,2124,1013,9494.0,87.06212595813534,23.244032172129373
299,165.675,103,1274,564,2127,990,9494.0,87.06317735054967,23.244032172129373
300,205.337,198,1187,632,2220,1084,9494.0,87.06422874296402,23.244032172129376
301,64.302,342,1160,632,2305,1241,9494.0,87.06528013537834,23.244032172129373
302,32.283,492,1033,570,2455,1391,9494.0,87.0663315277927,23.244032172129376
303,117.097,555,1016,553,2473,1464,9494.0,87.06738292020704,23.24403217212937
304,19.194,636,962,499,2528,1500,9494.0,87.06843431262136,23.244032172129376
305,11.508,899,1340,930,2651,1911,9494.0,87.06948570503572,23.244032172129373
306,11.508,899,1340,930,2651,1911,9494.0,87.07053709745004,23.244032172129376
307,27.671,2277,1810,1656,4177,3046,9494.0,87.07474266710742,23.244032172129373
308,154.211,2277,1810,1656,4177,3046,9494.0,87.07579405952175,23.244032172129376
309,213.462,753,401,374,526,3152,9494.0,87.03129783401056,23.243196846208992
310,154.606,635,511,256,408,3034,9494.0,87.03234922234475,23.243196846208992
311,184.298,569,445,191,343,2969,9494.0,87.03340061067895,23.243196846208985
312,167.388,445,366,66,302,2844,9494.0,87.03445199901314,23.243196846208985
313,115.164,368,290,10,246,2768,9494.0,87.03550338734733,23.243196846208985
314,96.673,366,268,160,259,2881,9494.0,87.03655477568152,23.24319684620899
315,146.525,153,146,373,472,2668,9494.0,87.03760616401571,23.24319684620899
316,163.479,28,64,506,683,2517,9494.0,87.03865755234993,23.243196846208992
317,228.835,26,106,471,725,2434,9494.0,87.03970894068412,23.24319684620899
318,198.002,272,346,288,898,2309,9494.0,87.04076032901834,23.243196846208992
319,100.889,279,332,262,872,2283,9494.0,87.04181171735253,23.24319684620899
320,150.038,97,127,54,645,2056,9494.0,87.04286310568672,23.24319684620899
321,139.409,84,32,104,566,1976,9494.0,87.04391449402091,23.24319684620899
322,200.154,229,111,250,450,1861,9494.0,87.04496588235511,23.24319684620899
323,126.057,367,116,388,431,1841,9494.0,87.04601727068929,23.243196846208985
324,74.58,1008,357,84,357,1223,9494.0,87.0481200473577,23.243196846208992
325,170.374,987,336,64,336,1202,9494.0,87.0491714356919,23.243196846208992
326,174.459,1139,488,215,488,1086,9494.0,87.05022282402611,23.243196846208992
327,191.062,1255,604,331,604,986,9494.0,87.05127421236028,23.243196846208985
328,161.283,1348,697,425,697,953,9494.0,87.0523256006945,23.24319684620899
329,203.58,1268,795,441,795,855,9494.0,87.05337698902869,23.243196846208992
330,178.017,1239,992,413,992,826,9494.0,87.05442837736288,23.24319684620899
331,124.036,1203,1034,391,1034,805,9494.0,87.05547976569709,23.24319684620899
332,110.86,951,1034,567,1462,750,9494.0,87.05758254236548,23.24319684620899
333,159.965,946,1060,515,1611,776,9494.0,87.05863393069967,23.24319684620899
334,208.411,954,1065,479,1683,781,9494.0,87.05968531903389,23.24319684620899
335,39.75,1085,1197,610,1815,913,9494.0,87.06073670736808,23.24319684620899
336,166.773,269,1108,398,1961,824,9494.0,87.06178809570228,23.243196846208992
337,172.351,227,1157,467,2030,893,9494.0,87.06283948403646,23.243196846208985
338,152.718,320,1065,510,2116,980,9494.0,87.06389087237066,23.243196846208992
339,9.312,488,1014,486,2451,1349,9494.0,87.06494226070485,23.243196846208992
340,101.241,547,1049,526,2491,1420,9494.0,87.06599364903906,23.243196846208992
341,177.446,636,962,499,2528,1500,9494.0,87.06704503737326,23.243196846208992
342,102.075,627,917,457,2571,1458,9494.0,87.06809642570745,23.243196846208992
343,84.858,673,900,491,2635,1526,9494.0,87.06914781404166,23.243196846208992
344,123.158,840,940,531,2748,1609,9494.0,87.07019920237585,23.243196846208992
345,79.631,973,902,494,2881,1742,9494.0,87.07125059071002,23.243196846208985
346,40.584,2181,1715,1561,4082,2950,9494.0,87.07545614404681,23.24319684620899
347,84.243,753,401,374,526,3152,9494.0,87.03096010571082,23.242361522277534
348,138.267,739,355,360,512,3138,9494.0,87.03201148996506,23.24236152227753
349,182.102,760,274,381,507,3159,9494.0,87.03306287421931,23.242361522277534
350,162.6,615,265,236,0,3014,9494.0,87.03411425847355,23.24236152227753
