,POP_2015,community_space,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,75.191,1492,1753,1016,1626,2316,1943,10570.0,112.18323190400376,37.21817029790909
1,51.383,1447,2414,2244,2048,2895,2130,10570.0,112.18438117517192,37.21817029790909
2,47.343,1492,1753,1016,1626,2316,1943,10570.0,112.18241309430584,37.21728856592187
3,36.824,1492,1753,1016,1626,2316,1943,10570.0,112.18356235708565,37.21728856592186
4,72.38,1064,1173,436,1046,1736,1435,10570.0,112.17847709156348,37.21552511355841
5,63.794,1064,1173,436,1046,1736,1435,10570.0,112.17765840729815,37.21464339318185
6,110.805,1114,1223,677,1109,1976,1485,10570.0,112.1802874469378,37.213761676675226
7,109.966,1153,1330,789,1217,2088,1518,10570.0,112.18143667616786,37.21376167667522
8,100.267,1097,1384,845,1270,2129,1462,10570.0,112.1825859053979,37.213761676675226
9,55.715,1041,1438,901,1324,2171,1406,10570.0,112.18373513462794,37.21376167667522
10,0.429,1358,1161,1940,1959,2679,2041,10570.0,112.19522742692838,37.21376167667522
11,25.233,1358,1161,1940,1959,2679,2041,10570.0,112.19637665615844,37.213761676675226
12,49.002,1647,946,2229,2248,2968,2330,10570.0,112.19752588538847,37.21376167667522
13,41.118,1647,946,2229,2248,2968,2330,10570.0,112.19867511461854,37.21376167667522
14,54.173,652,761,8,635,1307,1023,10570.0,112.17372270572322,37.21287996403834
15,69.279,604,713,56,586,1356,975,10570.0,112.17487192656671,37.21287996403834
16,59.064,753,862,311,745,1611,1124,10570.0,112.1760211474103,37.21287996403834
17,122.651,789,898,347,781,1646,1160,10570.0,112.17717036825383,37.21287996403834
18,111.722,916,1025,475,909,1774,1287,10570.0,112.17831958909731,37.21287996403834
19,115.157,1018,1127,577,1011,1876,1389,10570.0,112.17946880994087,37.21287996403834
20,108.268,1114,1223,677,1109,1976,1485,10570.0,112.18061803078437,37.21287996403834
21,113.576,1153,1330,789,1217,2088,1518,10570.0,112.18176725162795,37.21287996403834
22,108.132,1041,1438,901,1324,2171,1406,10570.0,112.18291647247145,37.21287996403834
23,1.268,1349,1169,1931,1950,2670,2032,10570.0,112.19440868090673,37.21287996403834
24,2.791,1358,1161,1940,1959,2679,2041,10570.0,112.19555790175029,37.21287996403834
25,70.429,644,753,16,626,1316,1015,10570.0,112.17290414686924,37.211998255271084
26,90.783,560,669,109,543,1408,931,10570.0,112.17405335932665,37.211998255271084
27,99.506,551,660,109,543,1408,922,10570.0,112.17520257178403,37.211998255271084
28,108.132,753,862,311,745,1611,1124,10570.0,112.1763517842414,37.211998255271084
29,119.001,824,933,383,817,1682,1195,10570.0,112.17750099669883,37.21199825527109
30,78.098,908,1018,811,904,1847,1280,10570.0,112.18094863407097,37.211998255271084
31,38.366,955,1129,922,1015,1958,1320,10570.0,112.18209784652832,37.21199825527108
32,39.986,844,1241,1034,1127,1973,1209,10570.0,112.18324705898576,37.21199825527109
33,48.319,723,712,1102,954,1941,1102,10570.0,112.1843962714431,37.211998255271084
34,75.659,560,669,109,534,1408,931,10570.0,112.17323482829548,37.21111655037327
35,82.509,560,669,109,534,1408,931,10570.0,112.17438403236707,37.21111655037326
36,79.913,379,488,281,374,1317,750,10570.0,112.17553323643872,37.21111655037327
37,87.934,546,655,448,541,1484,917,10570.0,112.17668244051033,37.21111655037327
