,POP_2015,active_living,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
62,123.214,2083,1594,2784,3086,2627,3249,10975.0,118.1563580136775,39.858260715792696
63,153.534,1814,1771,4017,3939,4151,1750,10975.0,118.17752508535267,39.8582607157927
64,127.645,1557,2029,4275,4196,4408,1493,10975.0,118.17987698220553,39.858260715792696
65,24.087,1557,2029,4275,4196,4408,1493,10975.0,118.18105293063192,39.858260715792696
66,27.455,1411,2175,4421,4236,4340,1347,10975.0,118.1822288790583,39.8582607157927
67,24.581,1314,2271,4430,4140,4244,1251,10975.0,118.18340482748471,39.858260715792696
68,27.832,1113,2473,4617,4327,4431,1049,10975.0,118.1845807759111,39.8582607157927
69,19.387,1113,2473,4617,4327,4431,1049,10975.0,118.18575672433751,39.858260715792696
70,16.997,687,2799,4190,3900,4004,623,10975.0,118.18928456961672,39.858260715792696
71,3.916,687,2799,4190,3900,4004,623,10975.0,118.19046051804312,39.8582607157927
72,197.896,1947,1702,2941,3243,2207,3406,10975.0,118.15304323807705,39.857366762066285
73,194.079,1976,1702,2891,3194,2519,3357,10975.0,118.15421917692022,39.857366762066285
74,195.571,1849,1583,2773,3075,2393,3238,10975.0,118.1553951157634,39.857366762066285
75,186.707,2009,1423,2613,2915,2553,3079,10975.0,118.15657105460659,39.85736676206628
76,61.914,2415,1247,3018,3417,3831,2882,10975.0,118.16362668766564,39.857366762066285
77,39.843,2415,1247,3018,3417,3831,2882,10975.0,118.16480262650883,39.85736676206628
78,48.487,2169,1416,3662,3584,3796,2105,10975.0,118.17303419841112,39.857366762066285
79,43.177,1814,1771,4017,3939,4151,1750,10975.0,118.17656201494063,39.85736676206628
80,103.498,1814,1771,4017,3939,4151,1750,10975.0,118.17773795378385,39.85736676206628
81,143.895,1557,2029,4275,4196,4408,1493,10975.0,118.17891389262701,39.857366762066285
82,157.921,1557,2029,4275,4196,4408,1493,10975.0,118.1800898314702,39.85736676206628
83,14.836,1411,2175,4421,4236,4340,1347,10975.0,118.18126577031339,39.857366762066285
84,57.614,1947,1702,2941,3243,2207,3406,10975.0,118.1520804030401,39.85647281269938
85,142.915,1849,1583,2773,3075,2393,3238,10975.0,118.15325633230053,39.856472812699394
86,235.106,1849,1583,2773,3075,2393,3238,10975.0,118.1544322615609,39.85647281269938
87,193.772,2009,1423,2613,2915,2553,3079,10975.0,118.1556081908213,39.85647281269938
88,214.176,2009,1423,2613,2915,2553,3079,10975.0,118.1567841200817,39.85647281269939
89,3.115,2415,1247,3018,3417,3831,2882,10975.0,118.16266376638369,39.85647281269939
90,2.194,2415,1247,3018,3417,3831,2882,10975.0,118.16383969564406,39.85647281269938
91,187.102,1904,1300,2489,2792,2676,2955,10975.0,118.15582129042367,39.85557886769182
92,203.688,1904,1300,2489,2792,2676,2955,10975.0,118.15699721010171,39.855578867691825
93,9.275,1341,2365,3754,3464,3568,1277,10975.0,118.18757112173094,39.85557886769183
94,10.358,1341,2365,3754,3464,3568,1277,10975.0,118.18874704140899,39.85557886769182
95,145.417,1704,1458,2698,3000,1964,3163,10975.0,118.15250668428092,39.854684927043415
96,183.767,1559,1314,2553,2855,2109,3018,10975.0,118.15368259437707,39.854684927043415
97,200.178,1559,1314,2553,2855,2109,3018,10975.0,118.1548585044732,39.854684927043415
98,177.405,1733,1129,2318,2621,2757,2784,10975.0,118.1572103246655,39.854684927043415
99,21.501,2089,921,2692,3091,3505,2678,10975.0,118.16426578524226,39.854684927043415
100,63.581,2111,963,3199,3130,3342,2648,10975.0,118.17014533572294,39.85468492704342
101,112.639,2233,1085,3331,3252,3464,2437,10975.0,118.17249715591522,39.854684927043415
102,131.287,2229,1080,3327,3248,3460,2441,10975.0,118.17367306601133,39.854684927043415
103,89.048,2121,1481,3727,3649,3861,2057,10975.0,118.17720079629973,39.854684927043415
104,122.6,1861,1742,3988,3910,4089,1798,10975.0,118.17955261649203,39.854684927043415
105,16.0,1864,1739,3985,3906,4085,1800,10975.0,118.18072852658813,39.854684927043415
106,22.928,1624,1980,4038,3748,3852,1560,10975.0,118.18190443668426,39.85468492704342
107,23.312,1626,1976,4034,3744,3848,1562,10975.0,118.1830803467804,39.854684927043415
108,13.214,1341,2365,3754,3464,3568,1277,10975.0,118.18660807706883,39.85468492704342
109,7.552,1237,2255,3645,3355,3459,1173,10975.0,118.18778398716495,39.85468492704342
110,26.021,1704,1458,2698,3000,1964,3163,10975.0,118.15154396119864,39.85379099075402
111,15.709,1559,1314,2553,2855,2109,3018,10975.0,118.1527198617133,39.853790990754014
112,58.316,1559,1314,2553,2855,2109,3018,10975.0,118.15389576222792,39.853790990754014
113,145.373,1733,1129,2318,2621,2757,2784,10975.0,118.15624756325727,39.85379099075402
114,195.527,1733,1129,2318,2621,2757,2784,10975.0,118.15742346377188,39.85379099075401
115,25.406,2075,907,2678,3077,3491,2664,10975.0,118.16330296634516,39.85379099075402
116,82.708,2107,958,3194,3126,3338,2652,10975.0,118.16918246891844,39.853790990754014
117,131.946,2107,958,3194,3126,3338,2652,10975.0,118.1703583694331,39.85379099075402
118,117.772,2229,1080,3327,3248,3460,2441,10975.0,118.17153426994773,39.85379099075401
119,117.421,2229,1080,3327,3248,3460,2441,10975.0,118.17271017046241,39.85379099075402
120,187.365,2126,1476,3722,3643,3855,2062,10975.0,118.17623787200638,39.85379099075402
121,174.245,1866,1736,3982,3903,4082,1802,10975.0,118.17976557355036,39.85379099075402
122,19.437,1244,2254,3643,3353,3457,1180,10975.0,118.18682097663824,39.853790990754014
123,49.205,2174,531,2777,3175,3522,2763,10975.0,118.16704375488867,39.852897058823416
124,35.764,2245,602,2848,3247,3594,2834,10975.0,118.16821964582229,39.85289705882343
125,173.802,1448,2037,3429,3139,3243,1384,10975.0,118.18585800982643,39.852897058823416
126,107.108,1451,2041,3431,3141,3245,1387,10975.0,118.18703390076004,39.85289705882342
127,143.464,1563,2155,3544,3254,3358,1499,10975.0,118.18820979169367,39.85289705882342
128,145.208,1453,2045,3434,3144,3248,1389,10975.0,118.18607096808009,39.852003131251465
129,149.837,1563,2155,3544,3254,3358,1499,10975.0,118.1872468494331,39.852003131251465
130,95.107,1868,720,2966,2887,3099,2802,10975.0,118.17217348960949,39.85110920803796
131,115.447,1868,720,2966,2887,3099,2802,10975.0,118.17334936138234,39.85110920803797
132,152.401,1717,1784,3170,2881,2984,1653,10975.0,118.18510807911058,39.851109208037954
133,126.194,1717,1784,3170,2881,2984,1653,10975.0,118.1862839508834,39.85110920803796
134,235.589,1218,614,1804,2106,2242,2269,10975.0,118.15710040340808,39.85021528918275
135,187.629,1425,758,1948,2250,2449,2413,10975.0,118.15827626560115,39.85021528918275
136,191.973,1425,758,1948,2250,2449,2413,10975.0,118.15945212779427,39.85021528918275
137,171.393,1640,973,2163,2465,2664,2628,10975.0,118.16062798998735,39.850215289182756
138,173.807,1640,973,2163,2465,2664,2628,10975.0,118.16180385218044,39.85021528918275
139,190.788,1841,1174,2363,2666,2865,2829,10975.0,118.16297971437349,39.85021528918274
140,190.569,1841,1174,2363,2666,2865,2829,10975.0,118.1641555765666,39.85021528918275
141,168.567,1717,1784,3170,2881,2984,1653,10975.0,118.18414523384908,39.85021528918275
142,97.637,1717,1784,3170,2881,2984,1653,10975.0,118.18532109604214,39.85021528918274
143,56.868,1156,798,2548,2354,1084,3013,10975.0,118.14437929603837,39.84932137468565
144,66.17,1156,798,2548,2354,1084,3013,10975.0,118.14555514865214,39.84932137468565
145,161.959,953,1001,2344,2442,1172,2810,10975.0,118.1467310012659,39.849321374685644
146,143.354,953,1001,2344,2442,1172,2810,10975.0,118.1479068538797,39.849321374685644
147,132.34,1014,769,2008,2310,2038,2474,10975.0,118.1537861169486,39.84932137468565
148,153.578,1229,593,1783,2085,2253,2249,10975.0,118.15613782217615,39.849321374685644
149,152.262,1425,758,1948,2250,2449,2413,10975.0,118.15731367478996,39.84932137468565
150,100.66,1425,758,1948,2250,2449,2413,10975.0,118.15848952740372,39.849321374685644
151,162.266,1640,973,2163,2465,2664,2628,10975.0,118.15966538001751,39.849321374685644
152,245.901,1640,973,2163,2465,2664,2628,10975.0,118.16084123263128,39.849321374685644
153,146.25,1841,1174,2363,2666,2865,2829,10975.0,118.1620170852451,39.84932137468565
154,131.551,1841,1174,2363,2666,2865,2829,10975.0,118.16319293785887,39.84932137468565
155,46.875,1776,134,2380,2778,3125,2365,10975.0,118.16672049570022,39.849321374685644
156,39.375,1872,230,2476,2874,3221,2461,10975.0,118.167896348314,39.84932137468565
157,38.285,1872,230,2476,2874,3221,2461,10975.0,118.16907220092777,39.849321374685644
158,11.979,1651,513,2751,2670,2882,2737,10975.0,118.17259975876914,39.84932137468565
159,3.247,1645,519,2748,2664,2876,2733,10975.0,118.1737756113829,39.84932137468565
160,9.598,1156,798,2548,2354,1084,3013,10975.0,118.1434168542883,39.848427464546475
161,169.155,1156,798,2548,2354,1084,3013,10975.0,118.14459269732322,39.848427464546475
162,171.393,953,1001,2344,2442,1172,2810,10975.0,118.1457685403581,39.84842746454647
163,181.705,953,1001,2344,2442,1172,2810,10975.0,118.14694438339302,39.84842746454647
164,101.493,775,530,1884,2186,1799,2350,10975.0,118.15164775553266,39.84842746454647
165,74.069,775,530,1884,2186,1799,2350,10975.0,118.15282359856764,39.84842746454648
166,24.09,1240,573,1762,2065,2264,2228,10975.0,118.15517528463745,39.848427464546475
167,145.504,1240,573,1762,2065,2264,2228,10975.0,118.15635112767234,39.84842746454647
168,29.882,1398,243,2002,2400,2815,1987,10975.0,118.16458202891674,39.84842746454647
169,0.132,1642,0,2246,2644,2991,2231,10975.0,118.16693371498656,39.84842746454648
170,0.044,1642,0,2246,2644,2991,2231,10975.0,118.16810955802144,39.848427464546475
171,14.656,1447,312,2547,2466,2678,2533,10975.0,118.17046124409129,39.84842746454647
172,14.305,1645,519,2748,2664,2876,2733,10975.0,118.17163708712617,39.84842746454647
173,5.968,1645,519,2748,2664,2876,2733,10975.0,118.17281293016111,39.84842746454647
174,131.143,1859,1447,2838,2549,2652,1975,10975.0,118.18339551747532,39.84842746454647
175,89.696,1863,1456,2843,2553,2657,1981,10975.0,118.18457136051022,39.84842746454647
176,9.083,775,530,1884,2186,1799,2350,10975.0,118.1506852904199,39.84753355876506
177,97.851,775,530,1884,2186,1799,2350,10975.0,118.1518611238764,39.84753355876505
178,103.687,769,324,1830,2132,1793,2295,10975.0,118.1530369573329,39.84753355876506
179,19.702,769,324,1830,2132,1793,2295,10975.0,118.15421279078937,39.84753355876504
180,135.456,936,305,1656,1958,1960,2122,10975.0,118.15538862424583,39.84753355876504
181,59.939,1392,250,1995,2393,2808,1981,10975.0,118.16361945844115,39.84753355876505
182,0.0,1642,0,2246,2644,2991,2231,10975.0,118.16597112535413,39.84753355876505
183,7.811,1642,0,2246,2644,2991,2231,10975.0,118.16714695881062,39.84753355876506
184,132.675,1859,1447,2838,2549,2652,1975,10975.0,118.1824327937448,39.84753355876506
185,65.02,1846,1452,2825,2535,2639,2014,10975.0,118.18360862720128,39.84753355876505
186,177.492,811,441,2202,1998,728,2668,10975.0,118.14384374960177,39.84663965734123
187,16.235,614,369,1723,2025,1638,2188,10975.0,118.1508986928726,39.84663965734122
188,101.054,692,347,1776,2079,1715,2242,10975.0,118.15207451675113,39.84663965734122
189,174.991,714,269,1774,2077,1738,2240,10975.0,118.15325034062958,39.84663965734123
190,168.234,851,250,1678,1980,1874,2143,10975.0,118.15442616450805,39.84663965734122
191,196.053,876,227,1578,1881,1900,2044,10975.0,118.15560198838654,39.84663965734123
192,179.511,897,229,1581,1883,1920,2046,10975.0,118.15677781226502,39.84663965734122
193,99.773,1851,1461,2831,2541,2645,2025,10975.0,118.18264593759149,39.84663965734122
194,113.696,2218,2171,3541,3251,3355,2154,10975.0,118.18734923310538,39.84663965734123
195,133.956,2218,2171,3541,3251,3355,2154,10975.0,118.18852505698386,39.84663965734123
196,25.895,842,410,2181,1966,696,2699,10975.0,118.14288141974833,39.845745760274795
197,151.384,811,441,2202,1998,728,2668,10975.0,118.14405723404923,39.8457457602748
198,49.057,600,652,1991,2089,820,2457,10975.0,118.14523304835015,39.845745760274795
199,156.167,600,652,1991,2089,820,2457,10975.0,118.14640886265107,39.8457457602748
200,125.32,624,239,1667,1970,1648,2133,10975.0,118.15228793415561,39.8457457602748
201,165.645,671,145,1651,1953,1695,2116,10975.0,118.15346374845653,39.845745760274795
202,141.862,710,23,1529,1831,1734,1994,10975.0,118.15463956275742,39.845745760274795
203,171.876,816,149,1500,1802,1840,1966,10975.0,118.15581537705835,39.845745760274795
204,176.22,866,199,1388,1691,1890,1854,10975.0,118.15699119135923,39.84574576027478
205,23.002,1006,246,2029,1802,533,2753,10975.0,118.14309493829857,39.8448518675656
206,184.074,508,744,1899,1997,727,2365,10975.0,118.14544654774615,39.844851867565595
207,53.182,508,744,1899,1997,727,2365,10975.0,118.1466223524699,39.844851867565595
208,21.896,412,298,1521,1823,1436,1986,10975.0,118.15132557136504,39.8448518675656
209,141.687,473,236,1564,1866,1497,2029,10975.0,118.15250137608882,39.8448518675656
210,182.407,581,134,1525,1827,1605,1990,10975.0,118.15367718081258,39.8448518675656
211,196.931,651,59,1445,1748,1675,1911,10975.0,118.15485298553637,39.8448518675656
212,116.237,675,153,1469,1772,1699,1935,10975.0,118.15602879026014,39.8448518675656
213,67.441,1454,1183,2433,2144,2248,2384,10975.0,118.17954488473572,39.844851867565595
214,62.741,1454,1183,2433,2144,2248,2384,10975.0,118.18072068945952,39.8448518675656
215,47.964,1744,1473,2724,2434,2538,2299,10975.0,118.18307229890712,39.8448518675656
216,66.515,1943,1612,2922,2633,2736,2307,10975.0,118.18424810363086,39.844851867565595
217,127.868,2314,1924,3294,3004,3108,2401,10975.0,118.18542390835464,39.844851867565595
218,142.289,2314,1924,3294,3004,3108,2401,10975.0,118.18659971307842,39.84485186756561
219,0.328,1006,246,2029,1802,533,2753,10975.0,118.14213268622582,39.84395797921345
220,9.917,455,648,1847,1858,588,2312,10975.0,118.1456600716671,39.84395797921344
221,19.0,402,681,1793,1891,621,2259,10975.0,118.14683586681417,39.84395797921345
222,28.785,335,375,1444,1746,1359,1909,10975.0,118.1515390474025,39.84395797921345
223,171.656,356,238,1446,1749,1380,1912,10975.0,118.1527148425496,39.84395797921345
224,206.628,474,178,1416,1718,1497,1881,10975.0,118.15389063769668,39.84395797921345
225,152.218,527,131,1321,1623,1551,1787,10975.0,118.15506643284377,39.84395797921346
226,140.897,711,313,1189,1491,1735,1654,10975.0,118.15624222799082,39.84395797921344
227,175.869,711,313,1189,1491,1735,1654,10975.0,118.15741802313794,39.84395797921345
228,51.251,938,704,1541,1939,2354,1527,10975.0,118.16329699887335,39.84395797921345
229,159.326,938,704,1541,1939,2354,1527,10975.0,118.16447279402044,39.84395797921346
230,47.18,945,427,2084,1964,2176,2070,10975.0,118.17035176975584,39.84395797921345
231,59.109,945,427,2084,1964,2176,2070,10975.0,118.17152756490295,39.84395797921345
232,35.75,1284,1013,2263,1973,2077,2270,10975.0,118.17858233578545,39.84395797921344
233,72.604,1284,1013,2263,1973,2077,2270,10975.0,118.17975813093251,39.84395797921344
234,4.759,1097,24,1796,1569,300,2520,10975.0,118.13999469225774,39.84306409521817
235,1.24,1062,21,1761,1535,265,2485,10975.0,118.14117047782858,39.843064095218175
236,0.263,488,594,1880,1804,535,2345,10975.0,118.14469783454105,39.84306409521819
237,61.563,250,305,1359,1661,1274,1825,10975.0,118.15175254796598,39.843064095218175
238,177.931,336,217,1423,1725,1360,1888,10975.0,118.1529283335368,39.84306409521817
239,245.198,400,140,1359,1661,1424,1825,10975.0,118.15410411910763,39.84306409521818
240,198.555,518,123,1241,1543,1542,1706,10975.0,118.15527990467845,39.84306409521818
241,179.028,588,189,1148,1450,1612,1613,10975.0,118.15645569024929,39.84306409521818
242,200.222,629,231,1107,1409,1653,1572,10975.0,118.1576314758201,39.843064095218175
243,66.907,1284,1013,2263,1973,2077,2270,10975.0,118.17879561609492,39.843064095218175
244,12.758,1481,397,1550,1939,684,2889,10975.0,118.13550520912439,39.8421702155796
245,8.575,1474,409,1542,1931,677,2881,10975.0,118.13668098511937,39.84217021557961
246,4.849,980,103,1679,1452,183,2403,10975.0,118.14020831310437,39.8421702155796
247,6.271,883,199,1636,1409,139,2359,10975.0,118.14138408909938,39.8421702155796
248,4.502,814,268,1705,1478,209,2429,10975.0,118.14255986509437,39.8421702155796
249,0.0,764,870,2155,2080,810,2621,10975.0,118.14726296907438,39.8421702155796
250,0.527,0,398,1391,1693,1023,1857,10975.0,118.14961452106432,39.8421702155796
251,39.799,20,377,1370,1673,1044,1836,10975.0,118.15079029705934,39.84217021557961
252,82.318,156,242,1265,1567,1180,1730,10975.0,118.15196607305433,39.84217021557961
253,109.216,300,98,1391,1693,1324,1857,10975.0,118.15314184904932,39.84217021557961
254,95.877,398,0,1338,1640,1422,1803,10975.0,118.1543176250443,39.8421702155796
255,91.971,471,72,1265,1568,1494,1731,10975.0,118.15549340103932,39.84217021557961
256,202.504,541,142,1195,1498,1564,1661,10975.0,118.15666917703432,39.84217021557961
