,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,0.0,3819,1151,1553,1540,1167,2623,1377,1583.0,-6.669053008260925,4.789639434698346
1,0.0,3586,918,1320,1307,935,2390,1144,1583.0,-6.664053343362309,4.789639434698345
2,24.191,3819,1151,1553,1540,1167,2623,1377,1583.0,-6.669048135570732,4.788829582419525
3,0.0,3586,918,1320,1307,935,2390,1144,1583.0,-6.664048474325084,4.788829582419524
4,0.0,3558,890,1292,1279,907,2362,1116,1583.0,-6.663048542075954,4.788829582419524
5,0.0,3165,981,915,892,836,1969,877,1583.0,-6.661048677577696,4.788829582419525
6,0.0,3165,981,915,892,836,1969,877,1583.0,-6.660048745328564,4.788829582419525
7,0.0,2436,191,724,763,462,1028,837,1583.0,-6.653049219584656,4.788829582419525
8,3.849,2436,191,724,763,462,1028,837,1583.0,-6.652049287335527,4.788829582419524
9,0.0,5000,1833,1732,2429,1950,4669,2421,1583.0,-6.679042578901067,4.7880197305080205
10,0.0,5000,1833,1732,2429,1950,4669,2421,1583.0,-6.678042647382404,4.78801973050802
11,23.426,3972,1304,1562,1693,1106,2776,1531,1583.0,-6.673042989789095,4.788019730508019
12,43.72,3914,1246,1649,1635,1263,2718,1473,1583.0,-6.672043058270434,4.78801973050802
13,8.39,3886,1218,1620,1607,1235,2690,1444,1583.0,-6.671043126751771,4.7880197305080205
14,14.151,3683,1015,1417,1404,1032,2487,1241,1583.0,-6.669043263714449,4.7880197305080205
15,29.688,3683,1015,1417,1404,1032,2487,1241,1583.0,-6.6680433321957855,4.7880197305080205
16,2.51,3543,875,1277,1264,891,2346,1101,1583.0,-6.666043469158464,4.78801973050802
17,0.0,3543,875,1277,1264,891,2346,1101,1583.0,-6.665043537639802,4.7880197305080205
18,0.0,3462,794,1197,1183,811,2266,1021,1583.0,-6.6640436061211386,4.788019730508019
19,0.645,3558,890,1292,1279,907,2362,1116,1583.0,-6.663043674602477,4.78801973050802
20,0.0,3165,981,915,892,836,1969,877,1583.0,-6.661043811565155,4.7880197305080205
21,0.0,3165,981,915,892,836,1969,877,1583.0,-6.660043880046493,4.78801973050802
22,0.0,3252,1068,1002,978,923,2055,964,1583.0,-6.657044085490508,4.788019730508019
23,8.797,2436,191,724,763,462,1028,837,1583.0,-6.653044359415861,4.7880197305080205
24,50.054,2360,116,649,763,387,972,762,1583.0,-6.6520444278971995,4.788019730508019
25,49.648,2007,574,574,803,695,872,910,1583.0,-6.648044701822553,4.78801973050802
26,84.882,2007,574,574,803,695,872,910,1583.0,-6.647044770303891,4.78801973050802
27,25.625,2630,1196,1196,1425,1318,1495,1532,1583.0,-6.642045112710581,4.7880197305080205
28,0.0,5000,1716,1614,2311,1832,4551,2303,1583.0,-6.679037700575253,4.78720987896377
29,0.0,5000,1716,1614,2311,1832,4551,2303,1583.0,-6.678037769786933,4.787209878963769
30,47.784,4124,1375,1586,1789,1130,2928,1600,1583.0,-6.674038046633657,4.787209878963769
31,22.78,4026,1278,1489,1692,1033,2830,1503,1583.0,-6.6730381158453405,4.78720987896377
