,POP_2015,active_living,community_space,education,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,0.045,1723,1695,1723,2001,2806,2150,9095.0,83.00049295251135,17.710800714483845
1,69.399,1212,1114,1125,0,2705,2049,9095.0,82.99820089608062,17.709976793508797
2,4.454,1723,1695,1723,2001,2806,2150,9095.0,83.0002572029699,17.709976793508794
3,22.269,1212,1114,1125,0,2705,2049,9095.0,82.99796516522024,17.709152873977068
4,28.814,701,603,614,680,2445,1789,9095.0,82.99702237017705,17.705857210281835
5,119.164,701,603,614,680,2445,1789,9095.0,82.99805050902252,17.705857210281835
6,86.987,741,643,655,470,2235,1579,9095.0,82.99907864786798,17.705857210281838
7,108.347,1221,1192,1221,592,2304,1648,9095.0,83.00010678671347,17.705857210281835
8,22.542,1221,1192,1221,592,2304,1648,9095.0,83.00113492555892,17.705857210281838
9,4.636,1202,1174,1202,1481,2286,1630,9095.0,83.0021630644044,17.705857210281835
10,42.675,701,603,614,680,2445,1789,9095.0,82.99678670351432,17.705033297965567
11,174.61,745,648,659,635,2400,1744,9095.0,82.99781483944042,17.705033297965567
12,127.663,790,692,704,591,2356,1700,9095.0,82.99884297536654,17.705033297965567
13,80.124,899,836,856,519,2187,1531,9095.0,82.99987111129266,17.705033297965567
14,5.09,1221,1192,1221,592,2304,1648,9095.0,83.00089924721878,17.705033297965567
15,79.715,534,436,448,847,2309,1653,9095.0,82.9975791826971,17.70420938709216
16,55.719,534,436,448,847,2309,1653,9095.0,82.99860731570402,17.70420938709216
17,28.632,512,414,426,699,2006,1350,9095.0,83.00066358171784,17.70420938709216
18,10.862,478,380,391,1009,2253,1597,9095.0,82.99631540870436,17.703385477661538
19,180.291,472,374,386,963,2247,1591,9095.0,82.99734353879225,17.70338547766154
20,111.256,492,394,406,889,2267,1611,9095.0,82.99837166888013,17.70338547766154
21,92.759,512,414,426,699,2006,1350,9095.0,83.00042792905587,17.703385477661538
22,0.0,1038,1010,1038,1559,2121,1465,9095.0,83.00454044940736,17.703385477661538
23,145.433,373,275,287,1008,2148,1492,9095.0,82.99710790772555,17.702561569673637
24,179.791,338,240,252,1032,2113,1457,9095.0,82.99813603489454,17.702561569673637
25,179.473,341,243,254,916,2064,1408,9095.0,82.99916416206355,17.702561569673634
26,52.81,363,265,276,1003,1954,1298,9095.0,83.00019228923253,17.702561569673637
27,72.398,702,673,702,922,1785,1129,9095.0,83.00122041640151,17.702561569673637
28,111.62,768,740,768,1006,1852,1196,9095.0,83.0022485435705,17.702561569673637
29,1.5,1038,1010,1038,1559,2121,1465,9095.0,83.0043047979085,17.702561569673637
30,46.493,277,179,190,1104,2070,1414,9095.0,82.99687228949672,17.701737663128366
31,125.89,228,130,142,1091,2003,1347,9095.0,82.99790041374698,17.701737663128362
32,221.512,295,197,208,994,1971,1315,9095.0,82.99892853799724,17.701737663128366
33,91.986,363,265,276,1003,1954,1298,9095.0,82.99995666224754,17.701737663128362
34,67.126,697,669,697,926,1781,1125,9095.0,83.00098478649778,17.701737663128366
35,183.745,766,738,766,1024,1849,1193,9095.0,83.00201291074806,17.701737663128362
36,9.18,764,735,764,1042,1847,1191,9095.0,83.00304103499833,17.701737663128362
37,8.271,229,131,142,1182,2035,1379,9095.0,82.99663668410543,17.700913758025653
38,132.117,184,86,97,1148,1990,1334,9095.0,82.99766480543713,17.700913758025653
39,179.928,175,77,89,1096,1899,1244,9095.0,82.99869292676883,17.700913758025653
40,117.664,294,196,208,1155,1801,1146,9095.0,82.99972104810054,17.700913758025653
41,0.273,798,770,798,1319,1881,1226,9095.0,83.00383353342738,17.700913758025653
42,10.18,798,770,798,1319,1881,1226,9095.0,83.00486165475908,17.700913758025653
43,231.329,192,117,105,1231,1968,1312,9095.0,82.99742920996466,17.700089854365423
44,139.07,122,47,35,1192,1897,1241,9095.0,82.998457328378,17.700089854365423
45,146.524,28,0,28,1240,1777,1121,9095.0,82.99948544679128,17.700089854365423
46,212.332,187,158,187,1220,1655,999,9095.0,83.00051356520459,17.70008985436542
47,70.717,450,421,450,1074,1544,888,9095.0,83.00154168361789,17.700089854365423
48,117.255,451,422,451,1069,1540,884,9095.0,83.0025698020312,17.700089854365423
49,6.954,798,770,798,1319,1881,1226,9095.0,83.0035979204445,17.700089854365423
50,1.818,798,770,798,1319,1881,1226,9095.0,83.00462603885782,17.700089854365423
51,0.0,1502,1473,1502,1284,2005,1413,9095.0,83.00873851251102,17.700089854365423
52,0.045,1502,1473,1502,1284,2005,1413,9095.0,83.00976663092432,17.70008985436542
53,9.135,3546,1226,3643,1378,2742,2500,9095.0,82.98999681886391,17.6992659521476
54,147.523,200,207,196,1322,1880,1224,9095.0,82.99719362732934,17.699265952147602
