,POP_2015,community_space,education,food_choices,health_wellbeing,ID_HDC_G0,lng,lat
0,61.542,2321,1071,703,4676,12737.0,116.23934807263613,-3.2239964166015955
1,6.324,2496,895,878,4851,12737.0,116.24034682546039,-3.2239964166015946
2,76.271,2237,1156,619,4592,12737.0,116.23740762469782,-3.2248056755811643
3,110.586,2138,1054,520,4493,12737.0,116.23840637801231,-3.2248056755811683
4,70.616,2496,895,878,4851,12737.0,116.24040388464134,-3.2248056755811647
5,3.3,2549,843,931,4904,12737.0,116.2414026379558,-3.2248056755811643
6,47.769,2846,382,1228,5000,12737.0,116.2443988978993,-3.2248056755811643
7,25.822,2846,382,1228,5000,12737.0,116.24539765121379,-3.224805675581167
8,40.345,1651,1112,243,4076,12737.0,116.23546718919677,-3.2256149348074494
9,60.117,1651,1112,243,4076,12737.0,116.23646594300169,-3.2256149348074534
10,58.976,2163,1129,545,4518,12737.0,116.23746469680655,-3.225614934807453
11,74.279,2100,1041,482,4455,12737.0,116.23846345061146,-3.2256149348074517
12,20.647,2549,843,931,4904,12737.0,116.24046095822125,-3.2256149348074534
13,9.424,2549,843,931,4904,12737.0,116.24145971202607,-3.2256149348074525
14,0.0,2550,678,932,4905,12737.0,116.24245846583098,-3.2256149348074525
15,30.571,2781,447,1163,5000,12737.0,116.24445597344072,-3.2256149348074525
16,0.6,2846,382,1228,5000,12737.0,116.24545472724559,-3.225614934807451
17,24.622,2897,171,1439,5000,12737.0,116.2464534810505,-3.2256149348074525
18,54.552,2848,123,1487,5000,12737.0,116.2474522348554,-3.2256149348074548
19,60.242,2888,40,1652,5000,12737.0,116.24845098866027,-3.22561493480745
20,68.941,1873,1085,254,4227,12737.0,116.23652302901854,-3.226424194280516
21,64.317,1960,1005,342,4315,12737.0,116.23752178331397,-3.2264241942805167
22,61.941,2159,930,541,4514,12737.0,116.23852053760933,-3.2264241942805176
23,72.92,2217,930,599,4572,12737.0,116.23951929190471,-3.226424194280518
24,0.0,2550,678,932,4905,12737.0,116.2425155547909,-3.2264241942805167
25,31.871,2799,172,1537,5000,12737.0,116.24651057197244,-3.2264241942805176
26,85.939,2754,217,1537,5000,12737.0,116.24750932626782,-3.2264241942805167
27,46.119,2810,115,1601,5000,12737.0,116.24850808056323,-3.226424194280518
28,65.192,1618,868,0,3972,12737.0,116.23558137464799,-3.2272334540004235
29,108.736,1782,994,164,4137,12737.0,116.23658012943403,-3.227233454000426
30,80.515,1846,891,228,4201,12737.0,116.23757888422006,-3.2272334540004253
31,63.717,2114,827,496,4469,12737.0,116.23857763900608,-3.2272334540004235
32,68.491,2164,877,546,4519,12737.0,116.23957639379205,-3.2272334540004266
33,5.174,2738,233,1529,5000,12737.0,116.24656767729425,-3.2272334540004253
34,25.897,2672,253,1463,5000,12737.0,116.24756643208025,-3.227233454000425
35,16.123,2693,232,1484,5000,12737.0,116.24856518686627,-3.2272334540004253
36,39.045,1275,820,619,3700,12737.0,116.23364097841781,-3.2280427139672345
37,96.063,1275,820,619,3700,12737.0,116.23463973369456,-3.2280427139672323
38,76.74,1629,880,11,3984,12737.0,116.23563848897136,-3.2280427139672354
39,80.19,1703,898,85,4058,12737.0,116.23663724424812,-3.2280427139672336
40,94.188,1891,935,272,4245,12737.0,116.23763599952491,-3.228042713967235
41,114.086,2013,726,395,4367,12737.0,116.2386347548017,-3.2280427139672367
42,64.467,2094,807,476,4449,12737.0,116.23963351007846,-3.2280427139672327
43,4.799,2279,125,1070,4634,12737.0,116.24262977590877,-3.228042713967234
44,2.025,2279,125,1070,4634,12737.0,116.24362853118556,-3.228042713967236
45,55.093,1275,820,619,3700,12737.0,116.23369810615803,-3.228851974181012
46,33.646,1275,820,619,3700,12737.0,116.23469686192564,-3.2288519741810098
47,71.591,1778,823,160,4133,12737.0,116.23669437346098,-3.2288519741810107
