,POP_2015,community_space,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,99.914,340,0,239,557,1527,8600.0,79.65642499900073,13.096875996724878
1,82.617,340,0,239,557,1527,8600.0,79.6574391427136,13.096875996724876
2,74.321,781,518,792,942,1554,8600.0,79.66453814870367,13.096875996724878
3,86.672,899,504,910,1060,1657,8600.0,79.66555229241654,13.09687599672488
4,113.556,998,420,1009,1159,1756,8600.0,79.6665664361294,13.09687599672488
5,100.099,1027,440,1037,1187,1783,8600.0,79.66758057984225,13.096875996724876
6,20.124,226,114,125,443,1413,8600.0,79.65727590683788,13.096059030599545
7,63.107,226,114,125,443,1413,8600.0,79.65829004847251,13.096059030599545
8,92.11,177,309,76,394,1364,8600.0,79.65930419010718,13.096059030599545
9,117.58,768,521,779,929,1557,8600.0,79.66437489828049,13.096059030599545
10,125.231,907,421,917,1068,1665,8600.0,79.66538903991514,13.096059030599545
11,127.351,998,420,1009,1159,1756,8600.0,79.6664031815498,13.096059030599545
12,110.821,1027,440,1037,1187,1783,8600.0,79.66741732318445,13.096059030599543
13,34.411,1180,537,1190,1318,1879,8600.0,79.66843146481912,13.096059030599545
14,21.138,1440,797,1451,1578,2139,8600.0,79.67045974808846,13.096059030599548
15,105.014,1440,797,1451,1578,2139,8600.0,79.67147388972312,13.096059030599545
16,75.089,225,418,178,433,1140,8600.0,79.65711268207995,13.095242065510057
17,97.088,149,191,48,366,1336,8600.0,79.65812682163653,13.095242065510059
18,136.936,104,239,6,321,1291,8600.0,79.65914096119313,13.095242065510059
19,126.46,178,518,189,395,1365,8600.0,79.6601551007497,13.095242065510057
20,42.86,288,606,299,506,1475,8600.0,79.66116924030631,13.095242065510059
21,78.069,288,606,299,506,1475,8600.0,79.6621833798629,13.095242065510057
22,90.697,482,474,493,643,1485,8600.0,79.66319751941951,13.095242065510057
23,115.153,602,354,612,763,1390,8600.0,79.6642116589761,13.095242065510059
24,99.238,602,354,612,763,1390,8600.0,79.66522579853267,13.095242065510059
25,89.56,1097,454,1108,1235,1796,8600.0,79.66826821720247,13.095242065510059
26,0.0,2369,2599,2116,2369,1727,8600.0,79.67942375232501,13.095242065510057
27,0.0,2369,2599,2116,2369,1727,8600.0,79.68043789188161,13.095242065510059
28,123.51,220,441,191,411,1117,8600.0,79.6569494684396,13.094425101456348
29,127.566,214,463,204,388,1095,8600.0,79.65796360591825,13.094425101456345
30,98.716,10,340,10,217,1186,8600.0,79.65897774339693,13.094425101456345
31,113.924,178,518,189,395,1365,8600.0,79.65999188087561,13.094425101456348
32,121.482,178,518,189,395,1365,8600.0,79.66100601835429,13.094425101456345
33,100.744,288,606,299,506,1475,8600.0,79.66202015583296,13.094425101456348
34,82.924,473,434,471,524,1415,8600.0,79.66303429331163,13.094425101456348
35,95.336,595,300,605,733,1336,8600.0,79.66404843079032,13.094425101456345
36,108.21,669,225,680,807,1393,8600.0,79.66506256826897,13.094425101456348
37,107.104,745,149,756,883,1456,8600.0,79.66607670574764,13.09442510145635
38,135.83,850,207,860,988,1549,8600.0,79.6670908432263,13.094425101456348
39,65.135,964,321,975,1102,1663,8600.0,79.668104980705,13.094425101456343
40,48.636,643,730,1230,1321,2072,8600.0,79.67114739314097,13.094425101456348
41,26.177,643,730,1230,1321,2072,8600.0,79.67216153061965,13.094425101456348
42,0.0,2369,2599,2116,2369,1727,8600.0,79.67926049297036,13.09442510145635
43,0.0,2369,2599,2116,2369,1727,8600.0,79.68027463044903,13.094425101456348
44,118.41,186,491,175,360,1067,8600.0,79.65678626591667,13.093608138438352
45,95.306,224,537,214,315,1021,8600.0,79.65780040131757,13.093608138438352
46,114.109,76,417,66,140,1110,8600.0,79.65881453671845,13.093608138438356
47,86.549,152,492,64,64,1034,8600.0,79.65982867211935,13.09360813843835
48,74.536,259,599,248,293,1263,8600.0,79.66084280752023,13.093608138438352
49,119.24,425,534,373,378,1348,8600.0,79.6618569429211,13.09360813843835
50,123.264,577,334,541,541,1311,8600.0,79.662871078322,13.093608138438352
51,132.481,673,239,632,632,1217,8600.0,79.66388521372289,13.093608138438352
52,102.987,673,239,632,632,1217,8600.0,79.66489934912379,13.09360813843835
53,112.327,895,0,791,791,1342,8600.0,79.66591348452467,13.093608138438352
54,103.325,895,0,791,791,1342,8600.0,79.66692761992556,13.09360813843835
55,70.634,643,730,1230,1321,2072,8600.0,79.67098416152912,13.093608138438356
56,59.205,643,730,1230,1321,2072,8600.0,79.67199829693,13.09360813843835
57,131.099,476,796,345,345,1052,8600.0,79.65662307451095,13.092791176455991
