,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,nightlife,ID_HDC_G0,lng,lat
0,46.97,1826,1667,189,1564,1362,3938,1014.0,-66.29932782357186,-33.2613560421068
1,16.658,1473,583,2220,1030,1640,3950,1014.0,-66.31980375952364,-33.26222172671557
2,38.446,1473,583,2220,1030,1640,3950,1014.0,-66.31868894424095,-33.26222172671558
3,44.895,1747,371,1606,734,1343,3783,1014.0,-66.31311486782751,-33.26222172671558
4,56.487,1698,501,1476,767,1254,3734,1014.0,-66.31200005254482,-33.26222172671558
5,52.866,1762,567,1410,831,1202,3798,1014.0,-66.31088523726213,-33.26222172671557
6,54.802,1753,642,1335,906,1158,3791,1014.0,-66.30977042197944,-33.26222172671558
7,66.356,1840,730,1249,994,1246,3879,1014.0,-66.30865560669676,-33.26222172671557
8,63.527,1840,993,1091,1099,1223,3901,1014.0,-66.30754079141406,-33.26222172671558
9,65.803,1779,1054,1031,1038,1162,3840,1014.0,-66.30642597613138,-33.26222172671558
10,57.769,1736,1039,947,996,1120,3797,1014.0,-66.30531116084867,-33.26222172671558
11,51.835,1729,1206,779,1139,1197,3820,1014.0,-66.304196345566,-33.26222172671558
12,62.459,1729,1206,779,1139,1197,3820,1014.0,-66.30308153028331,-33.26222172671557
13,53.306,1724,1375,503,1276,1250,3815,1014.0,-66.30196671500062,-33.26222172671557
14,34.523,1663,1435,424,1335,1191,3762,1014.0,-66.30085189971793,-33.26222172671557
15,47.473,1796,1638,218,1534,1332,3909,1014.0,-66.29973708443524,-33.26222172671557
16,58.058,1885,1938,106,1699,1421,3997,1014.0,-66.29750745386985,-33.26222172671558
17,30.224,1885,1938,106,1699,1421,3997,1014.0,-66.29639263858716,-33.26222172671557
18,54.563,1561,436,2058,884,1493,3933,1014.0,-66.31798351768441,-33.2630874145599
19,55.443,1536,382,1977,829,1439,3878,1014.0,-66.3168686955198,-33.2630874145599
20,56.474,1635,308,1853,795,1405,3844,1014.0,-66.31575387335518,-33.2630874145599
21,53.218,1708,310,1730,778,1388,3827,1014.0,-66.31463905119055,-33.2630874145599
22,62.119,1692,300,1677,715,1325,3764,1014.0,-66.31352422902594,-33.2630874145599
23,62.861,1698,433,1544,701,1294,3734,1014.0,-66.31240940686133,-33.26308741455989
24,52.074,1762,567,1410,831,1202,3798,1014.0,-66.3112945846967,-33.2630874145599
25,59.542,1832,722,1255,986,1238,3871,1014.0,-66.3101797625321,-33.2630874145599
26,55.619,1836,738,1192,999,1219,3883,1014.0,-66.30906494036748,-33.2630874145599
27,51.986,1780,808,1084,1034,1163,3841,1014.0,-66.30795011820287,-33.2630874145599
28,53.243,1779,1054,1031,1038,1162,3840,1014.0,-66.30683529603826,-33.2630874145599
29,48.265,1692,994,953,951,1075,3753,1014.0,-66.30572047387362,-33.2630874145599
30,63.326,1729,1144,808,1094,1151,3820,1014.0,-66.30460565170901,-33.2630874145599
31,63.515,1649,1215,616,1113,1170,3740,1014.0,-66.30349082954439,-33.2630874145599
32,41.274,1682,1307,524,1201,1209,3773,1014.0,-66.30237600737976,-33.2630874145599
33,8.876,1622,1444,408,1339,1155,3724,1014.0,-66.30126118521515,-33.2630874145599
34,47.913,1663,1521,324,1407,1199,3775,1014.0,-66.30014636305054,-33.2630874145599
35,59.278,1717,1770,60,1532,1254,3830,1014.0,-66.29903154088592,-33.2630874145599
36,61.302,1831,1884,53,1646,1368,3944,1014.0,-66.2979167187213,-33.2630874145599
37,53.155,1885,1938,106,1699,1421,3997,1014.0,-66.29680189655669,-33.2630874145599
38,31.871,1543,415,2053,863,1472,3912,1014.0,-66.31839292416804,-33.263953105639864
39,44.744,1419,329,2063,776,1385,3825,1014.0,-66.3172780951212,-33.26395310563987
40,57.832,1433,252,1995,699,1309,3748,1014.0,-66.31616326607434,-33.263953105639864
41,46.002,1538,139,1839,666,1276,3715,1014.0,-66.31504843702749,-33.263953105639864
42,56.688,1576,167,1747,634,1244,3683,1014.0,-66.31393360798066,-33.26395310563987
