,POP_2015,active_living,community_space,education,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,40.508,2835,1433,3498,1848,2770,2996,8361.0,79.56089346578291,16.891700692405852
1,97.523,1402,0,2064,414,1336,1562,8361.0,79.56404380529773,16.8801855052423
2,120.568,1402,0,2064,414,1336,1562,8361.0,79.56506909532183,16.8801855052423
3,129.195,1402,0,2064,414,1336,1562,8361.0,79.56382949340316,16.87936300213105
4,100.18,1402,0,2064,414,1336,1562,8361.0,79.56485478066557,16.87936300213105
5,142.12,987,414,1905,0,922,1355,8361.0,79.56053934006347,16.878540500387093
6,148.658,987,414,1905,0,922,1355,8361.0,79.56156462456434,16.87854050038709
7,61.732,1213,867,2327,1068,1288,1721,8361.0,79.55109752491244,16.877718000010326
8,62.866,1213,867,2327,1068,1288,1721,8361.0,79.55212280665191,16.87771800001033
9,165.673,987,414,1905,0,922,1355,8361.0,79.56032506056769,16.87771800001033
10,147.076,987,414,1905,0,922,1355,8361.0,79.56135034230718,16.87771800001033
11,26.508,1213,867,2327,1068,1288,1721,8361.0,79.55088328232422,16.876895501000696
12,102.657,1213,867,2327,1068,1288,1721,8361.0,79.55190856130245,16.876895501000696
13,59.045,1269,358,1705,406,1194,1203,8361.0,79.5652371880196,16.876895501000696
14,171.971,884,538,1998,739,960,1392,8361.0,79.55374488044225,16.876073003358123
15,133.613,884,538,1998,739,960,1392,8361.0,79.55477015665943,16.876073003358123
16,128.449,674,393,1749,627,750,1182,8361.0,79.5588712615281,16.876073003358123
17,150.986,674,393,1749,627,750,1182,8361.0,79.55989653774526,16.876073003358123
18,120.896,715,562,1633,272,650,1082,8361.0,79.56194709017959,16.87607300335812
19,111.941,1269,358,1705,406,1194,1203,8361.0,79.56502291883108,16.876073003358123
20,125.583,693,322,1726,467,769,1201,8361.0,79.55353065368054,16.875250507082526
21,147.822,693,322,1726,467,769,1201,8361.0,79.55455592713678,16.875250507082523
22,115.583,604,259,1719,460,680,1113,8361.0,79.55660647404927,16.875250507082523
23,134.867,645,309,1749,526,720,1153,8361.0,79.55763174750551,16.875250507082526
24,126.21,585,304,1673,538,661,1093,8361.0,79.55865702096176,16.875250507082523
25,138.419,674,393,1749,627,750,1182,8361.0,79.55968229441801,16.875250507082523
26,105.344,1046,368,1482,182,971,980,8361.0,79.56583393515547,16.875250507082523
27,140.001,693,322,1726,467,769,1201,8361.0,79.5533164389735,16.874428012173833
28,147.732,693,322,1726,467,769,1201,8361.0,79.55434170966899,16.874428012173837
29,148.21,555,197,1628,369,631,1063,8361.0,79.55536698036447,16.874428012173833
30,139.284,515,169,1629,370,591,1023,8361.0,79.55639225105995,16.874428012173833
31,118.359,515,190,1617,423,591,1023,8361.0,79.55741752175541,16.874428012173833
32,121.822,558,277,1646,511,633,1066,8361.0,79.5584427924509,16.874428012173833
33,168.688,413,386,1501,601,489,921,8361.0,79.55946806314637,16.874428012173833
34,118.926,454,476,1471,464,465,897,8361.0,79.56049333384186,16.874428012173837
35,149.971,503,427,1473,415,490,923,8361.0,79.56151860453735,16.874428012173833
36,150.628,513,360,1431,258,448,880,8361.0,79.56254387523282,16.874428012173837
37,142.777,1046,368,1482,182,971,980,8361.0,79.56561968731926,16.874428012173833
38,125.135,945,267,1382,82,870,880,8361.0,79.56664495801475,16.874428012173833
39,145.464,559,199,1468,209,635,1006,8361.0,79.55515277219064,16.873605518631976
40,150.21,455,84,1498,239,530,963,8361.0,79.55617804012552,16.87360551863198
41,139.613,370,22,1481,256,446,879,8361.0,79.55720330806038,16.873605518631976
42,107.642,379,340,1467,574,454,887,8361.0,79.55822857599523,16.873605518631976
43,112.24,341,406,1429,605,416,849,8361.0,79.55925384393011,16.87360551863198
44,130.389,397,476,1471,481,459,891,8361.0,79.56027911186497,16.873605518631976
45,166.24,324,406,1341,408,335,767,8361.0,79.56130437979985,16.873605518631976
46,176.718,448,315,1361,302,383,810,8361.0,79.56232964773473,16.873605518631976
47,134.21,612,224,1338,121,546,836,8361.0,79.56335491566958,16.873605518631976
48,129.135,676,160,1274,57,610,772,8361.0,79.56438018360447,16.873605518631976
49,138.807,945,267,1382,82,870,880,8361.0,79.5654054515393,16.873605518631976
50,107.284,945,267,1382,82,870,880,8361.0,79.5664307194742,16.873605518631976
51,134.717,928,587,1616,387,1003,1244,8361.0,79.55186278054802,16.872783026456872
52,145.135,806,466,1494,266,881,1122,8361.0,79.55288804572243,16.872783026456876
53,152.329,733,392,1387,159,808,1015,8361.0,79.55391331089683,16.872783026456872
54,103.792,571,225,1410,151,647,1006,8361.0,79.55493857607124,16.872783026456876
55,104.747,446,106,1418,159,522,907,8361.0,79.55596384124567,16.872783026456872
56,126.926,386,25,1453,208,461,894,8361.0,79.55698910642009,16.872783026456872
57,160.867,185,184,1319,394,261,694,8361.0,79.55801437159448,16.872783026456876
58,160.867,127,242,1261,446,203,636,8361.0,79.5590396367689,16.872783026456872
59,89.792,182,495,1270,469,258,690,8361.0,79.56006490194333,16.872783026456872
60,160.18,319,412,1295,414,289,722,8361.0,79.56109016711774,16.872783026456876
61,139.852,467,263,1198,265,402,696,8361.0,79.56211543229215,16.872783026456872
62,142.658,631,160,1274,103,566,772,8361.0,79.56314069746657,16.872783026456876
63,116.837,733,62,1176,46,665,674,8361.0,79.56416596264098,16.872783026456872
64,122.001,808,130,1244,106,733,742,8361.0,79.56519122781539,16.872783026456876
65,138.926,1027,350,1464,0,952,962,8361.0,79.56621649298981,16.872783026456876
66,0.03,1423,1153,2001,919,1569,1628,8361.0,79.54652229269315,16.871960535648455
67,12.567,1423,1153,2001,919,1569,1628,8361.0,79.54754755510726,16.87196053564846
68,143.404,713,406,1308,173,822,936,8361.0,79.55369912959195,16.871960535648455
69,110.001,646,306,1291,72,721,919,8361.0,79.55472439200608,16.87196053564846
70,116.837,546,206,1286,27,622,914,8361.0,79.5557496544202,16.87196053564846
71,52.657,272,234,1244,301,347,714,8361.0,79.5567749168343,16.871960535648455
72,88.001,219,238,1253,357,295,684,8361.0,79.5578001792484,16.87196053564846
73,98.299,127,242,1261,446,203,636,8361.0,79.55882544166252,16.87196053564846
74,110.807,0,370,1133,535,75,508,8361.0,79.55985070407664,16.87196053564846
75,132.24,260,417,1192,392,185,617,8361.0,79.56087596649076,16.87196053564845
76,168.717,551,126,987,187,476,485,8361.0,79.56292649131899,16.87196053564845
77,110.508,677,11,1114,103,602,612,8361.0,79.56395175373311,16.871960535648455
78,172.3,689,11,1125,92,614,623,8361.0,79.5649770161472,16.87196053564846
